date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2016004,0,0,5,-71.466,-59.067,0,14929.5,-0.0093
2016005,1,0,5,-71.466,-59.067,0,14929.5,0.0081
2016006,1,0,5,-71.466,-59.067,0,14929.5,0.0116
2016007,1,14.416,5,-71.524,-58.701,0,14929.5,0.0052
2016008,1,11.479,6,-71.473,-58.985,0,14929.5,-0.007
2016009,1,4.727,7,-71.447,-59.09,0,14929.5,-0.0131
2016010,1,1.371,7,-71.436,-59.109,0,14929.5,-0.037
2016011,1,1.159,7,-71.427,-59.124,0,14929.5,-0.0283
2016012,1,0.932,7,-71.419,-59.136,0,14929.5,-0.038
2016013,1,2.889,7,-71.399,-59.189,0,14929.5,-0.0384
2016014,1,2.643,7,-71.382,-59.238,0,14929.5,-0.0293
2016015,1,0.144,6,-71.38,-59.239,0,14929.5,-0.0109
2016016,1,1.531,5,-71.394,-59.246,0,14929.5,-0.016
2016017,1,0,5,-71.394,-59.246,0,14929.5,-0.0062
2016018,1,0,5,-71.394,-59.246,0,14929.5,-0.0118
2016019,1,0,5,-71.394,-59.246,0,14929.5,0.0089
2016020,1,0,5,-71.394,-59.246,0,14929.5,0
2016021,1,0,5,-71.394,-59.246,0,14929.5,0
2016022,1,0,5,-71.394,-59.246,0,14929.5,0
2016023,1,0,5,-71.394,-59.246,0,14929.5,0
2016024,1,0,5,-71.394,-59.246,0,14929.5,0
2016025,1,0,5,-71.394,-59.246,0,14929.5,0
2016026,1,0,5,-71.394,-59.246,0,14929.5,0
2016027,1,0,5,-71.394,-59.246,0,14913.96,0
2016028,1,0,5,-71.394,-59.246,0,14894.66,0
2016029,1,36.979,6,-71.617,-58.464,0,14848.51,0
2016030,1,1.909,5,-71.6,-58.479,0,14794.49,0
2016031,1,3.239,5,-71.583,-58.553,0,14648.31,0
2016032,1,3.248,5,-71.565,-58.627,0,14494.56,0
2016033,1,0,5,-71.565,-58.627,0,14249.18,0
2016034,1,0,5,-71.565,-58.627,0,14034.85,0
2016035,1,0,5,-71.565,-58.627,0,13768.21,0
2016036,1,0,5,-71.565,-58.627,0,13499.02,0
2016037,1,0,5,-71.565,-58.627,0,13226.48,0
2016038,1,0,5,-71.565,-58.627,0,12962.19,0
2016039,1,0,5,-71.565,-58.627,0,12701.68,0
2016040,1,0,5,-71.565,-58.627,0,12450.47,0
2016041,1,0,5,-71.565,-58.627,0,12204.81,0
2016042,1,0,5,-71.565,-58.627,0,11968.02,0
2016043,1,0,5,-71.565,-58.627,0,11734.71,0
2016044,1,0,5,-71.565,-58.627,0,11508.08,0
2016045,1,0,5,-71.565,-58.627,0,11285.38,0
2016046,1,0,5,-71.565,-58.627,0,0,0
2016047,1,0,5,-71.565,-58.627,0,0,0
2016048,1,0,5,-71.565,-58.627,0,11066.69,0
2016049,1,0,5,-71.565,-58.627,0,10851.08,0
2016050,1,0,5,-71.565,-58.627,0,10638.58,0
2016051,1,0,5,-71.565,-58.627,0,10428.32,0
2016052,1,0,5,-71.565,-58.627,0,10220.61,0
2016053,1,0,5,-71.565,-58.627,0,10015.05,0
2016054,1,0,5,-71.565,-58.627,0,9808.32,0
2016055,1,0,5,-71.565,-58.627,0,9604.38,0
2016056,1,0,5,-71.565,-58.627,0,9422.32,0
2016057,1,11.18,5,-71.472,-58.505,0,9231.14,0
2016058,1,0,5,-71.472,-58.505,0,9133.9,0
2016059,1,0,5,-71.472,-58.505,0,9065.39,0
2016060,1,0,5,-71.472,-58.505,0,9118.39,0
2016061,1,0,5,-71.472,-58.505,0,9141.14,0
2016062,1,0,5,-71.472,-58.505,0,9216.68,0.0146
2016063,1,9.114,5,-71.554,-58.542,0,9295.11,-0.0248
2016064,1,12.057,6,-71.48,-58.793,0,9377.32,-0.0083
2016065,1,6.311,7,-71.423,-58.771,0,9451.67,0.0191
2016066,1,0.669,7,-71.418,-58.78,0,9522.8,-0.0488
2016067,1,0.71,7,-71.412,-58.789,0,9594.48,-0.0979
2016068,1,0.585,7,-71.418,-58.787,0,9663.43,-0.0406
2016069,1,0.636,7,-71.423,-58.785,0,9722.91,-0.0923
2016070,1,0.54,7,-71.419,-58.793,0,9785.25,-0.0265
2016071,1,0.39,6,-71.416,-58.8,0,9839.73,-0.0592
