date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2015365,0,0,5,-69.833,-60.367,0,11415.23,0
2016001,1,0,5,-69.833,-60.367,0,11380.37,0
2016002,1,0,5,-69.833,-60.367,0,11345.5,0
2016003,1,0,5,-69.833,-60.367,0,11310.64,0
2016004,1,0,5,-69.833,-60.367,0,11275.77,0
2016005,1,0,5,-69.833,-60.367,0,11240.91,0
2016006,1,10.39,5,-69.745,-60.455,0,11206.04,0
2016007,1,0,5,-69.745,-60.455,0,11171.18,0
2016008,1,5.213,6,-69.789,-60.411,0,11136.31,0
2016009,1,1.712,7,-69.774,-60.399,0,11101.45,0
2016010,1,1.605,7,-69.76,-60.388,0,11066.58,0
2016011,1,1.439,7,-69.748,-60.377,0,11031.72,0
2016012,1,1.218,7,-69.737,-60.367,0,10996.85,0
2016013,1,2.645,7,-69.726,-60.307,0,10966.51,0
2016014,1,2.424,7,-69.718,-60.249,0,10934.22,0
2016015,1,0.212,6,-69.716,-60.247,0,10900.67,0
2016016,1,1.747,5,-69.731,-60.244,0,10850.32,0
2016017,1,0,5,-69.731,-60.244,0,10712.02,0
2016018,1,0,5,-69.731,-60.244,0,10647.29,0
2016019,1,0,5,-69.731,-60.244,0,10584.99,0
2016020,1,0,5,-69.731,-60.244,0,10505.88,0
2016021,1,0,5,-69.731,-60.244,0,10426.02,0
2016022,1,0,5,-69.731,-60.244,0,10322.66,0
2016023,1,0,5,-69.731,-60.244,0,10218.77,0
2016024,1,8.917,5,-69.812,-60.251,0,10110.95,0
2016025,1,6.883,5,-69.873,-60.215,0,10006.83,0
2016026,1,9.969,5,-69.955,-60.11,0,9887.83,0
2016027,1,9.001,5,-70.036,-60.11,0,9751.98,0
2016028,1,9.166,5,-69.969,-60.254,0,9658.87,0
2016029,1,2.93,6,-69.943,-60.26,0,9569.45,0
2016030,1,2.93,5,-69.969,-60.254,0,9517.1,0
2016031,1,0,5,-69.969,-60.254,0,9464.76,0
2016032,1,0,5,-69.969,-60.254,0,9449.48,0
2016033,1,0,5,-69.969,-60.254,0,9434.2,0
2016034,1,0,5,-69.969,-60.254,0,9567.78,0
2016035,1,0,5,-69.969,-60.254,0,9757.31,0
2016036,1,0,5,-69.969,-60.254,0,9948.08,0
2016037,1,0,5,-69.969,-60.254,0,10159.62,0
2016038,1,0,5,-69.969,-60.254,0,10372.42,0
2016039,1,0,5,-69.969,-60.254,0,10605.98,0
2016040,1,0,5,-69.969,-60.254,0,10840.79,0
2016041,1,0,5,-69.969,-60.254,0,11111.24,0
2016042,1,11.852,5,-69.863,-60.294,0,11473.32,0
2016043,1,0,5,-69.863,-60.294,0,11780.66,0
2016044,1,0,5,-69.863,-60.294,0,12089.26,0
2016045,1,0,5,-69.863,-60.294,0,12414.68,0
2016046,1,7.854,5,-69.933,-60.253,0,0,0
