date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2016001,0,0,6,-75.33,-27.084,1,18893.56,0
2016002,1,5.599,7,-75.379,-27.142,0,18555.99,0
2016003,1,2.752,7,-75.396,-27.213,0,18218.43,0
2016004,1,2.561,7,-75.412,-27.279,0,17880.86,0
2016005,1,2.345,7,-75.426,-27.339,0,17543.3,0
2016006,1,10.728,7,-75.519,-27.445,0,17205.73,0
2016007,1,1.794,7,-75.531,-27.49,1,16868.17,0
2016008,1,4.685,6,-75.567,-27.579,1,16530.6,0
2016009,1,4.504,7,-75.563,-27.741,1,16193.04,0
2016010,1,4.407,7,-75.535,-27.854,1,15855.47,0
2016011,1,1.016,7,-75.54,-27.883,0,15517.91,0
2016012,1,5.571,7,-75.579,-28.014,0,15180.34,0
2016013,1,1.053,7,-75.571,-27.99,0,14842.78,0
2016014,1,0.722,7,-75.577,-28.003,0,14423.02,0
2016015,1,6.205,6,-75.632,-28.041,0,13919.32,0
2016016,1,3.552,5,-75.664,-28.049,0,13415.79,0
2016017,1,9.645,5,-75.703,-27.736,0,12828.34,0
2016018,1,0,5,-75.703,-27.736,0,12241.1,0
2016019,1,8.189,5,-75.746,-27.493,0,11654.02,0
2016020,1,6.659,5,-75.806,-27.478,0,0,0
2016021,1,0,5,-75.806,-27.478,0,0,0
2016022,1,5.714,5,-75.819,-27.275,0,0,0
2016023,1,0,5,-75.819,-27.275,0,0,0
2016024,1,7.775,5,-75.842,-27.004,0,0,0
2016025,1,0,5,-75.842,-27.004,0,0,0
2016026,1,6.203,5,-75.884,-26.853,0,0,0
2016027,1,0,5,-75.884,-26.853,0,0,0
2016028,1,0,5,-75.884,-26.853,0,0,0
2016029,1,0.414,6,-75.884,-26.868,0,0,0
2016030,1,0.414,5,-75.884,-26.853,0,0,0
2016031,1,0,5,-75.884,-26.853,0,0,0
2016032,1,0,5,-75.884,-26.853,0,0,0
2016033,1,7.057,5,-75.931,-27.031,0,0,0
2016034,1,4.614,5,-75.962,-27.142,0,0,0
2016035,1,6.548,5,-75.979,-26.908,0,0,0
2016036,1,3.663,5,-76.011,-26.924,0,0,0
2016037,1,0,5,-76.011,-26.924,0,0,0
2016038,1,0,5,-76.011,-26.924,0,0,0
2016039,1,5.46,5,-76.028,-27.116,0,0,0
2016040,1,5.45,5,-76.044,-27.308,0,0,0
2016041,1,0,5,-76.044,-27.308,0,0,0
2016042,1,0,5,-76.044,-27.308,0,0,0
2016043,1,7.153,5,-76.057,-27.57,0,0,0
2016044,1,0,5,-76.057,-27.57,0,0,0
2016045,1,6.699,5,-76.087,-27.788,0,0,0
2016046,1,0,5,-76.087,-27.788,0,0,0
2016047,1,9.647,5,-76.086,-28.149,0,0,0
2016048,1,0,5,-76.086,-28.149,0,11067.09,0
2016049,1,0,5,-76.086,-28.149,0,10480.33,0
2016050,1,0,5,-76.086,-28.149,0,9893.72,0
2016051,1,8.719,5,-76.133,-28.41,0,9307.16,0
2016052,1,1.502,5,-76.127,-28.359,0,8720.24,0
2016053,1,0,5,-76.127,-28.359,0,8133.69,0
2016054,1,0,5,-76.127,-28.359,0,7546.76,0
2016055,1,0,5,-76.127,-28.359,0,6960.21,0
2016056,1,0,5,-76.127,-28.359,0,6374.02,0
2016057,1,0,5,-76.127,-28.359,0,5789.56,0
2016058,1,0,5,-76.127,-28.359,0,5205.18,0
2016059,1,0,5,-76.127,-28.359,0,4621.96,0
2016060,1,18.319,5,-76.235,-28.882,0,4038.8,0
2016061,1,0,5,-76.235,-28.882,0,3624.83,0
2016062,1,6.948,5,-76.276,-29.081,0,3294.93,0
2016063,1,0,5,-76.276,-29.081,0,2965.64,0
2016064,1,1.849,6,-76.263,-29.124,0,2720.41,0
2016065,1,1.888,7,-76.276,-29.172,0,2475.47,0
2016066,1,2.468,7,-76.294,-29.227,0,2314.2,0
2016067,1,2.812,7,-76.315,-29.286,0,2153,0
2016068,1,12.662,7,-76.391,-29.647,0,2075.48,0
2016069,1,2.733,7,-76.411,-29.709,0,1996.81,0
2016070,1,4.611,7,-76.398,-29.878,0,2001.69,0
2016071,1,11.888,6,-76.494,-30.085,0,2005.21,0
2016072,1,1.581,7,-76.498,-30.143,0,2008.18,0.0027
2016073,1,1.612,7,-76.501,-30.204,0,2009.73,-0.0018
2016074,1,1.606,7,-76.504,-30.264,0,2010.63,-0.001
2016075,1,9.792,7,-76.453,-30.571,0,2010.04,-0.0128
2016076,1,3.688,7,-76.455,-30.713,0,2008.75,-0.0126
2016077,1,1.346,7,-76.456,-30.765,0,2007.05,-0.0108
