date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2010339,0,0,3,-67.09,144.88,0,0,0
2010346,7,1.191,3,-67.08,144.89,0,0,0
2010353,7,0,3,-67.08,144.89,0,0,0
2010360,7,0,3,-67.08,144.89,0,0,0
2011002,7,0,3,-67.08,144.89,0,0,0
2011009,7,1.707,3,-67.09,144.86,0,0,0
2011016,7,0.432,3,-67.09,144.87,0,0,0
2011023,7,1.11,3,-67.1,144.87,0,0,0
2011030,7,1.191,3,-67.09,144.88,0,0,0
2011037,7,0,3,-67.09,144.88,0,0,0
2011044,7,2.814,3,-67.07,144.92,0,0,0
2011045,1,0.52,3,-67.067,144.93,0,0,0
2011046,1,0.61,3,-67.065,144.943,0,0,0
2011047,1,0.693,3,-67.063,144.958,0,0,0
2011051,4,3.437,3,-67.05,145.03,0,0,0
2011052,1,1.289,3,-67.042,145.053,0,0,0
2011053,1,1.824,3,-67.03,145.081,0,0,0
2011055,2,4.565,3,-66.996,145.141,0,0,0
2011056,1,2.395,3,-66.977,145.166,0,0,0
2011057,1,2.263,3,-66.958,145.183,0,0,0
2011058,1,2.019,3,-66.94,145.19,0,0,0
2011059,1,1.89,3,-66.923,145.183,0,0,0
2011060,1,2.036,3,-66.906,145.164,0,0,0
2011061,1,2.24,3,-66.889,145.137,0,0,0
2011062,1,2.426,3,-66.872,145.105,0,0,0
2011063,1,2.574,3,-66.853,145.07,0,0,0
2011064,1,2.665,3,-66.832,145.038,0,0,0
2011065,1,2.757,3,-66.81,145.01,0,0,0
2011066,1,2.856,3,-66.786,144.988,0,0,0
2011067,1,3.018,3,-66.76,144.969,0,0,0
2011068,1,3.254,3,-66.731,144.95,0,0,0
2011069,1,3.521,3,-66.701,144.931,0,0,0
2011070,1,3.863,3,-66.667,144.909,0,0,0
2011071,1,4.235,3,-66.63,144.883,0,0,0
2011072,1,4.679,3,-66.59,144.85,0,0,0
2011073,1,6.433,3,-66.535,144.806,0,0,0
2011074,1,8.718,3,-66.46,144.746,0,0,0
2011075,1,9.93,3,-66.376,144.67,0,0,0
2011076,1,10.098,3,-66.292,144.58,0,0,0
2011077,1,9.306,3,-66.22,144.474,0,0,0
2011078,1,7.8,3,-66.169,144.354,0,0,0
2011079,1,6.387,3,-66.15,144.22,0,0,0
2011080,1,8.717,3,-66.161,144.028,0,0,0
2011081,1,12.876,3,-66.19,143.749,0,0,0
2011082,1,15.82,3,-66.229,143.41,0,0,0
2011083,1,17.51,3,-66.271,143.033,0,0,0
2011084,1,17.947,3,-66.31,142.642,0,0,0
2011085,1,17.185,3,-66.339,142.263,0,0,0
2011086,1,15.345,3,-66.35,141.92,0,0,0
2011087,1,14.479,3,-66.329,141.599,0,0,0
2011088,1,15.777,3,-66.272,141.276,0,0,0
2011089,1,17.053,3,-66.19,140.953,0,0,0
2011090,1,17.749,3,-66.094,140.637,0,0,0
2011091,1,17.632,3,-65.995,140.331,0,0,0
2011092,1,16.61,3,-65.903,140.041,0,0,0
2011093,1,14.722,3,-65.83,139.77,0,0,0
2011107,14,159.018,3,-65.15,136.73,0,0,0
2011108,1,14.578,3,-65.096,136.446,0,0,0
2011109,1,16.294,3,-65.033,136.131,0,0,0
2011110,1,17.258,3,-64.969,135.796,0,0,0
2011111,1,17.498,3,-64.908,135.453,0,0,0
2011112,1,17.032,3,-64.858,135.111,0,0,0
2011113,1,15.948,3,-64.823,134.783,0,0,0
2011114,1,14.404,3,-64.81,134.48,0,0,0
2011115,1,13.936,3,-64.813,134.185,0,0,0
2011116,1,14.293,3,-64.82,133.883,0,0,0
2011117,1,14.129,3,-64.831,133.585,0,0,0
2011118,1,13.428,3,-64.844,133.302,0,0,0
2011119,1,12.187,3,-64.859,133.046,0,0,0
2011120,1,10.419,3,-64.875,132.828,0,0,0
2011121,1,8.111,3,-64.89,132.66,0,0,0
2011122,1,6.739,3,-64.908,132.523,0,0,0
2011123,1,6.56,3,-64.932,132.395,0,0,0
2011124,1,6.178,3,-64.957,132.279,0,0,0
2011125,1,5.562,3,-64.983,132.177,0,0,0
2011126,1,4.667,3,-65.006,132.093,0,0,0
2011127,1,3.502,3,-65.022,132.03,0,0,0
2011128,1,2.061,3,-65.03,131.99,0,0,0
2011129,1,1.177,3,-65.033,131.966,0,0,0
2011130,1,0.968,3,-65.035,131.946,0,0,0
2011131,1,0.794,3,-65.037,131.929,0,0,0
2011132,1,0.668,3,-65.038,131.915,0,0,0
2011133,1,0.58,3,-65.039,131.903,0,0,0
2011134,1,0.544,3,-65.04,131.892,0,0,0
2011135,1,0.553,3,-65.04,131.88,0,0,0
2011136,1,0.544,3,-65.038,131.869,0,0,0
2011137,1,0.71,3,-65.033,131.861,0,0,0
2011138,1,0.955,3,-65.025,131.853,0,0,0
2011139,1,1.166,3,-65.015,131.846,0,0,0
2011140,1,1.313,3,-65.004,131.837,0,0,0
2011141,1,1.427,3,-64.992,131.825,0,0,0
2011142,1,1.482,3,-64.98,131.81,0,0,0
2011143,1,2.093,3,-64.965,131.783,0,0,0
2011144,1,3.097,3,-64.945,131.738,0,0,0
2011145,1,3.798,3,-64.922,131.678,0,0,0
2011146,1,4.272,3,-64.899,131.605,0,0,0
2011147,1,4.517,3,-64.879,131.521,0,0,0
2011148,1,4.625,3,-64.865,131.429,0,0,0
