date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2011114,0,0,3,-66.26,143.26,0,0,0
2011115,1,0.009,3,-66.26,143.26,0,0,0
2011116,1,0.036,3,-66.26,143.259,0,0,0
2011117,1,0.049,3,-66.26,143.258,0,0,0
2011118,1,0.067,3,-66.26,143.256,0,0,0
2011119,1,0.085,3,-66.26,143.255,0,0,0
2011120,1,0.094,3,-66.26,143.252,0,0,0
2011121,1,0.107,3,-66.26,143.25,0,0,0
2011122,1,0.282,3,-66.261,143.244,0,0,0
2011123,1,0.576,3,-66.264,143.234,0,0,0
2011124,1,0.746,3,-66.268,143.22,0,0,0
2011125,1,0.791,3,-66.272,143.206,0,0,0
2011126,1,0.717,3,-66.276,143.193,0,0,0
2011127,1,0.525,3,-66.279,143.184,0,0,0
2011128,1,0.202,3,-66.28,143.18,0,0,0
2011129,1,0.147,3,-66.28,143.183,0,0,0
2011130,1,0.384,3,-66.28,143.192,0,0,0
2011131,1,0.522,3,-66.28,143.204,0,0,0
2011132,1,0.572,3,-66.28,143.216,0,0,0
2011133,1,0.522,3,-66.28,143.228,0,0,0
2011134,1,0.384,3,-66.28,143.237,0,0,0
2011135,1,0.147,3,-66.28,143.24,0,0,0
2011136,1,0.132,3,-66.279,143.239,0,0,0
2011137,1,0.347,3,-66.276,143.236,0,0,0
2011138,1,0.467,3,-66.272,143.232,0,0,0
2011139,1,0.503,3,-66.268,143.228,0,0,0
2011140,1,0.467,3,-66.264,143.224,0,0,0
2011141,1,0.347,3,-66.261,143.221,0,0,0
2011142,1,0.132,3,-66.26,143.22,0,0,0
2011143,1,0.027,3,-66.26,143.221,0,0,0
2011144,1,0.063,3,-66.26,143.222,0,0,0
2011145,1,0.085,3,-66.26,143.224,0,0,0
2011146,1,0.098,3,-66.26,143.226,0,0,0
2011147,1,0.085,3,-66.26,143.228,0,0,0
2011148,1,0.063,3,-66.26,143.229,0,0,0
2011149,1,0.027,3,-66.26,143.23,0,0,0
2011150,1,0.292,3,-66.262,143.225,0,0,0
2011151,1,0.738,3,-66.266,143.212,0,0,0
2011152,1,1.023,3,-66.272,143.195,0,0,0
2011153,1,1.114,3,-66.278,143.175,0,0,0
2011154,1,1.023,3,-66.284,143.158,0,0,0
2011155,1,0.737,3,-66.288,143.145,0,0,0
2011156,1,0.292,3,-66.29,143.14,0,0,0
2011157,1,0,3,-66.29,143.14,0,0,0
2011158,1,0,3,-66.29,143.14,0,0,0
2011159,1,0,3,-66.29,143.14,0,0,0
2011160,1,0,3,-66.29,143.14,0,0,0
2011161,1,0,3,-66.29,143.14,0,0,0
2011162,1,0,3,-66.29,143.14,0,0,0
2011163,1,0,3,-66.29,143.14,0,0,0
2011164,1,0.213,3,-66.288,143.142,0,0,0
2011165,1,0.531,3,-66.284,143.148,0,0,0
2011166,1,0.742,3,-66.278,143.156,0,0,0
2011167,1,0.808,3,-66.272,143.164,0,0,0
2011168,1,0.742,3,-66.266,143.172,0,0,0
2011169,1,0.531,3,-66.262,143.178,0,0,0
2011170,1,0.213,3,-66.26,143.18,0,0,0
2011171,1,0.036,3,-66.26,143.179,0,0,0
2011172,1,0.089,3,-66.26,143.177,0,0,0
2011173,1,0.134,3,-66.26,143.174,0,0,0
2011174,1,0.156,3,-66.26,143.171,0,0,0
2011175,1,0.17,3,-66.26,143.167,0,0,0
2011176,1,0.165,3,-66.26,143.163,0,0,0
2011177,1,0.143,3,-66.26,143.16,0,0,0
2011178,1,0.158,3,-66.261,143.157,0,0,0
2011179,1,0.227,3,-66.262,143.153,0,0,0
2011180,1,0.271,3,-66.264,143.149,0,0,0
2011181,1,0.29,3,-66.266,143.146,0,0,0
2011182,1,0.25,3,-66.268,143.143,0,0,0
2011183,1,0.179,3,-66.269,143.141,0,0,0
2011184,1,0.076,3,-66.27,143.14,0,0,0
2011185,1,0,3,-66.27,143.14,0,0,0
2011186,1,0,3,-66.27,143.14,0,0,0
