date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2012127,0,0,14,-65.029,132.609,2,691.31,0
2012128,1,5.721,15,-65.081,132.596,1,691.9,0
2012129,1,1.974,15,-65.096,132.577,1,692.49,0
2012130,1,4.274,15,-65.132,132.542,1,693.09,0
2012131,1,16.258,15,-65.241,132.308,1,693.68,0
2012132,1,5.843,15,-65.279,132.222,1,694.27,0
2012133,1,8.793,15,-65.358,132.202,1,694.87,0
2012134,1,5.113,14,-65.403,132.185,1,695.46,0
2012135,1,7.859,15,-65.412,132.016,1,696.05,0
2012136,1,7.918,15,-65.483,132.023,1,696.65,0
2012137,1,9.748,15,-65.507,131.819,1,697.24,0
2012138,1,6.311,15,-65.521,131.686,1,697.83,0
2012139,1,26.266,15,-65.597,131.144,1,698.43,0
2012140,1,7.486,15,-65.596,130.981,1,699.46,0
2012141,1,8.107,14,-65.572,130.814,1,701.01,0
2012142,1,1.552,15,-65.586,130.811,1,702.68,0
2012143,1,7.452,15,-65.551,130.672,1,704.97,0
2012144,1,4.682,15,-65.511,130.642,1,707.42,0
2012145,1,7.92,15,-65.492,130.476,1,711.1,0
2012146,1,5.23,15,-65.453,130.414,1,712.37,0
2012147,1,3.053,15,-65.434,130.366,1,717.66,0
2012148,1,6.622,14,-65.41,130.234,1,723.42,0
2012149,1,8.405,15,-65.364,130.09,1,730.27,0
2012150,1,6.901,15,-65.339,129.953,1,737.64,0
2012151,1,5.067,15,-65.297,129.914,1,746.26,0
2012152,1,2.911,15,-65.304,129.853,1,747.95,0
2012153,1,1.157,15,-65.296,129.839,1,750.4,0
2012154,1,5.057,15,-65.253,129.803,1,753.9,0
2012155,1,3.956,14,-65.254,129.718,1,766.72,0
2012156,1,4.289,15,-65.22,129.674,1,780.15,0
2012157,1,7.777,15,-65.191,129.522,1,795.09,0
2012158,1,3.916,15,-65.175,129.447,1,803.46,0
2012159,1,5.278,15,-65.182,129.335,1,819.64,0
2012160,1,8.145,15,-65.189,129.161,1,835.98,0
2012161,1,8.546,15,-65.172,128.982,1,853.27,0
2012162,1,11.386,14,-65.18,128.738,1,863.41,0
2012163,1,4.376,15,-65.141,128.73,1,873.54,0
2012164,1,9.128,15,-65.148,128.535,1,881.93,0
2012165,1,6.499,15,-65.135,128.4,1,900.78,0
2012166,1,1.608,15,-65.144,128.373,1,908.36,0
2012167,1,2.903,15,-65.14,128.311,1,927.62,0
2012168,1,7.238,15,-65.163,128.166,1,946.9,0
2012169,1,19.127,14,-65.164,127.756,1,966.45,0
2012170,1,12.443,15,-65.178,127.491,1,986.87,0
2012171,1,21.374,15,-65.173,127.033,1,1009.99,0
2012172,1,16.406,15,-65.141,126.689,1,1028.79,0
2012173,1,11.699,15,-65.146,126.439,1,1047.43,0
2012174,1,20.015,15,-65.185,126.02,1,1065.82,0
2012175,1,20.551,15,-65.178,125.579,1,1083.81,0
2012176,1,18.703,14,-65.216,125.188,1,1117.14,0
2012177,1,15.312,15,-65.246,124.866,1,1141.93,0
2012178,1,14.824,15,-65.273,124.554,1,1170.13,0
2012179,1,15.909,15,-65.289,124.213,1,1197.65,0
2012180,1,14.84,15,-65.375,123.968,1,1215.48,0
2012181,1,11.327,15,-65.427,123.757,1,1232.27,0
2012182,1,17.631,15,-65.471,123.39,1,1249.63,0
2012183,1,16.992,14,-65.434,123.032,1,1272.13,0
2012184,1,19.981,15,-65.463,122.605,1,1287.77,0
2012185,1,17.255,15,-65.507,122.245,1,1300.86,0
2012186,1,19.35,15,-65.607,121.901,1,1312.99,0
2012187,1,8.422,15,-65.612,121.717,1,1330.64,0
2012188,1,11.006,15,-65.627,121.48,1,1348.29,0
2012189,1,4.698,15,-65.614,121.383,1,1366.3,0
2012190,1,10.069,14,-65.618,121.164,1,1373.33,0
2012191,1,6.344,15,-65.629,121.028,1,1390.81,0
2012192,1,17.441,15,-65.639,120.648,1,1395.17,0
2012193,1,3.127,15,-65.659,120.599,1,1397.68,0
2012194,1,6.063,15,-65.709,120.549,1,1397.76,0
2012195,1,8.133,15,-65.781,120.507,1,1394.48,0
2012196,1,9.678,15,-65.864,120.445,1,1388.97,0
2012197,1,3.014,14,-65.89,120.429,1,1382.57,0
2012198,1,5.098,15,-65.932,120.383,1,1367.41,0
2012199,1,1.858,15,-65.944,120.353,1,1352.06,0
2012200,1,5.349,15,-65.966,120.248,1,1340.63,0
2012201,1,3.387,15,-65.961,120.175,1,1312.09,0
2012202,1,7.813,15,-66.023,120.254,1,1294.2,0
2012203,1,4.247,15,-66.059,120.286,1,1272.15,0
2012204,1,9.692,14,-66.098,120.093,1,1252.38,0
2012205,1,5.627,15,-66.117,120.209,1,1232.79,0
2012206,1,4.922,15,-66.162,120.215,1,1213.35,0
2012207,1,2.338,15,-66.183,120.223,1,1191.91,0
2012208,1,10.635,15,-66.272,120.135,1,1171.48,0
2012209,1,0.922,15,-66.28,120.13,1,1150.08,0
2012210,1,0.824,15,-66.276,120.146,1,1130.68,0
2012211,1,0.96,14,-66.272,120.125,1,1111.27,0
2012212,1,1.114,15,-66.27,120.101,1,1093.12,0
2012213,1,1.356,15,-66.267,120.072,1,1074.91,0
2012214,1,1.427,15,-66.265,120.04,1,1057.76,0
2012215,1,1.317,15,-66.263,120.011,1,1041.03,0
2012216,1,1.025,15,-66.262,119.988,1,1024.66,0
2012217,1,0.556,15,-66.262,119.976,1,1009.74,0
2012218,1,0.971,14,-66.27,119.972,1,996.04,0
2012219,1,2.081,15,-66.277,119.928,1,984.37,0
2012220,1,6.871,15,-66.271,119.775,1,974,0
2012221,1,3.297,15,-66.272,119.701,1,965.48,0
2012222,1,5.675,15,-66.252,119.585,1,958.17,0
2012223,1,5.214,15,-66.209,119.536,1,959.47,0
2012224,1,2.146,15,-66.19,119.532,1,959.99,0
2012225,1,3.91,14,-66.155,119.523,1,956.52,0
2012226,1,3.697,15,-66.175,119.458,1,953.63,0
2012227,1,2.286,15,-66.164,119.5,1,955.72,0
2012228,1,0.984,15,-66.168,119.481,1,957.37,0
2012229,1,6.809,15,-66.18,119.332,1,956.34,0
2012230,1,3.793,15,-66.191,119.252,1,956.53,0
2012231,1,1.008,15,-66.194,119.273,1,957.19,0
2012232,1,0.828,15,-66.201,119.279,1,958.01,0
2012233,1,1.531,15,-66.215,119.282,1,958,0
2012234,1,10.419,15,-66.255,119.071,1,957.42,0
2012235,1,3.28,15,-66.225,119.068,1,957.23,0
2012236,1,3.048,15,-66.233,119.133,1,957.68,0
2012237,1,2.23,15,-66.218,119.166,1,960.71,0
2012238,1,4.137,15,-66.208,119.078,1,960.93,0
2012239,1,2.21,14,-66.189,119.06,1,961.99,0
2012240,1,6.649,15,-66.222,118.936,1,966.41,0
2012241,1,4.389,15,-66.206,118.847,1,967.64,0
2012242,1,6.17,15,-66.233,118.726,1,972.72,0
2012243,1,3.436,15,-66.24,118.651,1,978.22,0
2012244,1,9.908,15,-66.283,118.456,1,980.1,0
2012245,1,3.509,15,-66.293,118.382,1,984.09,0
2012246,1,1.849,14,-66.293,118.341,1,990.61,0
2012247,1,1.674,15,-66.283,118.311,1,997.41,0
2012248,1,0.96,15,-66.277,118.297,1,1004.38,0
2012249,1,3.212,15,-66.274,118.368,1,1011.82,0
2012250,1,1.711,15,-66.278,118.332,1,1021.61,0
2012251,1,4.031,15,-66.249,118.385,1,1032.24,0
2012252,1,1.338,15,-66.258,118.366,1,1043.19,0
2012253,1,2.597,14,-66.247,118.416,1,1054.59,0
2012254,1,3.523,15,-66.215,118.423,1,1065.86,0
2012255,1,3.714,15,-66.198,118.494,1,1076.39,0
2012256,1,3.499,15,-66.227,118.461,1,1087.15,0
2012257,1,8.309,15,-66.261,118.295,1,1097.64,0
2012258,1,3.119,15,-66.266,118.227,1,1109.09,0
2012259,1,1.651,15,-66.257,118.256,1,1121.1,-0.0003
2012260,1,3.777,14,-66.277,118.187,1,1133.07,-0.0001
2012261,1,2.69,15,-66.26,118.142,1,1144.7,-0.0086
2012262,1,4.074,15,-66.231,118.087,1,1153.79,-0.0004
2012263,1,3.275,15,-66.242,118.019,1,1165.33,0.0236
2012264,1,3.974,15,-66.242,117.93,1,1175.2,0.0313
2012265,1,4.084,15,-66.262,117.853,1,1181.77,0.089
2012266,1,0.689,15,-66.258,117.863,1,1191.53,0.0468
2012267,1,1.708,14,-66.256,117.825,1,1197.93,-0.004
2012268,1,1.553,15,-66.244,117.838,1,1203.53,-0.0561
2012269,1,1.051,15,-66.244,117.815,1,1212.62,-0.1214
2012270,1,3.401,15,-66.216,117.847,1,1219.65,-0.1038
2012271,1,1.849,15,-66.2,117.858,1,1224.3,-0.0973
2012272,1,5.119,15,-66.16,117.914,1,1227.83,-0.0879
2012273,1,2.698,15,-66.153,117.857,1,1230.71,-0.0234
2012274,1,9.099,14,-66.075,117.796,1,1233.5,-0.0466
2012275,1,6.09,15,-66.129,117.816,1,1233.63,-0.041
2012276,1,0.622,15,-66.135,117.816,1,1233.45,-0.0344
2012277,1,0.473,15,-66.138,117.808,1,1232.64,-0.0309
2012278,1,0.53,15,-66.139,117.797,1,1231.87,0.0132
2012279,1,2.613,15,-66.116,117.784,1,1231.03,0.0057
2012280,1,1.044,15,-66.11,117.802,1,1229.99,0
2012281,1,3.527,14,-66.134,117.752,1,1228.6,0
2012282,1,2.378,15,-66.15,117.715,1,1227.13,0
2012283,1,3.483,15,-66.158,117.641,1,1226.34,0.0046
2012284,1,0.87,15,-66.166,117.639,1,1224.75,0.0626
2012285,1,2.994,15,-66.145,117.596,1,1223.29,-0.1214
2012286,1,0.493,15,-66.143,117.606,1,1221.77,-0.1014
2012287,1,2.062,15,-66.149,117.649,1,1221.58,-0.0405
2012288,1,2.831,14,-66.139,117.592,1,1223.83,-0.0524
2012289,1,2.277,15,-66.154,117.557,1,1228.23,0.066
2012290,1,0.853,15,-66.161,117.555,1,1234.16,0.1442
2012291,1,1.108,15,-66.159,117.532,1,1240.14,0.3249
2012292,1,1.197,15,-66.149,117.543,1,1244.62,0.3704
2012293,1,3.408,15,-66.177,117.513,1,1249.9,0.2236
2012294,1,2.727,15,-66.156,117.543,1,1255.63,0.2548
2012295,1,0.588,14,-66.158,117.531,1,1261.82,0.1521
2012296,1,2.016,15,-66.156,117.576,1,1268.21,0.0327
2012297,1,1.501,15,-66.143,117.563,1,1275.04,-0.0346
2012298,1,1.974,15,-66.161,117.551,1,1283.24,-0.044
2012299,1,0.882,15,-66.153,117.552,1,1284.7,-0.025
2012300,1,1.388,15,-66.152,117.521,1,1286.49,-0.0561
2012301,1,2.571,15,-66.172,117.494,1,1288.18,-0.0121
2012302,1,3.168,14,-66.153,117.547,1,1287.67,-0.0176
2012303,1,1.567,15,-66.165,117.526,1,1288.85,-0.0464
2012304,1,1.046,15,-66.159,117.544,1,1286.92,-0.0153
2012305,1,0.78,15,-66.153,117.556,1,1287.96,-0.0472
2012306,1,0.852,15,-66.148,117.568,1,1285.86,0.0128
