date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2015132,0,0,5,-69.791,21.186,0,2452.38,0
2015133,1,35.558,5,-69.677,20.322,0,2451,0
2015134,1,20.431,5,-69.645,19.801,0,2449.63,0
2015135,1,13.807,6,-69.748,20.001,0,2448.25,0
2015136,1,29.842,7,-69.661,19.268,0,2446.88,0
2015137,1,40.876,7,-69.572,18.242,0,2445.5,0
2015138,1,28.72,7,-69.475,17.556,0,2444.13,0
2015139,1,26.233,7,-69.429,16.896,0,2442.75,0
2015140,1,23.979,7,-69.361,16.312,0,2441.38,0
2015141,1,15.219,7,-69.352,15.924,0,2440,0.002
2015142,1,3.534,6,-69.343,15.838,0,2438.62,0.0019
2015143,1,0,7,-69.343,15.838,0,2437.25,-0.0059
2015144,1,2.209,7,-69.362,15.853,0,2435.87,-0.0144
2015145,1,0.994,7,-69.37,15.861,0,2433.95,-0.0192
2015146,1,3.495,7,-69.352,15.787,0,2432.04,-0.0146
2015147,1,2.579,7,-69.331,15.814,0,2430.07,0.0173
2015148,1,2.933,7,-69.352,15.86,0,2428.14,0.0464
2015149,1,2.229,6,-69.343,15.809,0,2426.17,0.054
2015150,1,2.334,7,-69.344,15.869,0,2424.02,0.0499
2015151,1,1.211,7,-69.351,15.845,0,2421.74,0.0313
2015152,1,4.309,7,-69.325,15.765,0,2419.32,0.008
2015153,1,3.618,7,-69.352,15.816,0,2416.64,-0.013
2015154,1,2.939,7,-69.336,15.877,0,2413.8,-0.0207
2015155,1,0.98,7,-69.344,15.862,0,2410.78,-0.0034
2015156,1,0,6,-69.344,15.862,0,2407.77,0.0051
2015157,1,0.062,7,-69.344,15.862,0,2404.59,0
2015158,1,2.813,7,-69.332,15.798,1,2401.06,0
2015159,1,0.221,7,-69.334,15.797,1,2397.53,0
2015160,1,0.24,7,-69.337,15.795,1,2394.17,0
2015161,1,0.228,7,-69.338,15.794,1,2390.36,0
2015162,1,0.182,7,-69.34,15.791,1,2386.25,0
2015163,1,0.114,6,-69.34,15.789,1,2380.05,0
2015164,1,1.196,7,-69.351,15.793,1,2373.61,0
2015165,1,0.364,7,-69.351,15.783,1,2365.26,0
2015166,1,0.487,7,-69.351,15.771,1,2357.63,0
2015167,1,0.564,7,-69.351,15.756,1,2348.1,0
2015168,1,3.391,7,-69.364,15.678,0,2338.68,0
2015169,1,3.099,7,-69.346,15.619,0,2329.39,0
2015170,1,4.397,6,-69.318,15.54,0,2318.19,0
2015171,1,0.576,7,-69.316,15.526,0,2305.06,0
2015172,1,0.756,7,-69.313,15.509,0,2295.9,0
2015173,1,0.862,7,-69.308,15.492,0,2284.78,0
2015174,1,0.863,7,-69.302,15.476,0,2277.61,0
2015175,1,0.759,7,-69.298,15.463,0,2268.71,0
2015176,1,0.537,7,-69.294,15.453,0,2264.01,0
2015177,1,0.206,6,-69.293,15.45,0,2266,0
2015178,1,0,7,-69.293,15.45,0,2274.02,0
2015179,1,0,7,-69.293,15.45,0,2288.76,0
2015180,1,0,7,-69.293,15.45,0,2309.45,0
2015181,1,0,7,-69.293,15.45,0,2336.35,0
2015182,1,0,7,-69.293,15.45,0,2367.47,0
2015183,1,3.396,7,-69.314,15.511,0,2415.51,0
2015184,1,0,6,-69.314,15.511,0,2467.58,0
2015185,1,0,7,-69.314,15.511,1,2536.39,0
2015186,1,0,7,-69.314,15.511,1,2604.87,0
2015187,1,0,7,-69.314,15.511,1,2676.03,0
2015188,1,2.231,7,-69.305,15.46,1,2749.24,0
2015189,1,0,7,-69.305,15.46,1,2825.09,0
2015190,1,0,7,-69.305,15.46,1,2902.95,0
2015191,1,2.762,6,-69.282,15.486,1,2983.37,0
2015192,1,0,7,-69.282,15.486,1,3065.71,0
2015193,1,0,7,-69.282,15.486,1,3150.53,0
2015194,1,0,7,-69.282,15.486,1,3235.19,0
2015195,1,0,7,-69.282,15.486,1,3324.41,0
2015196,1,0,7,-69.282,15.486,1,3415.54,0
2015197,1,0,7,-69.282,15.486,1,3502.77,0
2015198,1,0,6,-69.282,15.486,1,3591.91,0
2015199,1,2.054,5,-69.264,15.471,0,3677.15,0
2015200,1,2.271,5,-69.274,15.421,0,3764.3,0
2015201,1,0,5,-69.274,15.421,0,3847.38,0
2015202,1,3.461,5,-69.275,15.509,0,3923.89,0
2015203,1,0,5,-69.275,15.509,0,3994.65,0
2015204,1,5.157,5,-69.317,15.454,0,4058.84,0
2015205,1,0,5,-69.317,15.454,0,4117.27,0
