date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2019109,0,0,3,-57.167,-42.183,1,2931.33,0
2019110,1,16.33,3,-57.026,-42.107,1,2931.33,0
2019111,1,9.293,7,-56.947,-42.055,1,2931.33,0
2019112,1,13.562,7,-56.825,-42.052,1,2931.33,0
2019113,1,14.913,7,-56.692,-42.018,1,2931.33,0
2019114,1,16.026,7,-56.549,-41.982,1,2931.33,0
2019115,1,15.605,7,-56.41,-41.949,1,2931.33,0
2019116,1,13.665,7,-56.287,-41.925,1,2931.33,0
2019117,1,10.719,7,-56.191,-41.911,1,2931.33,0
2019118,1,6.706,7,-56.131,-41.907,1,2931.33,0
2019119,1,3.992,7,-56.095,-41.91,2,2931.33,0
2019120,1,3.533,7,-56.063,-41.914,2,2931.33,0
2019121,1,4.094,7,-56.026,-41.91,1,2931.33,0
2019122,1,3.157,7,-55.998,-41.905,1,2931.33,0
2019123,1,0.68,6,-55.992,-41.906,1,2931.33,0
2019124,1,1.168,7,-55.992,-41.887,1,2931.33,0
2019125,1,3.274,7,-55.992,-41.835,1,2931.33,0
2019126,1,5.038,7,-55.992,-41.754,1,2931.33,0
2019127,1,6.457,7,-55.992,-41.65,1,2931.33,0
2019128,1,7.532,7,-55.992,-41.528,1,2931.33,0
2019129,1,8.262,7,-55.992,-41.395,1,2931.33,0
2019130,1,8.647,7,-55.992,-41.256,1,2931.33,0
2019131,1,42.83,5,-56,-41.946,0,2931.33,0
2019132,1,0,5,-56,-41.946,0,2931.33,0
2019133,1,0,5,-56,-41.946,-0,2931.33,0
2019134,1,0,5,-56,-41.946,-0,2931.33,0
