date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2014250,0,0,5,-65.936,51.539,0,1093.12,0
2014251,1,0,5,-65.936,51.539,0,1088.68,0
2014252,1,0,5,-65.936,51.539,0,1084.24,0
2014253,1,0,5,-65.936,51.539,0,1079.8,0
2014254,1,0,5,-65.936,51.539,0,1075.36,0
2014255,1,6.981,6,-65.873,51.545,1,1070.92,0
2014256,1,0,7,-65.873,51.545,1,1066.48,0
2014257,1,0,7,-65.873,51.545,1,1062.04,0
2014258,1,0,7,-65.873,51.545,1,1057.59,0
2014259,1,0,7,-65.873,51.545,1,1053.15,0
2014260,1,0,7,-65.873,51.545,1,1048.71,0
2014261,1,0,7,-65.873,51.545,1,1044.27,0
2014262,1,0,6,-65.873,51.545,1,1039.83,0
2014263,1,0,7,-65.873,51.545,1,1035.16,0
2014264,1,0,7,-65.873,51.545,1,1029.95,0
2014265,1,0,7,-65.873,51.545,1,1025.33,0
2014266,1,0,7,-65.873,51.545,1,1020.67,0
2014267,1,0,7,-65.873,51.545,1,1016.25,0
2014268,1,0,7,-65.873,51.545,1,1011.16,0
2014269,1,0,6,-65.873,51.545,1,1005.86,0
2014270,1,0,7,-65.873,51.545,1,998.28,0
2014271,1,0,7,-65.873,51.545,1,990.71,0
2014272,1,0,7,-65.873,51.545,1,983.3,0
2014273,1,0,7,-65.873,51.545,1,975.03,0
2014274,1,0,7,-65.873,51.545,1,966.77,0
2014275,1,0,7,-65.873,51.545,1,959.46,0
2014276,1,0,6,-65.873,51.545,1,952.3,0
2014277,1,0,7,-65.873,51.545,1,941.33,0
2014278,1,0,7,-65.873,51.545,1,932.55,0
2014279,1,0,7,-65.873,51.545,1,922.7,0
2014280,1,0,7,-65.873,51.545,1,914.06,0
2014281,1,0,7,-65.873,51.545,1,906.03,0
2014282,1,0,7,-65.873,51.545,1,899.98,0
2014283,1,0,6,-65.873,51.545,1,891.48,0
2014284,1,0,7,-65.873,51.545,1,883.72,0
2014285,1,0,7,-65.873,51.545,1,876.14,0
2014286,1,0,7,-65.873,51.545,1,870.41,0
2014287,1,0,7,-65.873,51.545,1,866.85,0
2014288,1,0,7,-65.873,51.545,1,863.61,0
2014289,1,0,7,-65.873,51.545,1,862.09,0
2014290,1,0,6,-65.873,51.545,1,861.35,0
2014291,1,0,7,-65.873,51.545,1,861.18,0
2014292,1,0,7,-65.873,51.545,1,860.67,0
2014293,1,0,7,-65.873,51.545,1,861.85,0
2014294,1,0,7,-65.873,51.545,1,859.85,0
2014295,1,0,7,-65.873,51.545,1,863.52,0
2014296,1,0,7,-65.873,51.545,1,864.46,0
2014297,1,0,6,-65.873,51.545,1,866.14,0
2014298,1,0,7,-65.873,51.545,1,868.26,0
2014299,1,0,7,-65.873,51.545,1,874.95,0
2014300,1,0,7,-65.873,51.545,1,882.21,0
2014301,1,0,7,-65.873,51.545,1,886.55,0
2014302,1,0,7,-65.873,51.545,1,894.06,0
2014303,1,0,7,-65.873,51.545,1,901.68,0
2014304,1,0,6,-65.873,51.545,1,909.51,0
2014305,1,0,7,-65.873,51.545,1,918.89,0
2014306,1,0,7,-65.873,51.545,1,928.84,0
2014307,1,0,7,-65.873,51.545,1,939.71,0
2014308,1,0,7,-65.873,51.545,1,951.97,0
2014309,1,0,7,-65.873,51.545,1,965.28,0
2014310,1,0,7,-65.873,51.545,1,979.87,0
2014311,1,0,6,-65.873,51.545,1,993.85,0
2014312,1,0,7,-65.873,51.545,1,1007.33,0
2014313,1,3.836,7,-65.907,51.526,1,1022.68,0
2014314,1,0,7,-65.907,51.526,1,1037.16,0
2014315,1,0,7,-65.907,51.526,1,1051.64,0
2014316,1,0,7,-65.907,51.526,1,1067.12,0
2014317,1,0,7,-65.907,51.526,1,1084.03,0
2014318,1,0,6,-65.907,51.526,1,1101.35,0
2014319,1,0,7,-65.907,51.526,1,1122.87,0
2014320,1,1.728,7,-65.893,51.507,1,1142.46,0
2014321,1,0,7,-65.893,51.507,1,1166.2,0
2014322,1,0,7,-65.893,51.507,1,1190.91,0
2014323,1,0,7,-65.893,51.507,1,1216.48,0
2014324,1,0,7,-65.893,51.507,1,1238.98,0
2014325,1,0,6,-65.893,51.507,1,1262.09,0
2014326,1,9.415,5,-65.976,51.465,0,1289.16,0
2014327,1,0,5,-65.976,51.465,0,1303.03,0
2014328,1,0,5,-65.976,51.465,0,1330.41,0
2014329,1,0,5,-65.976,51.465,0,1347.51,0
2014330,1,0,5,-65.976,51.465,0,1364.21,0
2014331,1,0,5,-65.976,51.465,0,1379.17,0
2014332,1,0,5,-65.976,51.465,0,1391.85,0
2014333,1,0,5,-65.976,51.465,0,1408.28,0
2014334,1,0,5,-65.976,51.465,0,1431.42,0
2014335,1,0,5,-65.976,51.465,0,1457.06,0
2014336,1,0,5,-65.976,51.465,0,1487.65,0
2014337,1,0,5,-65.976,51.465,0,1518.85,0
2014338,1,0,5,-65.976,51.465,0,1543,0
