date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2014249,0,0,5,-65.868,51.579,0,812.91,0
2014250,1,0,5,-65.868,51.579,0,813.11,0
2014251,1,0,5,-65.868,51.579,0,813.31,0
2014252,1,0,5,-65.868,51.579,0,813.52,0
2014253,1,0,5,-65.868,51.579,0,813.72,0
2014254,1,0,5,-65.868,51.579,0,813.92,0
2014255,1,6.522,6,-65.889,51.444,1,814.12,0
2014256,1,0,7,-65.889,51.444,1,814.32,0
2014257,1,0,7,-65.889,51.444,1,814.52,0
2014258,1,0,7,-65.889,51.444,1,814.73,0
2014259,1,0,7,-65.889,51.444,1,814.93,0
2014260,1,0,7,-65.889,51.444,1,815.13,0
2014261,1,0,7,-65.889,51.444,1,815.33,0
2014262,1,0,6,-65.889,51.444,1,815.5,0
2014263,1,0,7,-65.889,51.444,1,815.84,0
2014264,1,0,7,-65.889,51.444,1,816.12,0
2014265,1,0,7,-65.889,51.444,1,816.32,0
2014266,1,0,7,-65.889,51.444,1,816.94,0
2014267,1,0,7,-65.889,51.444,1,818.63,0
2014268,1,0,7,-65.889,51.444,1,820.67,0
2014269,1,0,6,-65.889,51.444,1,822.72,0
2014270,1,0,7,-65.889,51.444,1,825.2,0
2014271,1,0,7,-65.889,51.444,1,827.77,0
2014272,1,0,7,-65.889,51.444,1,830.34,0
2014273,1,0,7,-65.889,51.444,1,833,0
2014274,1,0,7,-65.889,51.444,1,835.57,0
2014275,1,0,7,-65.889,51.444,1,838.34,0
2014276,1,0,6,-65.889,51.444,1,841.19,0
2014277,1,0,7,-65.889,51.444,1,844.14,0
2014278,1,0,7,-65.889,51.444,1,845.17,0
2014279,1,0,7,-65.889,51.444,1,846.66,0
2014280,1,0,7,-65.889,51.444,1,850.11,0
2014281,1,0,7,-65.889,51.444,1,853.76,0
2014282,1,0,7,-65.889,51.444,1,857.48,0
2014283,1,0,6,-65.889,51.444,1,861.24,0
2014284,1,0,7,-65.889,51.444,1,865,0
2014285,1,0,7,-65.889,51.444,1,868.99,0
2014286,1,0,7,-65.889,51.444,1,873.2,0
2014287,1,0,7,-65.889,51.444,1,877.44,0
2014288,1,0,7,-65.889,51.444,1,881.76,0
2014289,1,0,7,-65.889,51.444,1,886.18,0
2014290,1,0,6,-65.889,51.444,1,890.39,0
2014291,1,0,7,-65.889,51.444,1,894.63,0
2014292,1,0,7,-65.889,51.444,1,898.12,0
2014293,1,0,7,-65.889,51.444,1,900.95,0
2014294,1,0,7,-65.889,51.444,1,904.46,0
2014295,1,0,7,-65.889,51.444,1,906.84,0
2014296,1,0,7,-65.889,51.444,1,910.23,0
2014297,1,0,6,-65.889,51.444,1,912.75,0
2014298,1,0,7,-65.889,51.444,1,915.46,0
2014299,1,0,7,-65.889,51.444,1,917.4,0
2014300,1,0,7,-65.889,51.444,1,919.39,0
2014301,1,0,7,-65.889,51.444,1,920.46,0
2014302,1,0,7,-65.889,51.444,1,921.63,0
2014303,1,0,7,-65.889,51.444,1,924.36,0
2014304,1,0,7,-65.889,51.444,1,927,0
2014305,1,0,7,-65.889,51.444,1,927.26,0
2014306,1,0,7,-65.889,51.444,1,927.55,0
2014307,1,0,7,-65.889,51.444,1,928.55,0
2014308,1,0,7,-65.889,51.444,1,929.69,0
2014309,1,0,7,-65.889,51.444,1,932.04,0
2014310,1,0.276,7,-65.888,51.439,1,934.94,0
2014311,1,0.278,6,-65.888,51.433,1,939.42,0
2014312,1,0,7,-65.888,51.433,1,944.48,0
2014313,1,0,7,-65.888,51.433,1,952.07,0
2014314,1,0,7,-65.888,51.433,1,960.1,0
2014315,1,0,7,-65.888,51.433,1,970.75,0
2014316,1,0,7,-65.888,51.433,1,981.34,0
2014317,1,0,7,-65.888,51.433,1,992.12,0
2014318,1,0,6,-65.888,51.433,1,1004.03,0
2014319,1,0,7,-65.888,51.433,1,1015.57,0
2014320,1,0,7,-65.888,51.433,1,1028.22,0
2014321,1,0,7,-65.888,51.433,1,1040.1,0
2014322,1,0,7,-65.888,51.433,1,1053.25,0
2014323,1,0,7,-65.888,51.433,1,1066.52,0
2014324,1,0,7,-65.888,51.433,1,1081.07,0
2014325,1,0,6,-65.888,51.433,1,1096.08,0
2014326,1,6.101,5,-65.865,51.556,0,1112.42,0
2014327,1,0,5,-65.865,51.556,0,1129.26,0
2014328,1,0,5,-65.865,51.556,0,1144.25,0
2014329,1,0,5,-65.865,51.556,0,1159.91,0
2014330,1,0,5,-65.865,51.556,0,1178.82,0
2014331,1,0,5,-65.865,51.556,0,1194.12,0
2014332,1,0,5,-65.865,51.556,0,1208.46,0
2014333,1,0,5,-65.865,51.556,0,1222.38,0
2014334,1,0,5,-65.865,51.556,0,1243.34,0
2014335,1,0,5,-65.865,51.556,0,1258.29,0
2014336,1,0,5,-65.865,51.556,0,1273.34,0
2014337,1,0,5,-65.865,51.556,0,1295.98,0
2014338,1,0,5,-65.865,51.556,0,1317.21,0
2014339,1,6.101,6,-65.888,51.433,1,1339.54,0
2014340,1,5.96,7,-65.924,51.529,1,1360.89,0
2014341,1,0,7,-65.924,51.529,1,1383.42,0
2014342,1,0,7,-65.924,51.529,1,1407.09,0
2014343,1,0,7,-65.924,51.529,1,1431.79,0
2014344,1,0,7,-65.924,51.529,1,1458.16,0
2014345,1,0,6,-65.924,51.529,1,1487.57,0
2014346,1,0.024,7,-65.924,51.53,1,1517.91,0
2014347,1,0.072,7,-65.925,51.53,1,1550.43,0
2014348,1,0.096,7,-65.926,51.531,1,1582.15,0
2014349,1,0.108,7,-65.927,51.532,1,1620.66,0
2014350,1,0.317,7,-65.928,51.526,1,1651.77,0
2014351,1,0.317,7,-65.929,51.519,1,1697.4,0
2014352,1,0.072,7,-65.93,51.52,1,1744.57,0
2014353,1,0.024,6,-65.93,51.52,1,1797.07,0
2014354,1,0,7,-65.93,51.52,1,1849.86,0
2014355,1,0,7,-65.93,51.52,1,1901.59,0.0208
2014356,1,0,7,-65.93,51.52,1,1977.89,-0.003
2014357,1,0,7,-65.93,51.52,1,2053.35,-0.0745
2014358,1,0,7,-65.93,51.52,1,2131.14,-0.0262
2014359,1,0,7,-65.93,51.52,1,2202.96,-0.0522
2014360,1,0,6,-65.93,51.52,1,2273.23,-0.0632
2014361,1,0,7,-65.93,51.52,1,2331.01,-0.0592
2014362,1,0,7,-65.93,51.52,1,2378.05,-0.0403
2014363,1,0,7,-65.93,51.52,1,2435.16,-0.0063
2014364,1,0,7,-65.93,51.52,1,2488.59,-0.0229
2014365,1,0,7,-65.93,51.52,1,2523.24,-0.0476
2015001,1,0,7,-65.93,51.52,1,2556,0.0284
2015002,1,0,6,-65.93,51.52,1,2592.85,0.0081
2015003,1,0,7,-65.93,51.52,1,2630.54,0.0056
2015004,1,0,7,-65.93,51.52,1,2659.65,-0.0723
2015005,1,0,7,-65.93,51.52,1,2691.46,0.0002
2015006,1,0,7,-65.93,51.52,1,2720.53,0.0364
2015007,1,0,7,-65.93,51.52,1,2750.46,0.0794
2015008,1,0,7,-65.93,51.52,1,2764.87,0.0646
2015009,1,0,7,-65.93,51.52,1,2771.53,0.0473
2015010,1,0,7,-65.93,51.52,1,2777.87,0.0276
2015011,1,0,7,-65.93,51.52,1,2767.35,-0.0493
2015012,1,0,7,-65.93,51.52,1,2754.51,-0.1107
2015013,1,0,7,-65.93,51.52,1,2731.36,0.0798
2015014,1,0,7,-65.93,51.52,1,2706.76,0.0793
2015015,1,9.69,7,-65.967,51.326,1,2681.86,0.1548
2015016,1,0,6,-65.967,51.326,1,2633.8,0.0476
2015017,1,0,7,-65.967,51.326,1,2581.04,0.0876
2015018,1,0,7,-65.967,51.326,1,2525.11,0.0619
2015019,1,0,7,-65.967,51.326,1,2464.6,0.0981
2015020,1,0,7,-65.967,51.326,1,2415.28,0.0202
2015021,1,0,7,-65.967,51.326,1,2374.8,0.1356
2015022,1,0,7,-65.967,51.326,1,2335.04,0.3277
2015023,1,0,7,-65.967,51.326,1,2273.15,0.3747
2015024,1,0,7,-65.967,51.326,1,2210.52,0.2825
2015025,1,0,7,-65.967,51.326,1,2168.63,0.3474
2015026,1,0,7,-65.967,51.326,1,2125.6,0.57
2015027,1,0,7,-65.967,51.326,1,2077.96,0.7125
2015028,1,0,7,-65.967,51.326,1,2025.7,0.6001
2015029,1,0,7,-65.967,51.326,1,1978.01,0.5945
2015030,1,0,7,-65.967,51.326,1,1922.63,0.6061
2015031,1,0,7,-65.967,51.326,1,1867.01,0.3166
2015032,1,0,7,-65.967,51.326,1,1801.43,0.0601
2015033,1,0,7,-65.967,51.326,1,1752.37,-0.1008
2015034,1,0,7,-65.967,51.326,1,1704.55,-0.0039
2015035,1,0,7,-65.967,51.326,1,1662.72,-0.0118
2015036,1,0,7,-65.967,51.326,1,1624.46,0
2015037,1,1.865,7,-65.951,51.31,1,1584.83,0
2015038,1,1.866,7,-65.936,51.293,1,1556.33,0
2015039,1,0,7,-65.936,51.293,1,1528.18,0
2015040,1,0,7,-65.936,51.293,1,1495.51,0
2015041,1,0,7,-65.936,51.293,1,1465.71,0
2015042,1,0,7,-65.936,51.293,1,1444.37,-0.0072
2015043,1,0,7,-65.936,51.293,1,1423.58,-0.0004
2015044,1,0,7,-65.936,51.293,1,1407.93,0.0168
2015045,1,0,7,-65.936,51.293,1,1384.72,0.0229
2015046,1,0,7,-65.936,51.293,1,1363.34,0.037
2015047,1,0,7,-65.936,51.293,1,1342.94,0.0427
2015048,1,0,7,-65.936,51.293,1,1332.05,0.04
2015049,1,0,7,-65.936,51.293,1,1325.87,0.029
2015050,1,1.573,7,-65.923,51.31,1,1316.5,0.0096
2015051,1,1.577,6,-65.911,51.326,1,1308.25,0.0045
2015052,1,0,7,-65.911,51.326,1,1306.06,-0.0019
2015053,1,0,7,-65.911,51.326,1,1305.29,-0.0016
2015054,1,0,7,-65.911,51.326,1,1317.34,0.01
2015055,1,0,7,-65.911,51.326,1,1326.98,-0.0207
2015056,1,0,7,-65.911,51.326,1,1343.93,0.0753
2015057,1,0,7,-65.911,51.326,1,1381.77,0.0453
2015058,1,0,6,-65.911,51.326,1,1414.71,0.1118
2015059,1,0,7,-65.911,51.326,1,1449.86,-0.0811
2015060,1,0,7,-65.911,51.326,1,1486.65,-0.1686
2015061,1,0,7,-65.911,51.326,1,1521.72,-0.0792
2015062,1,0,7,-65.911,51.326,1,1558.44,-0.0113
2015063,1,0,7,-65.911,51.326,1,1593.28,0.0405
2015064,1,0,7,-65.911,51.326,1,1628.21,0.1847
2015065,1,0,6,-65.911,51.326,1,1667.9,0.1778
2015066,1,0,7,-65.911,51.326,1,1696.66,0.2152
2015067,1,0,7,-65.911,51.326,1,1731.62,-0.0111
2015068,1,0,7,-65.911,51.326,1,1763.06,-0.0568
2015069,1,0,7,-65.911,51.326,1,1789.19,0
2015070,1,0,7,-65.911,51.326,1,1821.75,-0.0102
2015071,1,0,7,-65.911,51.326,1,1854.27,0.0087
2015072,1,0,6,-65.911,51.326,1,1887.64,0.0176
2015073,1,0.036,7,-65.91,51.326,1,1922.44,0.0226
2015074,1,0.084,7,-65.91,51.325,1,1955.39,0.0237
