date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2019025,0,0,2,-54.15,-26.317,1,4501.07,0
2019026,1,6.788,3,-54.089,-26.314,1,4490.54,0
2019027,1,6.023,3,-54.035,-26.308,1,4480.01,0
2019028,1,5.173,3,-53.989,-26.298,1,4469.47,0
2019029,1,4.24,3,-53.951,-26.285,1,4458.94,0
2019030,1,3.259,3,-53.923,-26.27,1,4448.4,0
2019031,1,2.237,3,-53.906,-26.252,1,4437.87,0
2019032,1,1.405,2,-53.9,-26.233,2,4427.34,0
2019033,1,2.439,3,-53.908,-26.199,2,4416.8,-0.0095
2019034,1,4.477,3,-53.93,-26.141,2,4406.27,0.0239
2019035,1,5.658,3,-53.959,-26.07,2,4395.74,0.006
2019036,1,5.964,3,-53.991,-25.997,2,4384.31,-0.0081
2019037,1,5.363,3,-54.02,-25.931,1,4367.08,-0.0452
2019038,1,3.869,3,-54.042,-25.885,1,4352.28,-0.0171
2019039,1,1.488,2,-54.05,-25.867,1,4343.04,0.0294
2019040,1,4.539,3,-54.036,-25.932,1,4333.2,0.062
2019041,1,11.73,3,-54,-26.101,2,4323.61,0.0807
2019042,1,16.04,3,-53.952,-26.332,2,4314.23,0.1155
2019043,1,17.503,3,-53.898,-26.584,2,4303.15,0.0763
2019044,1,16.075,3,-53.85,-26.815,2,4292.76,0.037
2019045,1,11.777,3,-53.814,-26.985,2,4281.89,-0.02
2019046,1,4.562,2,-53.8,-27.05,2,4270.83,-0.0103
2019047,1,4.454,3,-53.838,-27.028,2,4258.65,0
2019048,1,11.467,3,-53.936,-26.971,1,4244.26,0
2019049,1,15.681,3,-54.069,-26.893,1,4229.36,0
2019050,1,17.075,3,-54.214,-26.807,1,4212.12,0
2019051,1,15.669,3,-54.348,-26.729,1,4193.76,0
2019052,1,11.452,3,-54.446,-26.672,2,4171.6,0
2019053,1,4.436,2,-54.483,-26.65,2,4148.36,0
2019054,1,0,3,-54.483,-26.65,1,4122.37,0
2019055,1,0,3,-54.483,-26.65,1,4095.84,0
2019056,1,0,3,-54.483,-26.65,1,4066.79,0
2019057,1,0,3,-54.483,-26.65,1,4037.13,0
2019058,1,0,3,-54.483,-26.65,1,4006,0
2019059,1,0,3,-54.483,-26.65,1,3974.86,0
2019060,1,0,2,-54.483,-26.65,1,3943.73,0
2019061,1,2.785,3,-54.474,-26.69,1,3912.59,0
2019062,1,7.813,3,-54.446,-26.801,1,3881.46,0
2019063,1,12.003,3,-54.405,-26.973,1,3850.32,0
2019064,1,15.371,3,-54.351,-27.192,1,3819.18,0
2019065,1,17.906,3,-54.289,-27.447,1,3788.05,0
2019066,1,19.614,3,-54.221,-27.726,1,3756.91,0
2019067,1,20.482,2,-54.15,-28.017,1,3725.78,0
