date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2000125,0,0,17,-78.157,-169.888,1,5477.48,-0.0027
2000126,1,9.024,17,-78.171,-170.278,1,5432.61,0.0029
2000127,1,4.509,17,-78.178,-170.474,1,5387.74,0.0031
2000128,1,6.382,17,-78.145,-170.702,1,5342.87,0.0004
2000129,1,0,17,-78.145,-170.702,1,5298,-0.0031
2000130,1,0,17,-78.145,-170.702,1,5253.12,-0.0007
2000131,1,0,17,-78.145,-170.702,1,5208.25,0.0053
2000132,1,0,17,-78.145,-170.702,1,5163.38,0.0095
2000133,1,4.509,17,-78.151,-170.897,1,5118.51,0.001
2000134,1,10.087,17,-78.178,-170.474,1,5073.64,-0.0071
2000135,1,0,17,-78.178,-170.474,1,5028.77,-0.0139
2000136,1,9.02,17,-78.191,-170.866,1,4983.89,-0.0118
2000137,1,0,17,-78.191,-170.866,1,4939.02,-0.0359
2000138,1,0,17,-78.191,-170.866,1,4887.94,-0.0362
2000139,1,0,17,-78.191,-170.866,1,4833.79,-0.0351
2000140,1,0,17,-78.191,-170.866,1,4776.89,-0.0119
2000141,1,0,17,-78.191,-170.866,1,4718.3,-0.0125
2000142,1,0,17,-78.191,-170.866,1,4658.88,-0.0031
2000143,1,0,17,-78.191,-170.866,1,4598.62,0.0131
2000144,1,0,17,-78.191,-170.866,1,4537.28,0.0259
2000145,1,0,17,-78.191,-170.866,1,4476.15,0.0107
2000146,1,10.092,17,-78.244,-171.228,1,4415.46,0.0089
2000147,1,6.386,17,-78.198,-171.062,1,4355.12,0.0009
2000148,1,9.023,17,-78.21,-171.455,1,4295.56,0.0066
2000149,1,13.105,19,-78.205,-170.877,1,4230.62,0.0043
2000150,1,17.797,17,-78.256,-171.623,1,4170.28,0.001
2000151,1,0,17,-78.256,-171.623,1,4111.64,0.0022
2000152,1,0,17,-78.256,-171.623,1,4055.55,-0.0003
2000153,1,6.381,17,-78.222,-171.849,1,3999.36,-0.0022
2000154,1,0,17,-78.222,-171.849,1,3947.82,-0.0038
2000155,1,4.51,17,-78.228,-172.046,1,3901.67,-0.0052
2000156,1,13.531,17,-78.244,-172.639,1,3856.88,-0.0062
2000157,1,9.025,17,-78.254,-173.035,1,3817.14,0.0031
2000158,1,13.533,17,-78.268,-173.63,1,3781.49,-0.0002
2000159,1,0,17,-78.268,-173.63,1,3752.21,0.0002
2000160,1,0,17,-78.268,-173.63,1,3730.22,-0.0141
2000161,1,10.096,17,-78.192,-173.872,1,3716.98,0.0271
2000162,1,4.511,17,-78.196,-174.069,1,3708.54,0.015
2000163,1,17.708,19,-78.178,-173.295,1,3709.95,0.002
2000164,1,1.072,19,-78.175,-173.34,1,3714.92,-0.0154
2000165,1,1.234,19,-78.168,-173.382,1,3723.13,-0.0031
2000166,1,3.227,19,-78.16,-173.518,1,3733.89,0.0007
2000167,1,4.572,19,-78.131,-173.662,1,3745.86,-0.0063
2000168,1,1.315,19,-78.121,-173.694,1,3758.62,-0.0131
2000169,1,4.226,19,-78.096,-173.831,1,3772.62,0.0182
2000170,1,1.688,19,-78.091,-173.761,1,3786.95,0.0044
2000171,1,1.27,19,-78.082,-173.795,1,3800.47,0.002
2000172,1,5.559,19,-78.129,-173.708,1,3812.67,-0.0025
2000173,1,7.219,19,-78.19,-173.815,1,3825.42,0.0205
2000174,1,13.703,17,-78.119,-174.307,1,3844.42,0.0216
2000175,1,6.379,17,-78.083,-174.522,1,3864.1,0.0231
2000176,1,0,17,-78.083,-174.522,1,3883.59,0.0041
2000177,1,28.029,19,-78.289,-173.813,1,3904.62,-0.0103
2000178,1,26.119,17,-78.079,-174.326,1,3926.03,-0.0064
2000179,1,0,17,-78.079,-174.326,1,3946.21,-0.0083
2000180,1,0,17,-78.079,-174.326,1,3964.74,-0.0094
2000181,1,0,17,-78.079,-174.326,1,3980,-0.0033
2000182,1,0,17,-78.079,-174.326,1,3992.01,-0.0036
2000183,1,4.516,17,-78.038,-174.345,1,4001.2,0.0019
2000184,1,15.052,19,-78.169,-174.173,1,4008.81,-0.0055
2000185,1,15.053,17,-78.038,-174.345,1,4011.86,-0.002
2000186,1,0,17,-78.038,-174.345,1,4012.96,0.0016
2000187,1,6.376,17,-78.002,-174.559,1,4014.74,0.0114
2000188,1,0,17,-78.002,-174.559,1,4011.03,0.0071
2000189,1,0,17,-78.002,-174.559,1,4006.66,0.0089
2000190,1,0,17,-78.002,-174.559,1,4002.02,-0.027
2000191,1,6.378,17,-77.965,-174.772,1,3996.86,-0.0256
2000192,1,0,17,-77.965,-174.772,1,3991.16,-0.0241
2000193,1,0,17,-77.965,-174.772,1,3985.78,-0.0266
2000194,1,0,17,-77.965,-174.772,1,3980.28,-0.0077
2000195,1,0,17,-77.965,-174.772,1,3974.83,0.0141
2000196,1,0,17,-77.965,-174.772,1,3970.27,0.02
2000197,1,0,17,-77.965,-174.772,1,3968.28,0.0255
2000198,1,25.993,19,-77.733,-174.636,1,3965.41,0.0032
2000199,1,3.224,19,-77.714,-174.741,1,3962.61,0.0136
2000200,1,3.219,19,-77.696,-174.846,1,3958.77,0.0041
2000201,1,0,19,-77.696,-174.846,1,3955.3,-0.001
2000202,1,2.255,19,-77.675,-174.854,1,3951.87,-0.0034
