date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2000345,0,0,3,-75,-179.4,1,1230.85,0.0153
2000347,2,0.146,17,-75,-179.405,1,1238.66,-0.024
2000348,1,0,17,-75,-179.405,2,1246.47,-0.0145
2000349,1,0,17,-75,-179.405,2,1254.28,0.0232
2000350,1,9.172,17,-75.075,-179.544,2,1262.09,0.0685
2000351,1,0,17,-75.075,-179.544,2,1269.9,0.0757
2000352,1,14.293,17,-75.104,179.969,2,1277.72,0.0541
2000353,1,0,17,-75.104,179.969,2,1285.53,0.0258
2000354,1,0,17,-75.104,179.969,2,1293.34,-0.0113
2000355,1,8.138,17,-75.101,179.684,2,1301.15,-0.0344
2000356,1,0,17,-75.101,179.684,2,1308.96,-0.0673
2000357,1,0,17,-75.101,179.684,2,1316.77,0.0145
2000358,1,11.328,17,-75.1,179.287,2,1324.58,0.0855
2000359,1,15.104,19,-75.15,178.793,2,1330.12,0.0698
2000360,1,15.104,17,-75.1,179.287,2,1336.28,0.0389
2000361,1,11.714,17,-75.168,178.972,2,1342.76,0.0116
2000362,1,0,17,-75.168,178.972,2,1350.97,-0.0191
2000363,1,0,17,-75.168,178.972,2,1358.12,-0.0532
2000364,1,9.595,17,-75.25,178.858,2,1365.41,-0.0603
2000365,1,0,17,-75.25,178.858,2,1373.29,-0.0146
2000366,1,0,17,-75.25,178.858,2,1382.28,0.022
2001001,1,0,17,-75.25,178.858,2,1390.73,0
2001002,1,0,17,-75.25,178.858,2,1399.29,0
2001003,1,0,17,-75.25,178.858,2,1406.31,0
2001004,1,0,17,-75.25,178.858,2,1413.32,0
2001005,1,7.59,17,-75.255,178.59,2,1421.33,0
2001006,1,0,17,-75.255,178.59,2,1428.87,0
2001007,1,0,17,-75.255,178.59,2,1435.27,0
2001008,1,0,17,-75.255,178.59,2,1441.24,0
2001009,1,14.277,17,-75.381,178.489,2,1447.04,0
2001010,1,0,17,-75.381,178.489,2,1452.17,0
2001011,1,0,17,-75.381,178.489,2,1458.6,0
2001012,1,14.475,17,-75.404,178.998,2,1464.85,0
2001013,1,0,17,-75.404,178.998,2,1470.67,0
2001014,1,5.522,19,-75.452,178.949,2,1473.19,0
2001015,1,0.407,19,-75.452,178.964,2,1474.63,0
2001016,1,0.414,19,-75.452,178.979,2,1478.85,0
2001017,1,0.415,19,-75.452,178.993,2,1480.8,0
2001018,1,0.41,19,-75.452,179.008,2,1483.56,0
2001019,1,0.399,19,-75.452,179.023,2,1485.13,0
2001020,1,0.383,19,-75.452,179.036,2,1486.26,0
2001021,1,0.36,19,-75.452,179.049,2,1484.93,0
2001022,1,4.134,17,-75.419,179.119,2,1484.31,0
2001023,1,0,17,-75.419,179.119,2,1481.9,0
2001024,1,0,17,-75.419,179.119,2,1479.02,0
2001025,1,0,17,-75.419,179.119,2,1473.3,0
2001026,1,0,17,-75.419,179.119,2,1468.18,0
2001027,1,0,17,-75.419,179.119,2,1461.46,0
2001028,1,0,17,-75.419,179.119,2,1454.41,0
2001029,1,0,17,-75.419,179.119,2,1446.55,0
2001030,1,0,17,-75.419,179.119,2,1438.47,0
2001031,1,2.495,17,-75.408,179.196,2,1429.55,0
2001032,1,0,17,-75.408,179.196,2,1420.33,0
2001033,1,0,17,-75.408,179.196,2,1410.54,0
2001034,1,0,17,-75.408,179.196,2,1400.73,0
2001035,1,6.391,19,-75.378,179.392,2,1390.71,0
2001036,1,0.714,19,-75.372,179.389,2,1380.47,0
2001037,1,0.97,19,-75.363,179.382,2,1370.3,0
2001038,1,1.095,19,-75.353,179.372,2,1359.98,0
2001039,1,1.09,19,-75.344,179.362,2,1349.79,0
2001040,1,0.945,19,-75.336,179.352,2,1339.95,0
2001041,1,0.669,19,-75.33,179.345,2,1330.17,0
2001042,1,0.251,19,-75.328,179.342,2,1319.56,0
2001043,1,6.232,19,-75.274,179.288,2,1310.41,0
2001044,1,0,19,-75.274,179.288,2,1301.89,0
2001045,1,0,19,-75.274,179.288,2,1293.48,0
2001046,1,0,19,-75.274,179.288,2,1285.89,0
2001047,1,0,19,-75.274,179.288,2,1278.45,0
2001048,1,0,19,-75.274,179.288,2,1272.43,0
2001049,1,0,19,-75.274,179.288,2,1266.58,0
2001050,1,2.961,17,-75.247,179.276,2,1262.25,0
2001051,1,0,17,-75.247,179.276,2,1258.08,0
2001052,1,0,17,-75.247,179.276,2,1255.34,0
2001053,1,0,17,-75.247,179.276,2,1252.83,0
2001054,1,0,17,-75.247,179.276,2,1251.31,0
2001055,1,0,17,-75.247,179.276,2,1249.26,0
2001056,1,0,17,-75.247,179.276,2,1248.78,0
2001057,1,0,17,-75.247,179.276,2,1248.5,0
2001058,1,0,17,-75.247,179.276,2,1249.23,0
2001059,1,0,17,-75.247,179.276,2,1249.02,0
2001060,1,0,17,-75.247,179.276,2,1249.39,0
2001061,1,0,17,-75.247,179.276,2,1250.51,0
2001062,1,0,17,-75.247,179.276,2,1251.4,0
2001063,1,8.643,19,-75.274,178.988,2,1252.91,0
2001064,1,0.79,19,-75.276,178.962,2,1258.2,0
2001065,1,4.295,19,-75.291,178.821,2,1260.4,0
2001066,1,1.355,19,-75.301,178.792,2,1267.27,0
2001067,1,1.44,19,-75.311,178.763,2,1274.7,0
2001068,1,1.372,19,-75.321,178.733,2,1282.8,0
2001069,1,1.151,19,-75.328,178.704,2,1291.51,0
2001070,1,7.678,19,-75.353,178.449,2,1300.8,0
2001071,1,0.899,19,-75.353,178.417,2,1310.36,0
2001072,1,4.57,19,-75.359,178.255,2,1320.27,0
2001073,1,1.063,19,-75.359,178.218,2,1330.42,0
2001074,1,0.997,19,-75.359,178.182,2,1340.7,0
2001075,1,0.834,19,-75.359,178.152,2,1356.55,0
2001076,1,0.572,19,-75.359,178.132,2,1372.91,0
2001077,1,0.213,19,-75.359,178.124,2,1389.08,0
2001078,1,0.752,19,-75.354,178.138,2,1411.54,0
2001079,1,4.558,19,-75.36,177.978,2,1429.23,0
2001080,1,2.853,19,-75.337,178.026,2,1448.81,0
2001081,1,3.339,19,-75.31,178.08,2,1469.29,0
2001082,1,3.444,19,-75.282,178.128,2,1487.3,0
2001083,1,3.193,19,-75.255,178.164,2,1505.31,0
2001084,1,9.065,19,-75.175,178.228,2,1526.07,0
2001085,1,9.611,17,-75.249,178.056,2,1547.13,0
2001086,1,0,17,-75.249,178.056,2,1596.96,0
2001087,1,22.514,17,-75.095,178.569,2,1636.41,0
2001088,1,0,17,-75.095,178.569,2,1693.47,0
2001089,1,17.534,17,-75.044,177.987,2,1728.36,0
2001090,1,0,17,-75.044,177.987,2,1785.7,0
