date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2011329,0,0,4,-55.935,-158.711,2,18270.38,0.0401
2011330,1,6.375,4,-55.949,-158.612,1,18776.69,-0.0351
2011331,1,21.752,4,-55.958,-158.262,1,19282.99,-0.0502
2011332,1,5.461,4,-55.915,-158.221,1,19789.3,-0.0226
2011333,1,3.759,4,-55.922,-158.162,1,20295.61,0.0301
2011334,1,22.866,4,-55.742,-157.985,1,20801.91,0.0839
2011335,1,25.385,4,-55.62,-157.642,1,21308.22,0.1161
2011336,1,41.761,4,-55.486,-157.02,1,21762.16,0.1269
2011337,1,18.352,4,-55.385,-156.79,1,22195.16,0.1161
2011338,1,3.08,4,-55.372,-156.747,1,22719.51,0.0839
2011339,1,24.594,4,-55.279,-156.394,1,23236.59,0.0301
2011340,1,8.289,4,-55.264,-156.522,1,23644.07,-0.0452
2011341,1,21.096,4,-55.161,-156.243,1,24003.64,-0.1116
2011342,1,15.704,4,-55.221,-156.467,1,24443.72,0.0365
2011343,1,17.871,4,-55.109,-156.265,1,24927.07,0.2024
2011344,1,12.542,4,-54.997,-156.244,1,25207.37,0.4622
2011345,1,48.975,4,-54.836,-155.53,1,25499.18,0.4862
2011346,1,20.165,4,-54.667,-155.647,1,25760.61,0.2416
2011347,1,7.288,4,-54.638,-155.545,1,25948.66,0.0979
2011348,1,18.197,4,-54.516,-155.358,1,26014.55,-0.2065
2011349,1,24.027,4,-54.35,-155.118,1,26134.34,-0.5048
2011350,1,34.424,4,-54.188,-154.666,2,26254.14,-0.4465
2011351,1,18.268,4,-54.078,-154.456,2,26373.93,-0.2487
2011352,1,19.799,4,-54.192,-154.222,1,26493.73,-0.0529
2011353,1,15.045,4,-54.145,-154.439,1,26613.52,0.0505
2011354,1,15.738,4,-54.137,-154.197,1,26733.32,-0.0287
