date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2004004,0,0,3,-76.7,166.8,-0,4736.68,0
2004032,28,11.389,3,-76.6,166.9,0,4686.69,0
2004050,18,13.296,17,-76.483,166.783,1,4636.7,0
2004051,1,0,17,-76.483,166.783,1,4586.71,0
2004052,1,0,17,-76.483,166.783,1,4536.72,0
2004053,1,0,17,-76.483,166.783,1,4486.74,0
2004054,1,0,17,-76.483,166.783,1,4436.75,0
2004055,1,15.114,17,-76.62,166.778,1,4386.76,0
2004056,1,0,17,-76.62,166.778,1,4336.77,0
2004057,1,0,17,-76.62,166.778,1,4286.78,0
2004058,1,0,17,-76.62,166.778,1,4236.79,0
2004059,1,2.99,17,-76.599,166.854,1,4186.8,0
2004060,1,0,17,-76.599,166.854,1,4136.82,0
2004061,1,0,17,-76.599,166.854,1,4092.49,0
2004062,1,0,17,-76.599,166.854,1,4035,0
2004063,1,0,17,-76.599,166.854,1,3990.1,0
2004064,1,0,17,-76.599,166.854,1,3944.96,0
2004065,1,0,17,-76.599,166.854,1,3899.59,0
2004066,1,0,17,-76.599,166.854,1,3848.84,0
2004067,1,0,17,-76.599,166.854,1,3771.53,0
2004068,1,0,17,-76.599,166.854,1,3697.06,0
2004069,1,0,17,-76.599,166.854,1,3651.49,0
2004070,1,4.808,17,-76.612,167.034,1,3607.95,0
2004071,1,0,17,-76.612,167.034,1,3564.96,0
2004072,1,0,17,-76.612,167.034,1,3524.41,0
2004073,1,0,17,-76.612,167.034,1,3482.81,0
2004074,1,4.924,19,-76.656,167.017,1,3443.11,0
2004075,1,4.924,17,-76.612,167.034,1,3403.5,0
2004076,1,4.669,17,-76.653,167.071,1,3364.94,0
2004077,1,0,17,-76.653,167.071,1,3326.68,0
2004078,1,0,17,-76.653,167.071,1,3290.21,0
2004079,1,0,17,-76.653,167.071,1,3254.21,0
2004080,1,5.361,17,-76.699,167.012,1,3226.32,0
2004081,1,0,17,-76.699,167.012,1,3199.64,0
2004082,1,0,17,-76.699,167.012,1,3173.77,0
2004083,1,0,17,-76.699,167.012,1,3139.8,0
2004084,1,0,17,-76.699,167.012,1,3107.88,0
2004085,1,0,17,-76.699,167.012,1,3079.57,0
2004086,1,0,17,-76.699,167.012,1,3053.14,0
2004087,1,0,17,-76.699,167.012,1,3043.16,0
2004088,1,1.432,19,-76.7,166.956,1,3022.35,0
2004089,1,1.432,17,-76.699,167.012,1,3003.76,0
2004090,1,0,17,-76.699,167.012,1,2987.31,0
2004091,1,0,17,-76.699,167.012,1,2978.13,0
2004092,1,0,17,-76.699,167.012,1,2984.02,0
2004093,1,0,17,-76.699,167.012,1,2991.65,0
2004094,1,0,17,-76.699,167.012,1,2999.74,0
2004095,1,0,17,-76.699,167.012,1,3009.67,0
2004096,1,0,17,-76.699,167.012,1,3020.62,0
2004097,1,0,17,-76.699,167.012,1,3032.45,0
2004098,1,0,17,-76.699,167.012,1,3046.02,0
2004099,1,0,17,-76.699,167.012,1,3062.64,0
2004100,1,0,17,-76.699,167.012,1,3077.69,0
2004101,1,0,17,-76.699,167.012,1,3102.59,0
2004102,1,4.622,19,-76.66,166.956,1,3127.92,0
2004103,1,0,19,-76.66,166.956,1,3152.99,0
2004104,1,0,19,-76.66,166.956,1,3177.21,0
2004105,1,0,19,-76.66,166.956,1,3202.33,0
2004106,1,0,19,-76.66,166.956,1,3227.31,0
2004107,1,0,19,-76.66,166.956,1,3252.19,0
2004108,1,0,19,-76.66,166.956,1,3285.07,0
2004109,1,0,19,-76.66,166.956,1,3318.18,0
2004110,1,0.05,19,-76.66,166.954,1,3352.37,0
2004111,1,0.128,19,-76.66,166.949,1,3386.22,0
2004112,1,0.175,19,-76.66,166.942,1,3418.85,0
2004113,1,3.384,19,-76.631,166.895,1,3430.09,0
2004114,1,0.176,19,-76.631,166.888,1,3440.56,0
2004115,1,0.128,19,-76.631,166.883,1,3464.48,0
2004116,1,0.05,19,-76.631,166.881,1,3472.57,0
2004117,1,0,19,-76.631,166.881,1,3463.54,0
2004118,1,0,19,-76.631,166.881,1,3451.88,0
2004119,1,0,19,-76.631,166.881,1,3438.28,0
2004120,1,0,19,-76.631,166.881,1,3421.08,0
