date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2005303,0,0,3,-71.95,171.9,-0,2390.41,-0.0018
2005304,1,20.804,3,-71.777,171.671,0,2404.62,0.002
2005305,1,21.982,19,-71.585,171.506,1,2418.83,0.0023
2005306,1,6.296,19,-71.529,171.518,1,2433.03,0.0005
2005307,1,7.524,19,-71.465,171.451,1,2447.24,-0.0024
2005308,1,11.293,19,-71.381,171.267,1,2461.45,-0.0037
2005309,1,13.637,19,-71.262,171.171,1,2475.66,-0.0043
2005310,1,14.834,19,-71.148,170.954,1,2489.87,-0.0042
2005311,1,8.139,19,-71.1,170.783,1,2504.08,-0.0034
2005312,1,7.669,19,-71.057,170.616,1,2518.29,-0.0019
2005313,1,1.281,19,-71.046,170.608,1,2532.5,0.002
2005314,1,9.075,19,-70.965,170.645,1,2546.71,0
2005315,1,1.076,19,-70.956,170.638,1,2560.92,0
2005316,1,9.007,19,-70.925,170.867,1,2577.31,0
2005317,1,7.312,19,-70.895,170.688,1,2593.29,0
2005318,1,2.168,17,-70.89,170.745,1,2609.73,0
2005319,1,0,17,-70.89,170.745,1,2633.2,0
2005320,1,0,17,-70.89,170.745,1,2657.6,0
2005321,1,12.207,17,-70.883,170.41,1,2683,0
2005322,1,0,17,-70.883,170.41,1,2709.42,0
2005323,1,18.9,17,-70.765,170.037,1,2744.58,0
2005324,1,0,17,-70.765,170.037,1,2777.85,0
2005325,1,12.064,17,-70.701,169.77,1,2805.36,0
2005326,1,9.524,17,-70.639,169.591,1,2834.55,0
2005327,1,9.45,17,-70.578,169.413,1,2868.5,0
2005328,1,0,17,-70.578,169.413,1,2900.15,0
2005329,1,0,17,-70.578,169.413,1,2936.8,0
2005330,1,8.028,17,-70.511,169.332,1,2968.07,0
2005331,1,8.022,17,-70.461,169.174,1,3000.65,0
2005332,1,0,17,-70.461,169.174,1,3032.92,0
2005333,1,8.065,17,-70.394,169.254,1,3064.31,0
2005334,1,0,17,-70.394,169.254,1,3093.31,0
2005335,1,0,17,-70.394,169.254,1,3118.79,0
2005336,1,18.866,17,-70.335,168.779,1,3144.76,0
2005337,1,12.099,17,-70.294,168.479,1,3167.85,0
2005338,1,19.562,19,-70.198,168.042,1,3189.35,0.0007
2005339,1,4.692,19,-70.175,167.936,1,3209.01,-0.0005
2005340,1,1.98,19,-70.161,167.903,1,3230.9,-0.0013
2005341,1,5.155,19,-70.127,167.811,1,3249.19,-0.0018
2005342,1,7.053,19,-70.081,167.681,1,3261.55,-0.002
2005343,1,1.704,19,-70.07,167.653,1,3279.61,-0.0018
2005344,1,1.655,19,-70.059,167.621,1,3289.92,-0.0013
2005345,1,1.656,19,-70.051,167.586,1,3296.22,-0.0005
2005346,1,11.408,19,-70.015,167.303,1,3300.32,0.0007
2005347,1,1.732,19,-70.009,167.261,1,3293.62,0
2005348,1,5.506,19,-69.987,167.131,1,3283.53,0
2005349,1,1.879,19,-69.982,167.084,1,3264.37,0
2005350,1,1.968,19,-69.977,167.034,1,3256,0
2005351,1,7.391,19,-69.994,166.845,1,3239.62,0
2005352,1,2.179,19,-69.988,166.791,1,3218.42,0
2005353,1,7.992,17,-70.056,166.862,1,3194.72,0
2005354,1,0,17,-70.056,166.862,1,3165.25,0
2006015,26,187.361,3,-69.4,162.37,0,3139.49,0
2006016,1,4.409,3,-69.373,162.286,0,3106.01,0
2006017,1,4.418,3,-69.343,162.213,0,3078.32,0
2006018,1,4.454,3,-69.31,162.147,0,3040.2,0
2006019,1,11.107,19,-69.335,162.422,1,3002.9,0
2006020,1,7.304,19,-69.293,162.278,1,2962.72,0
2006021,1,7.916,19,-69.248,162.124,1,2922.07,0
2006022,1,4.971,19,-69.218,162.028,1,2880.23,0
2006023,1,2.286,19,-69.205,161.984,1,2837.65,0
2006024,1,2.293,19,-69.193,161.937,1,2795.17,0
2006025,1,9.453,19,-69.149,161.732,1,2751.32,0
2006026,1,11.348,19,-69.108,161.469,1,2706.23,0
2006027,1,2.622,19,-69.095,161.413,1,2666.59,0
2006028,1,2.817,19,-69.082,161.353,1,2620.58,0
2006029,1,3.054,19,-69.066,161.289,1,2574.24,0
2006030,1,3.478,19,-69.048,161.217,1,2520.32,0
2006031,1,3.961,19,-69.027,161.137,1,2469.37,0
2006032,1,14.436,19,-68.96,160.826,1,2435.3,0
2006033,1,4.53,19,-68.936,160.735,1,2394.48,0
2006034,1,4.608,19,-68.911,160.643,1,2359.25,0
2006035,1,11.623,19,-68.896,160.355,1,2316.94,0
2006036,1,4.349,19,-68.872,160.267,1,2282.06,0
2006037,1,12.818,19,-68.769,160.124,1,2249.26,0
2006038,1,4.883,19,-68.745,160.023,1,2216.74,0
2006039,1,21.353,19,-68.606,159.656,1,2189.22,0
2006040,1,4.779,19,-68.583,159.557,1,2160.32,0
2006041,1,13.183,19,-68.513,159.294,1,2138.68,0
2006042,1,3.473,19,-68.495,159.225,1,2108.52,0
2006043,1,2.381,19,-68.481,159.18,1,2092.24,0
2006044,1,6.943,19,-68.449,159.034,1,2070.06,0
2006045,1,11.324,19,-68.399,158.791,1,2053.28,0
2006046,1,6.429,19,-68.371,158.655,1,2038.84,0
2006047,1,0.908,19,-68.364,158.641,1,2023.23,0
2006048,1,0.923,19,-68.358,158.627,1,2011.11,0
2006049,1,6.262,19,-68.316,158.524,1,2000.22,0
2006050,1,1.306,19,-68.307,158.505,1,1991.29,0
2006051,1,6.415,19,-68.257,158.422,1,1984.63,0
2006052,1,2.054,19,-68.241,158.401,1,1979.97,0
2006053,1,5.894,19,-68.189,158.375,1,1976.99,0
2006054,1,2.422,19,-68.169,158.351,1,1975.89,0
2006055,1,9.129,19,-68.088,158.392,1,1985.85,0
2006056,1,2.28,19,-68.07,158.363,1,1994.9,0
2006057,1,5.986,19,-68.041,158.242,1,1997.06,0
2006058,1,6.284,19,-68.001,158.134,1,2001.32,0
2006059,1,7.281,19,-67.977,157.971,1,2010.99,0
2006060,1,11.063,19,-67.977,157.705,1,2021.77,0
2006061,1,6.432,19,-67.927,157.628,1,2032.61,0
2006062,1,3.244,19,-67.934,157.552,1,2039.86,0
2006063,1,2.742,19,-67.928,157.488,1,2051,0
2006064,1,5.421,19,-67.893,157.398,1,2066.09,0
2006065,1,4.284,19,-67.857,157.363,1,2081.13,0
2006066,1,3.954,19,-67.858,157.269,1,2097.88,0
2006067,1,8.769,19,-67.812,157.098,1,2107.31,0
2006068,1,11.073,19,-67.85,156.855,1,2113.82,0
2006069,1,4.175,19,-67.852,156.755,1,2121.96,0
2006070,1,8.757,19,-67.848,156.546,1,2138.37,0
2006071,1,7.685,19,-67.836,156.365,1,2143.24,0
2006072,1,2.212,19,-67.837,156.312,1,2150.03,0
2006073,1,5.748,19,-67.829,156.177,1,2153.1,0
2006074,1,11.732,19,-67.899,155.967,1,2154.12,0
2006075,1,1.656,19,-67.899,155.927,1,2154.42,0
2006076,1,1.459,19,-67.9,155.892,1,2150.56,0
2006077,1,6.245,19,-67.869,155.769,1,2147.07,0
2006078,1,1.046,19,-67.869,155.744,1,2142.04,0
2006079,1,1.061,19,-67.864,155.721,1,2134.39,0
2006080,1,9.751,19,-67.858,155.489,1,2126.01,0
2006081,1,2.014,19,-67.842,155.468,1,2115.9,0
2006082,1,2.233,19,-67.823,155.45,1,2104.4,0
2006083,1,2.207,19,-67.803,155.436,1,2091.26,0
2006084,1,1.927,19,-67.786,155.427,1,2069.62,0
2006085,1,1.4,19,-67.774,155.423,1,2053.3,0
2006086,1,7.906,19,-67.704,155.386,1,2034.59,0
2006087,1,1.061,19,-67.695,155.389,1,2010.48,0
2006088,1,1.007,19,-67.686,155.393,1,1986.59,0
2006089,1,0.906,19,-67.678,155.397,1,1955.31,0
2006090,1,2.905,19,-67.673,155.33,1,1924,0
2006091,1,0.546,19,-67.668,155.333,1,1891.09,0
2006092,1,0.287,19,-67.665,155.334,1,1867.5,0
2006093,1,0.119,19,-67.664,155.333,1,1842.63,0
2006094,1,0.103,19,-67.664,155.332,1,1817.06,0
2006095,1,7.818,19,-67.595,155.369,1,1782.58,0
2006096,1,0.161,19,-67.594,155.366,1,1756.96,0
2006097,1,0.202,19,-67.594,155.361,1,1730.95,0
2006098,1,4.688,19,-67.596,155.25,1,1705.29,0
2006099,1,0.299,19,-67.594,155.244,1,1680.19,0
2006100,1,1.718,19,-67.588,155.207,1,1655.07,0
2006101,1,4.001,19,-67.574,155.12,1,1632.14,0
2006102,1,12.433,19,-67.543,154.838,1,1604.9,0
2006103,1,6.336,19,-67.523,154.698,1,1580,0
2006104,1,6.388,19,-67.505,154.555,1,1554.68,0
2006105,1,18.478,19,-67.472,154.129,1,1529.71,0
2006106,1,4.35,19,-67.467,154.027,1,1505.35,0
2006107,1,3.484,19,-67.467,153.945,1,1481.91,0
2006108,1,10.706,19,-67.441,153.703,1,1459.58,0
2006109,1,3.258,19,-67.441,153.627,1,1445.51,0
2006110,1,13.337,19,-67.459,153.317,1,1425.43,0
2006111,1,6.806,19,-67.46,153.157,1,1407.49,0
2006112,1,2.172,19,-67.46,153.106,1,1395.67,0
2006113,1,11.08,19,-67.416,152.874,1,1383.84,0
2006114,1,3.752,19,-67.429,152.792,1,1372.57,0
2006115,1,5.858,19,-67.479,152.832,1,1364.27,-0.0134
2006116,1,6.008,19,-67.425,152.822,1,1357.36,0.009
2006117,1,5.044,19,-67.399,152.726,1,1352.27,0.025
2006118,1,0.807,19,-67.396,152.709,1,1345.74,0.0242
2006119,1,0.534,19,-67.394,152.698,1,1341.56,0.0766
2006120,1,0.195,19,-67.393,152.694,1,1344.5,0.0325
2006121,1,0,19,-67.393,152.694,1,1350.53,-0.02
2006122,1,6.506,19,-67.342,152.615,1,1350.28,-0.0357
2006123,1,0,19,-67.342,152.615,1,1363.24,-0.0535
2006124,1,0,19,-67.342,152.615,1,1380.46,-0.031
2006125,1,0,19,-67.342,152.615,1,1402.83,-0.0176
2006126,1,0,19,-67.342,152.615,1,1428.54,0.0002
2006127,1,7.994,19,-67.325,152.434,1,1462.48,0.0549
2006128,1,0.63,19,-67.322,152.422,1,1499.3,0.0082
2006129,1,1.647,19,-67.312,152.392,1,1544.83,-0.0124
2006130,1,2.301,19,-67.3,152.35,1,1594.88,0
2006131,1,2.592,19,-67.285,152.303,1,1650.32,0
2006132,1,2.52,19,-67.271,152.257,1,1711.03,0
2006133,1,2.088,19,-67.258,152.22,1,1776.57,0
2006134,1,1.293,19,-67.25,152.199,1,1845.68,0
2006135,1,3.976,3,-67.241,152.109,0,1918.51,0
2006136,1,1.057,3,-67.233,152.094,0,1995.17,0
2006137,1,0.864,3,-67.227,152.081,0,2080.19,0
2006138,1,0.775,3,-67.222,152.07,0,2165.35,0
2006139,1,0.808,3,-67.216,152.059,0,2247.28,0
2006140,1,0.946,3,-67.209,152.046,0,2328.63,0
2006141,1,1.206,3,-67.2,152.03,0,2409.49,0
2006142,1,1.812,3,-67.186,152.009,0,2491.62,0
2006143,1,2.481,3,-67.166,151.983,0,2576.41,0
2006144,1,2.831,3,-67.143,151.955,0,2661.38,0
2006145,1,2.861,3,-67.12,151.925,0,2739.8,0
2006146,1,2.546,3,-67.1,151.897,0,2816.32,0
2006147,1,1.937,3,-67.085,151.871,0,2899.48,0
2006148,1,1.095,3,-67.08,151.85,0,2970.35,0
2006149,1,0.376,19,-67.083,151.855,1,3037.24,0
2006150,1,0.311,19,-67.083,151.848,1,3099.36,0
2006151,1,0.279,19,-67.083,151.842,1,3158.44,0
2006152,1,7.824,19,-67.062,151.669,1,3211.99,0
2006153,1,0.277,19,-67.062,151.662,1,3260.69,-0.0728
2006154,1,0.307,19,-67.062,151.655,1,3302.88,0.1087
2006155,1,0.357,19,-67.062,151.647,1,3341.16,-0.0399
2006156,1,0.444,19,-67.061,151.637,1,3374.49,0.3034
2006157,1,0.587,19,-67.058,151.626,1,3403.57,0.1475
2006158,1,0.7,19,-67.054,151.613,1,3427.53,0.1486
2006159,1,0.77,19,-67.049,151.6,1,3448.32,0.1165
2006160,1,0.778,19,-67.045,151.587,1,3465.29,0.0511
2006161,1,0.737,19,-67.04,151.574,1,3478.93,-0.0476
2006162,1,0.637,19,-67.037,151.562,1,3483.09,0.0493
2006163,1,0.54,19,-67.034,151.551,1,3485.6,-0.1146
2006164,1,0.486,19,-67.033,151.541,1,3490.82,0.1785
2006165,1,0.463,19,-67.031,151.531,1,3494.12,0.0393
2006166,1,0.467,19,-67.029,151.522,1,3499.22,-0.0665
2006167,1,0.496,19,-67.027,151.511,1,3499.23,-0.1785
2006168,1,0.559,19,-67.025,151.5,1,3502.3,-0.2612
2006169,1,0.645,19,-67.022,151.487,1,3503.7,-0.2851
2006170,1,0.88,19,-67.017,151.472,1,3502.46,-0.2795
2006171,1,1.186,19,-67.008,151.454,1,3500.9,-0.2192
