date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2006176,0,0,3,-65.53,84.28,0,0,0
2006190,14,50.838,3,-65.7,83.25,0,0,0
2006204,14,97.265,3,-65.3,81.37,0,0,0
2006205,1,7.702,3,-65.306,81.205,0,0,0
2006206,1,8.664,3,-65.323,81.022,0,0,0
2006207,1,9.28,3,-65.348,80.831,0,0,0
2006208,1,9.487,3,-65.378,80.639,0,0,0
2006209,1,9.253,3,-65.412,80.456,0,0,0
2006210,1,8.577,3,-65.447,80.29,0,0,0
2006211,1,7.454,3,-65.48,80.15,0,0,0
2006212,1,6.802,3,-65.516,80.031,0,0,0
2006213,1,6.946,3,-65.559,79.922,0,0,0
2006214,1,6.976,3,-65.606,79.821,0,0,0
2006215,1,6.825,3,-65.654,79.727,0,0,0
2006216,1,6.452,3,-65.699,79.638,0,0,0
2006217,1,5.872,3,-65.739,79.553,0,0,0
2006218,1,5.111,3,-65.77,79.47,0,0,0
2006219,1,4.343,3,-65.793,79.393,0,0,0
2006220,1,3.77,3,-65.812,79.325,0,0,0
2006221,1,3.444,3,-65.829,79.261,0,0,0
2006222,1,3.375,3,-65.845,79.197,0,0,0
2006223,1,3.523,3,-65.861,79.13,0,0,0
2006224,1,3.923,3,-65.879,79.056,0,0,0
2006225,1,4.555,3,-65.9,78.97,0,0,0
2006239,14,108.214,3,-66.4,76.9,0,0,0
2006253,14,64.967,3,-66.75,75.72,0,0,0
2006254,1,5.478,3,-66.793,75.659,0,0,0
2006255,1,6.598,3,-66.848,75.601,0,0,0
2006256,1,7.242,3,-66.91,75.546,0,0,0
2006257,1,7.371,3,-66.973,75.494,0,0,0
2006258,1,6.959,3,-67.032,75.444,0,0,0
2006259,1,6.006,3,-67.083,75.396,0,0,0
2006260,1,4.56,3,-67.12,75.35,0,0,0
2006274,14,36.437,3,-67.37,74.8,0,0,0
2006288,14,14.534,3,-67.305,74.505,0,0,0
2006295,7,389.811,3,-66.51,65.77,0,0,0
