date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2014251,0,0,5,-65.871,50.837,-0,0,0
2014252,1,1.513,5,-65.884,50.839,-0,0,0
2014253,1,2.284,5,-65.864,50.849,0,0,0
2014254,1,2.388,5,-65.86,50.797,0,0,0
2014255,1,1.05,6,-65.868,50.81,1,0,0
2014256,1,2.796,7,-65.89,50.78,1,0,0
2014257,1,0.6,7,-65.894,50.774,1,1682.84,0
2014258,1,0.404,7,-65.896,50.766,1,1726.21,0
2014259,1,2.781,7,-65.884,50.712,1,1769.58,0
2014260,1,2.773,7,-65.893,50.769,1,1812.95,0
2014261,1,1.328,7,-65.882,50.758,1,1856.32,0
2014262,1,2.312,6,-65.865,50.789,1,1899.69,0
2014263,1,1.219,7,-65.869,50.763,1,1943.06,0
2014264,1,0.865,7,-65.875,50.775,1,1986.43,0
2014265,1,1.104,7,-65.874,50.751,1,2029.8,0
2014266,1,4.517,7,-65.872,50.651,1,2073.16,0
2014267,1,3.163,7,-65.9,50.642,1,2116.53,0
2014268,1,2.98,7,-65.927,50.649,1,2159.9,0
2014269,1,11.837,6,-65.968,50.408,1,2203.27,0
2014270,1,3.886,7,-65.935,50.385,1,2237.35,0
2014271,1,7.295,7,-65.931,50.224,1,2277.5,0
2014272,1,7.25,7,-65.921,50.066,1,2317.15,0
2014273,1,3.414,7,-65.911,49.995,1,2344.64,0
2014274,1,2.163,7,-65.912,49.947,1,2371.62,0
2014275,1,5.095,7,-65.9,49.839,1,2386.45,0
2014276,1,3.169,6,-65.921,49.793,1,2399.55,0
2014277,1,2.418,7,-65.913,49.743,1,2398.69,0
2014278,1,10.032,7,-65.996,49.658,1,2396.11,0
2014279,1,5.636,7,-66.036,49.58,1,2379.57,0
2014280,1,11.963,7,-66.103,49.372,1,2366.36,0
2014281,1,8.459,7,-66.154,49.233,1,2352.83,0
2014282,1,4.783,7,-66.181,49.148,1,2339.24,0
2014283,1,3.16,6,-66.19,49.082,1,2315.46,0
2014284,1,7.251,7,-66.233,48.96,1,2289.66,0
2014285,1,1.157,7,-66.241,48.944,1,2261.32,0
2014286,1,3.514,7,-66.262,48.885,1,2230.37,0
2014287,1,0.875,7,-66.269,48.873,1,2196.78,0
2014288,1,0.672,7,-66.274,48.864,1,2160.74,0
2014289,1,2.77,7,-66.298,48.876,1,2122.12,0
2014290,1,2.208,6,-66.312,48.911,1,2082.77,0
2014291,1,0,7,-66.312,48.911,1,2030.36,0
2014292,1,0,7,-66.312,48.911,1,1983.57,0
2014293,1,0,7,-66.312,48.911,1,1936.14,0
2014294,1,0,7,-66.312,48.911,1,1893.65,0
2014295,1,0,7,-66.312,48.911,1,1850.58,0
2014296,1,0,7,-66.312,48.911,1,1805.8,0
2014297,1,4.701,6,-66.35,48.862,1,1760.44,0
2014298,1,7.294,7,-66.284,48.883,1,1713.37,0
2014299,1,4.94,7,-66.328,48.901,1,1665.72,0
2014300,1,0.894,7,-66.335,48.911,1,1616.41,0
2014301,1,3.563,7,-66.342,48.989,1,1561.53,0
2014302,1,0.964,7,-66.349,49.003,1,1507.64,0
2014303,1,0.794,7,-66.354,49.015,1,1460.29,0
2014304,1,0.533,6,-66.356,49.026,1,1413.17,0
2014305,1,0.492,7,-66.355,49.037,1,1360.26,0
2014306,1,0.621,7,-66.352,49.049,1,1308.54,0
2014307,1,0.358,7,-66.355,49.047,1,1256.36,0
2014308,1,2.153,7,-66.356,48.998,1,1214.24,0
2014309,1,0.607,7,-66.352,49.008,1,1174.81,0
2014310,1,0.43,7,-66.35,49.015,1,1138.17,0
2014311,1,2.303,6,-66.348,49.066,1,1104.83,0
2014312,1,0.132,7,-66.349,49.063,1,1074.36,0
2014313,1,2.938,7,-66.347,48.998,1,1047.01,0
2014314,1,0.498,7,-66.348,48.987,1,1022.46,0
2014315,1,0.579,7,-66.35,48.975,1,999.28,0
2014316,1,0.593,7,-66.352,48.962,1,989.83,0
2014317,1,0.535,7,-66.354,48.951,1,968.87,0
2014318,1,0.414,6,-66.355,48.943,1,948.84,0
2014319,1,3.273,7,-66.35,49.015,1,930.76,0
2014320,1,0.29,7,-66.352,49.011,1,913.61,0
2014321,1,0.276,7,-66.354,49.007,1,897.81,0
2014322,1,0.261,7,-66.356,49.003,1,882.99,0
2014323,1,0.257,7,-66.357,48.998,1,869.61,0
2014324,1,1.785,7,-66.36,48.959,1,857.23,0
2014325,1,5.628,6,-66.355,48.833,1,846.33,0
2014326,1,4.376,5,-66.361,48.735,0,843.25,0
2014327,1,0,5,-66.361,48.735,0,841.23,0
2014328,1,6.621,5,-66.326,48.614,0,835.97,0
2014329,1,0,5,-66.326,48.614,0,832.88,0
2014330,1,13.654,5,-66.317,48.308,0,834.75,0
2014331,1,0,5,-66.317,48.308,0,837.61,0
2014332,1,7.9,5,-66.375,48.208,0,843.73,0
2014333,1,0,5,-66.375,48.208,0,844.11,0
2014334,1,0,5,-66.375,48.208,0,843.25,0
2014335,1,0,5,-66.375,48.208,0,854.9,0
2014336,1,6.004,5,-66.416,48.118,0,869.56,0
2014337,1,9.323,5,-66.387,47.921,0,885.77,0
2014338,1,7.462,5,-66.42,47.776,0,888.32,0
2014339,1,2.171,6,-66.42,47.825,1,891.32,0
2014340,1,5.866,7,-66.456,47.729,1,914.18,0
2014341,1,10.6,7,-66.485,47.501,1,924.47,0
2014342,1,13.066,7,-66.53,47.228,1,933.02,0
2014343,1,9.833,7,-66.557,47.016,1,960.43,0
2014344,1,9.133,7,-66.584,46.82,1,989.15,0
2014345,1,11.689,6,-66.647,46.609,1,1019.16,0
2014346,1,9.306,7,-66.714,46.482,1,1050.51,0
2014347,1,8.569,7,-66.777,46.367,1,1083.32,0
2014348,1,7.658,7,-66.823,46.236,1,1118.05,0
2014349,1,7.712,7,-66.873,46.115,1,1153.89,0
2014350,1,11.112,7,-66.918,45.887,1,1191.22,0
2014351,1,6.028,7,-66.946,45.768,1,1227.77,0
2014352,1,10.041,7,-67.014,45.615,1,1271.05,0
2014353,1,0.741,6,-67.009,45.603,1,1318.42,0
2014354,1,4.554,7,-67.023,45.504,1,1354.32,0.0468
2014355,1,5.154,7,-67.041,45.394,1,1389.39,0.005
2014356,1,2.053,7,-67.046,45.44,1,1432.87,-0.203
2014357,1,0.967,7,-67.054,45.429,1,1469.58,-0.0884
2014358,1,4.55,7,-67.041,45.329,1,1513.19,-0.0023
2014359,1,3.426,7,-67.048,45.252,1,1558.62,-0.1075
2014360,1,2.901,6,-67.073,45.235,1,1592.31,-0.1622
