date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2000359,0,0,3,-73.9,-178.6,1,837.66,0.0045
2000361,2,2.085,17,-73.89,-178.542,1,860.46,-0.0052
2000362,1,0,17,-73.89,-178.542,2,883.25,-0.0052
2000363,1,3.004,17,-73.876,-178.624,2,906.05,0
2000364,1,6.806,17,-73.814,-178.631,2,928.84,0.0058
2000365,1,6.404,17,-73.872,-178.628,2,951.64,-0.0039
2000366,1,7.781,17,-73.813,-178.49,2,974.44,-0.0196
2001001,1,5.83,17,-73.765,-178.566,2,997.23,0.0136
2001002,1,1.421,17,-73.753,-178.566,2,1020.03,-0.0196
2001003,1,9.983,17,-73.687,-178.345,2,1042.82,-0.0319
2001004,1,2.513,17,-73.71,-178.354,2,1065.62,-0.0154
2001005,1,2.602,17,-73.707,-178.272,2,1088.41,-0.0485
2001006,1,2.232,17,-73.727,-178.269,2,1111.21,-0.064
2001007,1,17.931,17,-73.565,-178.287,2,1135.15,-0.0803
2001008,1,0,17,-73.565,-178.287,2,1167.14,-0.0759
2001009,1,10.531,17,-73.476,-178.396,2,1197.25,-0.0293
2001010,1,4.289,17,-73.439,-178.359,2,1228.34,-0.0439
2001011,1,10.24,17,-73.349,-178.276,2,1250.62,-0.0142
2001012,1,0,17,-73.349,-178.276,2,1271.13,0.0213
2001013,1,10.817,17,-73.264,-178.441,2,1296.7,0
2001014,1,0,17,-73.264,-178.441,2,1318.84,0
2001015,1,0,17,-73.264,-178.441,2,1341.91,0
2001016,1,20.511,17,-73.221,-177.817,2,1364.1,0
2001017,1,0,17,-73.221,-177.817,2,1391.3,0
2001018,1,5.302,17,-73.244,-177.674,2,1422.18,0
2001019,1,17.425,17,-73.181,-177.177,2,1448.29,0
2001020,1,0,17,-73.181,-177.177,2,1477.19,0
2001021,1,1.623,19,-73.19,-177.138,2,1495.72,0
2001022,1,1.623,17,-73.181,-177.177,2,1527.72,0
2001023,1,0,17,-73.181,-177.177,2,1551.11,0
2001024,1,0,17,-73.181,-177.177,2,1572.53,0
2001025,1,14.34,17,-73.231,-176.765,2,1575.24,0
2001026,1,0,17,-73.231,-176.765,2,1587.18,0
2001027,1,0,17,-73.231,-176.765,2,1585.21,0
2001028,1,0,17,-73.231,-176.765,2,1573.39,-0.0084
2001029,1,11.389,17,-73.175,-176.467,2,1547.45,0.0056
2001030,1,0,17,-73.175,-176.467,2,1533.46,0.0157
2001031,1,0,17,-73.175,-176.467,2,1519.34,0.0217
2001032,1,0,17,-73.175,-176.467,2,1503.57,0.0237
2001033,1,0,17,-73.175,-176.467,2,1479.07,0.0217
2001034,1,5.321,17,-73.133,-176.542,2,1455.55,0.0157
2001035,1,0,17,-73.133,-176.542,2,1430.66,0.0056
2001036,1,0,17,-73.133,-176.542,2,1411.72,-0.0084
2001037,1,0,17,-73.133,-176.542,2,1391.97,-0.0761
2001038,1,0,17,-73.133,-176.542,2,1365.63,0.0683
2001039,1,0,17,-73.133,-176.542,2,1345.04,0.0944
2001040,1,8.992,17,-73.143,-176.819,2,1324.28,0.1825
2001041,1,0,17,-73.143,-176.819,2,1304.24,0.2791
2001042,1,5.075,17,-73.097,-176.843,2,1277.68,0.2125
2001043,1,0,17,-73.097,-176.843,2,1246.47,0.0757
2001044,1,0,17,-73.097,-176.843,2,1222.64,0.058
2001045,1,0,17,-73.097,-176.843,2,1194.63,0.0159
2001046,1,0,17,-73.097,-176.843,2,1177.85,-0.0312
2001047,1,0,17,-73.097,-176.843,2,1146.12,-0.0169
2001048,1,0,17,-73.097,-176.843,2,1123.31,0.2388
2001049,1,7.386,17,-73.163,-176.804,2,1103.98,0.4047
2001050,1,0,17,-73.163,-176.804,2,1090.94,0.3147
2001051,1,0,17,-73.163,-176.804,2,1080.01,0.3426
2001052,1,0,17,-73.163,-176.804,2,1070.32,0.4138
2001053,1,17.892,17,-73.29,-177.15,2,1066.37,0.3459
2001054,1,6.385,17,-73.332,-177.016,2,1065.99,0.0699
