date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2015226,0,0,6,-74.589,-104.18,0,1496.52,0
2015227,1,8.911,5,-74.548,-104.44,0,1496.52,0
2015228,1,2.48,5,-74.542,-104.521,0,1496.52,0
2015229,1,0,5,-74.542,-104.521,0,1496.52,0
2015230,1,0,5,-74.542,-104.521,0,1496.52,0
2015231,1,8.665,5,-74.493,-104.746,0,1496.52,0
2015232,1,0,5,-74.493,-104.746,0,1496.52,0
2015233,1,0,5,-74.493,-104.746,0,1496.52,0
2015234,1,0,5,-74.493,-104.746,0,1496.52,0
2015235,1,0,5,-74.493,-104.746,0,1496.52,0
2015236,1,9.317,5,-74.539,-104.484,0,1496.52,0
2015237,1,0,5,-74.539,-104.484,0,1496.52,0
2015238,1,0,5,-74.539,-104.484,0,1496.52,0
2015239,1,0,5,-74.539,-104.484,0,1496.52,0
2015240,1,3.498,6,-74.551,-104.592,0,1496.52,0
2015241,1,0.782,7,-74.546,-104.611,0,1496.52,0
2015242,1,1.027,7,-74.539,-104.634,0,1496.52,0
2015243,1,2.678,7,-74.515,-104.625,0,1496.52,0
2015244,1,1.126,7,-74.507,-104.648,0,1496.52,0
2015245,1,0.981,7,-74.5,-104.669,0,1496.52,0
2015246,1,0.702,7,-74.495,-104.684,0,1496.52,0
2015247,1,2.969,6,-74.469,-104.685,0,1496.52,0
2015248,1,0.08,7,-74.469,-104.688,0,1496.52,0
2015249,1,0.144,7,-74.47,-104.689,0,1496.52,0
2015250,1,0.183,7,-74.472,-104.691,0,1496.52,0
2015251,1,0.203,7,-74.474,-104.692,0,1496.52,0
2015252,1,0.18,7,-74.475,-104.693,0,1496.52,0
2015253,1,0.134,7,-74.476,-104.694,0,1496.52,0
2015254,1,0.05,6,-74.477,-104.694,0,1496.52,0
2015255,1,0,7,-74.477,-104.694,0,1496.52,0
2015256,1,0,7,-74.477,-104.694,0,1496.52,0
2015257,1,0,7,-74.477,-104.694,0,1488.02,0
2015258,1,0,7,-74.477,-104.694,0,1475.27,0
2015259,1,0,7,-74.477,-104.694,0,1462.53,0
2015260,1,0,7,-74.477,-104.694,0,1445.53,0
2015261,1,0,6,-74.477,-104.694,0,1428.53,0
2015262,1,0.133,7,-74.477,-104.69,0,1407.29,0
2015263,1,0.345,7,-74.479,-104.679,0,1386.04,0
2015264,1,0.472,7,-74.48,-104.664,0,1360.55,0
2015265,1,0.513,7,-74.482,-104.648,0,1335.05,0
2015266,1,0.472,7,-74.484,-104.634,0,1305.31,0
2015267,1,0.344,7,-74.485,-104.623,0,1275.57,0
2015268,1,0.133,6,-74.485,-104.619,0,1245.82,0
2015269,1,0.243,7,-74.483,-104.623,0,0,0
2015270,1,0.63,7,-74.479,-104.635,0,0,0
2015271,1,0.875,7,-74.472,-104.651,0,0,0
2015272,1,0.964,7,-74.465,-104.67,0,0,0
2015273,1,0.923,7,-74.458,-104.689,0,0,0
2015274,1,0.73,7,-74.454,-104.706,0,0,0
2015275,1,0.426,6,-74.452,-104.719,0,0,0
2015276,1,0.29,7,-74.452,-104.729,0,0,0
2015277,1,0.294,7,-74.452,-104.738,0,0,0
2015278,1,0.278,7,-74.452,-104.748,0,0,0
2015279,1,3.938,7,-74.458,-104.878,0,0,0
2015280,1,0.198,7,-74.458,-104.885,0,0,0
2015281,1,0.132,7,-74.458,-104.889,0,0,0
2015282,1,0.048,6,-74.458,-104.891,0,0,0
2015283,1,0.082,7,-74.458,-104.888,0,0,0
2015284,1,0.213,7,-74.458,-104.881,0,0,0
2015285,1,0.291,7,-74.458,-104.871,0,0,0
2015286,1,0.315,7,-74.458,-104.86,0,0,0
2015287,1,0.291,7,-74.458,-104.851,0,0,0
2015288,1,0.213,7,-74.458,-104.844,0,0,0
2015289,1,0.082,6,-74.458,-104.841,0,0,0
2015290,1,0,7,-74.458,-104.841,0,0,0
2015291,1,0,7,-74.458,-104.841,0,0,0
2015292,1,0,7,-74.458,-104.841,0,0,0
2015293,1,0,7,-74.458,-104.841,0,0,0
2015294,1,0,7,-74.458,-104.841,0,0,0
2015295,1,0,7,-74.458,-104.841,0,0,0
2015296,1,0,6,-74.458,-104.841,0,0,0
2015297,1,0,7,-74.458,-104.841,0,0,0
2015298,1,0,7,-74.458,-104.841,0,0,0
2015299,1,0,7,-74.458,-104.841,0,0,0
2015300,1,0,7,-74.458,-104.841,0,0,0
2015301,1,0,7,-74.458,-104.841,0,0,0
2015302,1,0,7,-74.458,-104.841,0,0,0
2015303,1,0,6,-74.458,-104.841,0,0,0
2015304,1,0,7,-74.458,-104.841,0,0,0
2015305,1,0,7,-74.458,-104.841,0,0,0
2015306,1,0,7,-74.458,-104.841,0,0,0
2015307,1,0,7,-74.458,-104.841,0,0,0
2015308,1,0,7,-74.458,-104.841,0,0,0
2015309,1,0,7,-74.458,-104.841,0,0,0
2015310,1,0,6,-74.458,-104.841,0,0,0
2015311,1,0,7,-74.458,-104.841,0,0,0
2015312,1,0,7,-74.458,-104.841,0,0,0
2015313,1,0,7,-74.458,-104.841,0,0,0
2015314,1,0,7,-74.458,-104.841,0,0,0
2015315,1,0,7,-74.458,-104.841,0,0,0
2015316,1,0,7,-74.458,-104.841,0,1216.08,0
2015317,1,0,6,-74.458,-104.841,0,1186.34,0
2015318,1,3.858,5,-74.483,-104.932,0,1156.59,0
2015319,1,0,5,-74.483,-104.932,0,1126.85,0
2015320,1,6.456,5,-74.497,-105.143,0,1097.11,0
2015321,1,0,5,-74.497,-105.143,0,1069.88,0
2015322,1,0,5,-74.497,-105.143,0,1042.66,0
2015323,1,0,5,-74.497,-105.143,0,1015.44,0
2015324,1,0,5,-74.497,-105.143,0,988.21,0
2015325,1,0,5,-74.497,-105.143,0,960.99,0
2015326,1,0,5,-74.497,-105.143,0,933.77,0
2015327,1,0,5,-74.497,-105.143,0,906.55,0
2015328,1,0,5,-74.497,-105.143,0,879.32,0
2015329,1,0,5,-74.497,-105.143,0,860.6,0
2015330,1,0,5,-74.497,-105.143,0,846.12,0
2015331,1,4.474,6,-74.457,-105.122,0,831.65,0
2015332,1,0.082,7,-74.457,-105.119,0,821.42,0
2015333,1,3.169,7,-74.43,-105.083,0,811.19,0
2015334,1,0.292,7,-74.43,-105.073,0,805.22,0
2015335,1,0.316,7,-74.43,-105.063,0,799.24,0
2015336,1,0.292,7,-74.43,-105.053,0,797.51,0
2015337,1,0.213,7,-74.43,-105.046,0,795.78,0
2015338,1,0.082,6,-74.43,-105.043,0,798.3,0
2015339,1,0,7,-74.43,-105.043,0,800.83,0
2015340,1,0,7,-74.43,-105.043,0,803.35,0
2015341,1,0,7,-74.43,-105.043,0,805.87,0
2015342,1,0,7,-74.43,-105.043,0,822.51,0
2015343,1,0,7,-74.43,-105.043,0,839.16,0
2015344,1,2.466,7,-74.451,-105.065,0,869.93,0
2015345,1,0,6,-74.451,-105.065,0,900.7,0
2015346,1,0.015,7,-74.451,-105.065,0,943.08,0
2015347,1,0.04,7,-74.451,-105.067,0,985.45,0
2015348,1,0.064,7,-74.451,-105.069,0,1041.95,0
2015349,1,0.079,7,-74.451,-105.071,0,1098.45,0
2015350,1,0.094,7,-74.451,-105.075,0,1177.76,0
2015351,1,0.1,7,-74.451,-105.078,0,1265.75,0
2015352,1,0.104,6,-74.451,-105.081,0,1361.9,0
2015353,1,4.081,5,-74.486,-105.129,0,1460.78,0
2015354,1,0,5,-74.486,-105.129,0,1559.65,0
2015355,1,0,5,-74.486,-105.129,0,1658.53,0
2015356,1,0,5,-74.486,-105.129,0,1757.41,0
2015357,1,0,5,-74.486,-105.129,0,1856.28,0
2015358,1,0,5,-74.486,-105.129,0,1955.16,0
2015359,1,0,5,-74.486,-105.129,0,2053.88,0
2015360,1,0,5,-74.486,-105.129,0,2152.53,0
2015361,1,5.348,5,-74.451,-105.253,0,2251.02,0
2015362,1,0,5,-74.451,-105.253,0,2349.43,0
2015363,1,0,5,-74.451,-105.253,0,2447.69,0
2015364,1,0,5,-74.451,-105.253,0,2545.87,0
2015365,1,0,5,-74.451,-105.253,0,2643.9,0
2016001,1,4.672,7,-74.409,-105.268,0,2741.85,0
2016002,1,0,7,-74.409,-105.268,0,2826.46,0
2016003,1,0,7,-74.409,-105.268,0,2910.05,0
2016004,1,0,7,-74.409,-105.268,0,2979.36,0
2016005,1,0,7,-74.409,-105.268,0,3048.59,0
2016006,1,0,7,-74.409,-105.268,0,3103.55,0
2016007,1,0,7,-74.409,-105.268,0,3158.42,0
2016008,1,0,6,-74.409,-105.268,0,3199.17,0
2016009,1,4.372,7,-74.376,-105.353,0,3239.92,0
2016010,1,0,7,-74.376,-105.353,0,3257.86,0
2016011,1,0,7,-74.376,-105.353,0,3265.88,0
2016012,1,0,7,-74.376,-105.353,0,3265.73,0
2016013,1,0,7,-74.376,-105.353,0,3261.61,0
2016014,1,3.878,7,-74.408,-105.295,0,3257.5,0
2016015,1,3.877,6,-74.439,-105.236,0,3252.15,0
2016016,1,8.138,5,-74.511,-105.19,0,3246.37,0
2016017,1,0,5,-74.511,-105.19,0,3239.34,0
2016018,1,5.709,5,-74.519,-105.38,0,3237.38,0
2016019,1,5.706,5,-74.527,-105.57,0,3234.76,0
2016020,1,6.674,5,-74.479,-105.435,0,3232.6,0
2016021,1,1.707,5,-74.471,-105.387,0,3222.21,0
2016022,1,9.689,5,-74.385,-105.458,0,3211.23,0
2016023,1,0,5,-74.385,-105.458,0,3198.91,0
2016024,1,3.712,5,-74.372,-105.344,0,3185.85,0
2016025,1,3.719,5,-74.359,-105.23,0,3172.45,0
2016026,1,0,5,-74.359,-105.23,0,3158.29,0
2016027,1,0,5,-74.359,-105.23,0,3142.77,0
2016028,1,0,5,-74.359,-105.23,0,3127.38,0
2016029,1,0.914,6,-74.363,-105.257,0,3111.59,0
2016030,1,0.914,5,-74.359,-105.23,0,3095.76,0
2016031,1,0,5,-74.359,-105.23,0,3079.54,0
2016032,1,0,5,-74.359,-105.23,0,3063.12,0
2016033,1,0,5,-74.359,-105.23,0,3045.48,0
2016034,1,0,5,-74.359,-105.23,0,3015.15,0
2016035,1,0,5,-74.359,-105.23,0,2983.49,0
2016036,1,0,5,-74.359,-105.23,0,2891.82,0
2016037,1,0,5,-74.359,-105.23,0,2848.83,0
2016038,1,0,5,-74.359,-105.23,0,2795.34,0
2016039,1,0,5,-74.359,-105.23,0,2740.41,0
2016040,1,0,5,-74.359,-105.23,0,2674.97,0
2016041,1,0,5,-74.359,-105.23,0,2587.16,0
2016042,1,0,5,-74.359,-105.23,0,2510.17,0
2016043,1,4.719,5,-74.346,-105.38,0,2428.11,0
2016044,1,0,5,-74.346,-105.38,0,2336.78,0
2016045,1,0,5,-74.346,-105.38,0,2245.07,0
2016046,1,0,5,-74.346,-105.38,0,0,0
2016047,1,0,5,-74.346,-105.38,0,0,0
2016048,1,0,5,-74.346,-105.38,0,0,0
2016049,1,0,5,-74.346,-105.38,0,0,0
2016050,1,0,5,-74.346,-105.38,0,0,0
2016051,1,0,5,-74.346,-105.38,0,0,0
2016052,1,0,5,-74.346,-105.38,0,0,0
2016053,1,0,5,-74.346,-105.38,0,0,0
2016054,1,0,5,-74.346,-105.38,0,0,0
2016055,1,3.375,5,-74.337,-105.489,0,2151.86,0
2016056,1,3.376,5,-74.329,-105.598,0,2060.26,0
2016057,1,0,5,-74.329,-105.598,0,1967.62,0
2016058,1,8.199,5,-74.34,-105.327,0,1875.98,0
2016059,1,0,5,-74.34,-105.327,0,1783.34,0
2016060,1,0,5,-74.34,-105.327,0,1697.8,0
2016061,1,0,5,-74.34,-105.327,0,1613.35,0
2016062,1,0,5,-74.34,-105.327,0,1529.81,0
2016063,1,4.793,5,-74.336,-105.486,0,1447.36,0
2016064,1,1.51,6,-74.343,-105.443,0,1365.39,0
2016065,1,0.05,7,-74.343,-105.443,0,1284.52,0
2016066,1,0.133,7,-74.345,-105.443,0,1204.3,0
2016067,1,0.183,7,-74.346,-105.443,0,1125.83,0
2016068,1,0.194,7,-74.348,-105.443,0,1060.44,0
2016069,1,0.183,7,-74.35,-105.443,0,996.91,0
2016070,1,0.133,7,-74.351,-105.443,0,995.01,0
2016071,1,0.05,6,-74.351,-105.443,0,945.07,0
2016072,1,0.052,7,-74.351,-105.443,0,907.4,0
2016073,1,0.138,7,-74.35,-105.441,0,880.56,0
2016074,1,0.19,7,-74.348,-105.44,0,857.78,0
2016075,1,0.201,7,-74.346,-105.438,0,858.97,0
2016076,1,0.19,7,-74.345,-105.436,0,851.1,0
2016077,1,0.138,7,-74.343,-105.435,0,844.41,0
2016078,1,0.052,6,-74.343,-105.435,0,847.97,0
2016079,1,0,7,-74.343,-105.435,0,852.69,0
2016080,1,0,7,-74.343,-105.435,0,867.44,0
2016081,1,0,7,-74.343,-105.435,0,882.42,0
2016082,1,0,7,-74.343,-105.435,0,900.1,0
2016083,1,0,7,-74.343,-105.435,0,918.75,0
2016084,1,0,7,-74.343,-105.435,0,939.06,0
2016085,1,0,6,-74.343,-105.435,0,954.18,0
2016086,1,0.052,7,-74.342,-105.434,0,968.76,0
2016087,1,0.138,7,-74.341,-105.433,0,983.33,0
2016088,1,0.189,7,-74.34,-105.431,0,997.37,0
2016089,1,0.202,7,-74.338,-105.43,0,1011.03,0
2016090,1,0.189,7,-74.336,-105.428,0,1023.94,0
2016091,1,0.138,7,-74.335,-105.427,0,1036.47,0
2016092,1,0.052,6,-74.335,-105.426,0,1048.24,0
2016093,1,0,7,-74.335,-105.426,0,1059.65,0
2016094,1,0,7,-74.335,-105.426,0,1070.29,0
2016095,1,0,7,-74.335,-105.426,0,1080.25,0
2016096,1,0,7,-74.335,-105.426,0,1089.01,0
2016097,1,0,7,-74.335,-105.426,0,1096.92,0
2016098,1,0,7,-74.335,-105.426,0,1094.92,0
2016099,1,0,6,-74.335,-105.426,0,1100.27,0
2016100,1,0.027,7,-74.335,-105.427,0,1103.91,0
2016101,1,0.072,7,-74.335,-105.43,0,1106.76,0
2016102,1,0.097,7,-74.335,-105.433,0,1108.17,0
2016103,1,0.106,7,-74.335,-105.436,0,1109.43,0
2016104,1,0.097,7,-74.335,-105.44,0,1109.51,0
2016105,1,0.072,7,-74.335,-105.442,0,1109.44,0
2016106,1,0.027,6,-74.335,-105.443,0,1108.21,0
2016107,1,1.662,7,-74.348,-105.415,0,1106.81,0
2016108,1,0,7,-74.348,-105.415,0,1104.25,0
2016109,1,0,7,-74.348,-105.415,0,1101.53,0
2016110,1,0,7,-74.348,-105.415,0,1097.76,0
2016111,1,0,7,-74.348,-105.415,0,1093.98,0
2016112,1,0,7,-74.348,-105.415,0,1090.2,0
2016113,1,0,6,-74.348,-105.415,0,1086.43,0
2016114,1,0,7,-74.348,-105.415,0,1082.65,0
2016115,1,0,7,-74.348,-105.415,0,1079.09,0
2016116,1,0,7,-74.348,-105.415,0,1075.53,0
2016117,1,0,7,-74.348,-105.415,0,1072.19,0
2016118,1,0,7,-74.348,-105.415,0,1068.84,0
2016119,1,0,7,-74.348,-105.415,0,1066.04,0
2016120,1,0,6,-74.348,-105.415,0,1063.56,0
2016121,1,0.573,7,-74.347,-105.434,0,1062.17,0
2016122,1,1.284,7,-74.336,-105.423,0,1061.09,0
2016123,1,0,7,-74.336,-105.423,0,1061.1,0
2016124,1,0,7,-74.336,-105.423,0,1061.44,0
2016125,1,2.236,7,-74.349,-105.477,0,1062.85,0
2016126,1,1.403,7,-74.34,-105.447,0,1064.54,0
2016127,1,0,6,-74.34,-105.447,0,1067.04,0
2016128,1,0,7,-74.34,-105.447,0,1069.54,0
2016129,1,0,7,-74.34,-105.447,0,1072.75,0
2016130,1,0,7,-74.34,-105.447,0,1075.96,0
2016131,1,0,7,-74.34,-105.447,0,1080.4,0
2016132,1,0,7,-74.34,-105.447,0,1084.83,0
2016133,1,0,7,-74.34,-105.447,0,1089.85,0
2016134,1,0,7,-74.34,-105.447,0,1094.88,0
2016135,1,0.109,7,-74.34,-105.451,0,1100.3,0
2016136,1,0.289,7,-74.34,-105.46,0,1105.73,0
2016137,1,0.41,7,-74.34,-105.474,0,1111.56,0
2016138,1,0.472,7,-74.34,-105.49,0,1117.39,0
2016139,1,0.479,7,-74.34,-105.506,0,1123.62,0
2016140,1,0.424,7,-74.34,-105.52,0,1129.86,0
2016141,1,0.313,6,-74.34,-105.53,0,1136.64,0
2016142,1,2.035,7,-74.33,-105.587,0,1142.87,0
2016143,1,1.97,7,-74.33,-105.652,0,1149.8,0
2016144,1,0.246,7,-74.328,-105.658,0,1155.67,0
2016145,1,0.256,7,-74.326,-105.664,0,1162.41,0
2016146,1,0.237,7,-74.325,-105.669,0,1169.6,0
2016147,1,0.213,7,-74.324,-105.674,0,1175.9,0
2016148,1,0.19,6,-74.323,-105.68,0,1180.83,0
2016149,1,0.38,7,-74.326,-105.688,0,1185.36,-0.0025
2016150,1,0.838,7,-74.333,-105.697,0,1188.54,0.114
2016151,1,1.124,7,-74.343,-105.707,0,1190.79,-0.0728
2016152,1,1.207,7,-74.354,-105.716,0,1191.41,-0.2146
2016153,1,1.111,7,-74.363,-105.723,0,1191.12,-0.3416
2016154,1,0.809,7,-74.37,-105.729,0,1189.02,-0.2421
2016155,1,2.948,7,-74.396,-105.704,0,1185.86,-0.1583
2016156,1,2.67,7,-74.419,-105.678,0,1180.45,0.0462
2016157,1,0,7,-74.419,-105.678,0,1173.79,0.3225
2016158,1,0,7,-74.419,-105.678,0,1165.61,0.6408
2016159,1,0,7,-74.419,-105.678,0,1155.94,0.6245
2016160,1,0,7,-74.419,-105.678,0,1143.13,0.3903
2016161,1,0,7,-74.419,-105.678,0,1128.6,0.0962
2016162,1,0,7,-74.419,-105.678,0,1112.27,-0.0488
