date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2000050,0,0,17,-67.782,147.122,0,786.37,0
2000051,1,0,17,-67.782,147.122,0,802.45,0
2000052,1,0,17,-67.782,147.122,0,818.54,0
2000053,1,0,17,-67.782,147.122,0,834.62,0
2000054,1,0,17,-67.782,147.122,0,850.71,0
2000055,1,0,17,-67.782,147.122,0,866.79,0
2000056,1,0,17,-67.782,147.122,0,882.87,0
2000057,1,0,17,-67.782,147.122,0,898.96,0
2000058,1,12.385,19,-67.891,147.061,0,915.04,0
2000059,1,12.385,17,-67.782,147.122,0,931.13,0
2000060,1,0,17,-67.782,147.122,0,947.21,0
2000061,1,0,17,-67.782,147.122,0,963.29,0
2000062,1,0,17,-67.782,147.122,0,979.38,0
2000063,1,0,17,-67.782,147.122,0,1000.74,0
2000064,1,0,17,-67.782,147.122,0,1025.49,0
2000065,1,0,17,-67.782,147.122,0,1052.09,0
2000066,1,0,17,-67.782,147.122,0,1080.6,0
2000067,1,0,17,-67.782,147.122,0,1111.97,0
2000068,1,0,17,-67.782,147.122,0,1142.75,0
2000069,1,0,17,-67.782,147.122,0,1174.51,0
2000070,1,0,17,-67.782,147.122,0,1203.5,0
2000071,1,0,17,-67.782,147.122,0,1231.66,0
2000072,1,0,17,-67.782,147.122,0,1258.13,0
2000073,1,0,17,-67.782,147.122,0,1282.94,0
2000074,1,0,17,-67.782,147.122,0,1306.36,0
2000075,1,0,17,-67.782,147.122,0,1357.54,0
2000076,1,0,17,-67.782,147.122,0,1406.49,0
2000077,1,0,17,-67.782,147.122,0,1444.71,0
2000078,1,0,17,-67.782,147.122,0,1484.11,0
2000079,1,0,17,-67.782,147.122,0,1531.14,0
2000080,1,0,17,-67.782,147.122,0,1575.34,0
2000081,1,0,17,-67.782,147.122,0,1584.09,0
2000082,1,0,17,-67.782,147.122,0,1590.89,0
2000083,1,0,17,-67.782,147.122,0,1586.26,0
2000084,1,0,17,-67.782,147.122,0,1589.38,0
2000085,1,0,17,-67.782,147.122,0,1581.18,0
2000086,1,0,17,-67.782,147.122,0,1569.93,0.0032
2000087,1,0,17,-67.782,147.122,0,1554.23,-0.0021
2000088,1,0,17,-67.782,147.122,0,1537.16,-0.0059
2000089,1,0,17,-67.782,147.122,0,1516.03,-0.0082
2000090,1,0,17,-67.782,147.122,0,1492.07,-0.009
2000091,1,0,17,-67.782,147.122,0,1466.76,-0.0082
2000092,1,0,17,-67.782,147.122,0,1438.58,-0.0059
2000093,1,0,17,-67.782,147.122,0,1409.68,-0.0021
2000094,1,0,17,-67.782,147.122,0,1380.5,0.0032
2000095,1,0,17,-67.782,147.122,0,1353.22,0
2000096,1,0,17,-67.782,147.122,0,1328.69,0
2000097,1,0,17,-67.782,147.122,0,1306.85,0
2000098,1,0,17,-67.782,147.122,0,1286.68,0
2000099,1,0,17,-67.782,147.122,0,1267.88,0
2000100,1,0,17,-67.782,147.122,0,1221.35,0
2000101,1,0,17,-67.782,147.122,0,1176.4,0
2000102,1,0,17,-67.782,147.122,0,1141.21,0
2000103,1,0,17,-67.782,147.122,0,1106.03,-0.0107
2000104,1,0,17,-67.782,147.122,0,1059.75,-0.0008
2000105,1,0,17,-67.782,147.122,0,1015.62,0.0252
2000106,1,0,17,-67.782,147.122,0,1008.03,0.0423
2000107,1,0,17,-67.782,147.122,0,998.81,0.0446
2000108,1,0,17,-67.782,147.122,0,1000.05,0.0479
2000109,1,0,17,-67.782,147.122,0,991.86,0.0492
2000110,1,0,17,-67.782,147.122,0,997.57,0.0385
2000111,1,0,17,-67.782,147.122,0,1007.94,0.0401
2000112,1,0,17,-67.782,147.122,0,1016.51,0.0601
2000113,1,0,17,-67.782,147.122,0,1023.41,0.0852
2000114,1,0,17,-67.782,147.122,0,1036.01,0.101
2000115,1,0,17,-67.782,147.122,0,1052.01,0.0922
2000116,1,0,17,-67.782,147.122,0,1066.89,0.0774
2000117,1,0,17,-67.782,147.122,0,1083.13,0.0535
2000118,1,0,17,-67.782,147.122,0,1100.56,0.0232
2000119,1,0,17,-67.782,147.122,0,1117.31,0.0127
2000120,1,0,17,-67.782,147.122,0,1133.88,-0.0025
2000121,1,0,17,-67.782,147.122,0,1150.11,-0.0074
2000122,1,0,17,-67.782,147.122,0,1161.38,0
2000123,1,0,17,-67.782,147.122,0,1177.25,0
2000124,1,0,17,-67.782,147.122,0,1189.68,-0.1351
2000125,1,0,17,-67.782,147.122,0,1203.46,0.1057
2000126,1,0,17,-67.782,147.122,0,1216.38,0.3159
2000127,1,0,17,-67.782,147.122,0,1225.85,0.1928
2000128,1,0,17,-67.782,147.122,0,1236.53,0.3267
2000129,1,0,17,-67.782,147.122,0,1247.31,0.1973
2000130,1,0,17,-67.782,147.122,0,1256.54,0.048
2000131,1,0,17,-67.782,147.122,0,1263.19,-0.1211
