date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2003159,0,0,3,-69.8,166.3,0,1745.39,0
2003160,1,22.927,3,-69.763,165.712,0,1735.83,0
2003161,1,21.852,3,-69.724,165.155,0,1726.27,0
2003162,1,20.386,3,-69.683,164.639,0,1716.71,0
2003163,1,18.528,3,-69.64,164.175,0,1707.16,0
2003164,1,16.301,3,-69.595,163.773,0,1697.6,0
2003165,1,13.734,3,-69.548,163.445,0,1688.04,0
2003166,1,10.903,3,-69.5,163.2,0,1678.48,0
2003167,1,9.341,3,-69.445,163.019,0,1668.93,0
2003168,1,9.24,3,-69.381,162.868,0,1659.37,0
2003169,1,9.067,3,-69.313,162.74,0,1649.81,0
2003170,1,8.677,3,-69.245,162.627,0,1640.25,0
2003171,1,7.958,3,-69.184,162.521,0,1630.7,0
2003172,1,6.972,3,-69.134,162.415,0,1617.86,0
2003173,1,22.916,51,-69.322,162.656,1,1608.16,0
2003174,1,14.045,49,-69.43,162.843,1,1597.36,0
2003175,1,0.493,49,-69.433,162.833,1,1585.98,-0.0744
2003176,1,10.198,49,-69.356,162.69,1,1575.05,0.0504
2003177,1,0,49,-69.356,162.69,1,1565.03,0.1062
2003178,1,13.619,49,-69.241,162.571,1,1555.87,0.2785
2003179,1,13.663,49,-69.132,162.411,1,1547.84,0.3432
2003180,1,0,49,-69.132,162.411,1,1540.6,0.1506
2003181,1,7.861,49,-69.063,162.371,1,1532.99,-0.1955
2003182,1,0,49,-69.063,162.371,1,1529.66,-0.6304
2003183,1,16.908,49,-69.016,161.966,1,1534.47,-0.9219
2003184,1,20.159,49,-68.967,161.479,1,1541.25,-0.6306
2003185,1,6.202,49,-68.943,161.338,1,1540.12,-0.134
2003186,1,12.149,49,-68.893,161.067,1,1541.9,0.307
2003187,1,4.901,51,-68.895,160.945,1,1545.4,0.2923
2003188,1,4.901,49,-68.893,161.067,1,1557.63,0.0639
2003189,1,17.892,49,-68.815,160.676,1,1562.43,-0.2451
2003190,1,0,49,-68.815,160.676,1,1567.52,-0.5653
2003191,1,0,49,-68.815,160.676,1,1577.33,-0.6437
