date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2005072,0,0,3,-65.02,95.92,0,0,0
2005219,147,0,3,-65.02,95.92,0,0,0
2005233,14,0,3,-65.02,95.92,0,0,0
2005240,7,0,3,-65.02,95.92,0,0,0
2005261,21,0,3,-65.02,95.92,0,0,0
2005268,7,0,3,-65.02,95.92,0,0,0
2005282,14,0,3,-65.02,95.92,0,0,0
2005289,7,0,3,-65.02,95.92,0,1210.41,0
2005296,7,0,3,-65.02,95.92,0,1207.75,0
2005310,14,0,3,-65.02,95.92,0,1205.1,0
2005317,7,0,3,-65.02,95.92,0,1202.44,0
2005338,21,0,3,-65.02,95.92,0,1199.79,0
2005345,7,0,3,-65.02,95.92,0,1197.13,0
2005352,7,0,3,-65.02,95.92,0,1194.48,0
2006015,28,1.11,3,-65.03,95.92,0,1191.83,0
2006022,7,0,3,-65.03,95.92,0,1189.17,0
2006036,14,0,3,-65.03,95.92,0,1186.52,0
2006043,7,1.792,3,-65.02,95.95,0,1183.86,0
2006050,7,0,3,-65.02,95.95,0,1181.21,0
2006064,14,0,3,-65.02,95.95,0,1178.55,0
2006071,7,0,3,-65.02,95.95,0,1176.08,0
2006078,7,0,3,-65.02,95.95,0,1173.54,0
2006085,7,0,3,-65.02,95.95,0,1170.83,0
2006090,5,9.833,17,-64.947,96.07,1,1168.64,0
2006091,1,0,17,-64.947,96.07,1,1166.5,0
2006092,1,0,17,-64.947,96.07,1,1164.69,0
2006093,1,0,17,-64.947,96.07,1,1162.74,0
2006094,1,0,17,-64.947,96.07,1,1160.07,0
2006095,1,0,17,-64.947,96.07,1,1158.02,0
2006096,1,0,17,-64.947,96.07,1,1155.37,0
2006097,1,0,17,-64.947,96.07,1,1152.66,0
2006098,1,0,17,-64.947,96.07,1,1150.02,0
2006099,1,4.918,19,-64.984,96.01,1,1147.91,0
2006100,1,4.918,17,-64.947,96.07,1,1146.33,0
2006101,1,0,17,-64.947,96.07,1,1144.36,0
2006102,1,0,17,-64.947,96.07,1,1142.81,0
2006103,1,0,17,-64.947,96.07,1,1140.74,0.0015
2006104,1,0,17,-64.947,96.07,1,1138.23,-0.002
2006105,1,0,17,-64.947,96.07,1,1135.39,-0.0053
2006106,1,0,17,-64.947,96.07,1,1132.95,0
2006107,1,0,17,-64.947,96.07,1,1130.42,0.0041
2006108,1,0,17,-64.947,96.07,1,1127.78,0.0069
