date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2011242,0,0,4,-65.745,124.055,1,9136.23,0.0079
2011243,1,4.506,4,-65.749,123.956,1,9040.3,-0.1015
2011244,1,0.114,5,-65.749,123.959,1,8944.37,-0.1359
2011245,1,0.287,5,-65.749,123.965,1,8848.44,-0.1167
2011246,1,0.397,5,-65.749,123.974,1,8752.5,-0.0652
2011247,1,0.433,5,-65.749,123.983,1,8656.57,-0.0116
2011248,1,0.397,5,-65.749,123.992,1,8560.64,0.0212
2011249,1,0.287,5,-65.749,123.998,1,8464.71,-0.0001
2011250,1,0.114,4,-65.749,124.001,1,8368.78,0.1058
2011251,1,1.942,4,-65.758,123.965,1,8272.84,0.0501
2011252,1,4.391,4,-65.727,123.908,1,8176.91,-0.0413
2011253,1,3.652,4,-65.729,123.987,1,8080.98,0
2011254,1,2.246,4,-65.71,123.969,1,7985.05,0
2011255,1,7.56,4,-65.769,123.886,1,7898.24,0
2011256,1,6.191,4,-65.73,123.983,1,7806.53,0
2011257,1,6.933,4,-65.79,124.023,1,7724.88,0
2011258,1,7.111,4,-65.727,123.991,1,7635.13,0
2011259,1,3.681,4,-65.711,123.921,1,7555.88,0
2011260,1,0.24,4,-65.713,123.916,1,7476.49,0
2011261,1,2.389,4,-65.724,123.961,1,7407.01,0
2011262,1,2.911,4,-65.709,124.014,1,7349.99,0
2011263,1,2.44,4,-65.722,123.969,1,7291.59,0
2011264,1,3.835,4,-65.721,123.885,1,7237.59,0
2011265,1,3.27,4,-65.75,123.868,1,7197.35,0
2011266,1,3.331,4,-65.774,123.824,1,7166.46,0
2011267,1,3.952,4,-65.809,123.824,1,7123.21,0.0311
2011268,1,7.835,4,-65.74,123.859,1,7079.59,-0.1306
2011269,1,1.206,4,-65.746,123.881,1,7066.37,0.0993
2011270,1,2.228,4,-65.764,123.859,1,7052.7,0.1299
2011271,1,7.171,4,-65.7,123.877,1,7061.98,-0.1059
2011272,1,3.443,4,-65.703,123.952,1,7074.28,0.01
2011273,1,2.194,4,-65.718,123.983,1,7084.87,-0.0007
2011274,1,3.644,4,-65.749,123.956,1,7102.74,-0.0103
2011275,1,2.782,4,-65.724,123.961,1,7104.18,-0.019
2011276,1,3.887,4,-65.744,123.89,1,7110.22,-0.1328
2011277,1,2.309,4,-65.756,123.93,1,7121.18,0.197
2011278,1,2.227,4,-65.755,123.979,1,7131.66,0.033
2011279,1,3.098,4,-65.727,123.992,1,7146.89,-0.1931
2011280,1,3.694,4,-65.711,123.921,1,7161.03,-0.127
2011281,1,0.24,4,-65.713,123.916,1,7167.44,-0.1427
2011282,1,3.113,4,-65.735,123.877,1,7191.74,-0.195
2011283,1,1.211,4,-65.742,123.855,1,7217.22,-0.1567
2011284,1,2.026,4,-65.741,123.899,1,7238.36,-0.0628
2011285,1,1.625,4,-65.743,123.934,1,7269.3,0.0785
2011286,1,1.087,4,-65.735,123.921,1,7290.32,0.0527
2011287,1,2.91,4,-65.75,123.868,1,7311.01,0.0819
2011288,1,4.257,4,-65.715,123.908,1,7328.05,0.0293
2011289,1,3.588,4,-65.732,123.974,1,7347.26,0.0656
2011290,1,3.427,4,-65.713,123.916,1,7356.15,-0.0167
2011291,1,0.012,4,-65.713,123.916,1,7351.18,-0.0112
2011292,1,1.097,4,-65.704,123.903,1,7356.82,0
2011293,1,1.097,4,-65.713,123.916,1,7369.89,0
2011294,1,2.226,4,-65.711,123.965,1,7367.04,0
2011295,1,3.806,4,-65.738,123.912,1,7356.94,0
2011296,1,2.232,4,-65.756,123.93,1,7332.58,0
2011297,1,1.467,4,-65.743,123.934,1,7306.03,0
2011298,1,3.645,4,-65.712,123.961,1,7274.78,0
2011299,1,2.675,4,-65.716,123.903,1,7231.66,0
2011300,1,1.63,4,-65.714,123.868,1,7194.49,0
2011301,1,3.705,4,-65.73,123.939,1,7154.85,0
2011302,1,3.349,4,-65.758,123.965,1,7111.43,0
2011303,1,1.63,4,-65.756,123.93,1,7070.61,0
2011304,1,3.653,4,-65.725,123.956,1,7026.52,0
2011305,1,4.921,4,-65.768,123.93,1,6982.65,0
2011306,1,3.371,4,-65.74,123.903,1,6943.6,0
2011307,1,3.289,4,-65.764,123.943,1,6895.37,0
2011308,1,3.289,4,-65.74,123.903,1,6849.35,-0.058
2011309,1,1.941,4,-65.73,123.939,1,6807.94,0.0067
2011310,1,2.196,4,-65.745,123.97,1,6760.03,0.1226
2011311,1,2.181,4,-65.762,123.996,1,6715.67,0.2065
2011312,1,1.464,4,-65.758,123.965,1,6667,0.2925
2011313,1,1.624,4,-65.756,123.93,1,6618.94,0.1824
2011314,1,3.432,4,-65.727,123.908,1,6576.02,0.1406
2011315,1,4.86,4,-65.751,123.819,1,6524.21,0.2404
2011316,1,1.83,4,-65.752,123.859,1,6488.57,0.1583
2011317,1,3.938,4,-65.766,123.939,1,6477.25,0.2831
2011318,1,3.299,4,-65.74,123.903,1,6447.98,0.315
2011319,1,0.967,4,-65.735,123.921,1,6433.24,0.2403
2011320,1,3.421,4,-65.755,123.979,1,6419.85,0.24
2011321,1,3.083,4,-65.76,124.045,1,6422.21,-0.1383
2011322,1,1.125,4,-65.751,124.036,1,6428.33,-0.3932
2011323,1,2.926,4,-65.757,124.098,1,6441.18,-0.4341
2011324,1,5.701,4,-65.743,123.978,1,6464.89,-0.5143
2011325,1,3.33,4,-65.765,124.028,1,6493.3,-0.3929
2011326,1,4.461,4,-65.768,123.93,1,6523.6,-0.2973
2011327,1,4.256,4,-65.733,123.97,1,6557.45,-0.1493
2011328,1,3.502,4,-65.752,124.032,1,6592.89,0.0786
2011329,1,1.645,4,-65.737,124.04,1,6635.17,0.044
2011330,1,4.778,4,-65.715,123.952,1,6682.04,0
2011331,1,4.262,4,-65.727,123.863,1,6733.47,0
2011332,1,3.698,4,-65.743,123.934,1,6788.39,0
2011333,1,4.468,4,-65.707,123.978,1,6844.43,0
2011334,1,3.285,4,-65.736,123.961,1,6905.49,0.0159
2011335,1,4.668,4,-65.74,123.859,1,6971.67,-0.0106
2011336,1,3.564,4,-65.749,123.784,1,7045.74,-0.0974
2011337,1,3.505,4,-65.78,123.802,1,7138.97,0.033
2011338,1,5.127,4,-65.74,123.859,1,7255.67,-0.0252
2011339,1,2.248,4,-65.754,123.895,1,7365.3,0.0836
2011340,1,2.922,4,-65.739,123.948,1,7504.97,0.3183
2011341,1,0.468,4,-65.737,123.956,1,7593.32,0.3836
2011342,1,1.097,4,-65.729,123.943,1,7663.08,0.4258
2011343,1,4.376,4,-65.762,123.997,1,7788.73,0.3024
2011344,1,1.084,4,-65.77,124.01,1,7862.58,0.1261
2011345,1,3.433,4,-65.74,123.987,1,7974.44,0.0982
2011346,1,3.64,4,-65.739,123.908,1,8053.51,-0.1301
2011347,1,2.894,4,-65.717,123.943,1,8168.23,-0.1128
2011348,1,2.683,4,-65.731,123.894,1,8280.93,-0.0127
2011349,1,3.467,4,-65.701,123.916,1,8370.66,-0.0415
2011350,1,2.918,4,-65.716,123.864,1,8461.17,-0.0034
2011351,1,4.552,4,-65.677,123.832,1,8569.93,-0.017
2012039,53,26.137,4,-65.827,124.273,1,8667.14,-0.0097
2012040,1,2.929,4,-65.821,124.21,1,8776.27,0.0013
2012041,1,1.126,4,-65.83,124.219,1,8873.47,0.0038
2012042,1,3.356,4,-65.81,124.166,1,8972.07,0
2012043,1,3.596,4,-65.778,124.152,1,9072.91,0
2012044,1,4.977,4,-65.81,124.077,1,9174.94,0
2012045,1,1.186,4,-65.8,124.072,1,9276.52,0
2012046,1,4.06,4,-65.766,124.107,1,9377.33,0
2012047,1,4.043,4,-65.778,124.023,1,9473.17,0
2012048,1,1.112,4,-65.787,124.032,1,9568.07,0
2012049,1,1.66,4,-65.802,124.023,1,9640.23,0
2012050,1,23.806,5,-66.014,124.094,1,9691.19,0
2012051,1,22.439,4,-66.214,124.165,1,9748.3,0
2012052,1,50.024,4,-65.764,124.116,1,9778.08,0
2012053,1,2.195,4,-65.749,124.085,1,9850.87,0
2012054,1,4.487,4,-65.721,124.014,1,9920.02,0
2012055,1,1.467,4,-65.734,124.009,1,9954.72,0
2012056,1,2.392,4,-65.746,124.054,1,10028.24,0
2012057,1,2.388,4,-65.734,124.009,1,10062.21,0
2012058,1,1.096,4,-65.742,124.023,1,10126.84,0
2012059,1,0.24,4,-65.741,124.027,1,10160.12,0
2012060,1,49.636,4,-66.183,124.191,1,10194.27,0
2012061,1,47.499,4,-65.757,124.098,1,10247.72,-0.033
2012062,1,1.457,4,-65.754,124.067,1,10295.54,0.074
2012063,1,3.297,4,-65.729,124.027,1,10325.4,0.0151
2012064,1,7.663,4,-65.786,124.121,1,10354.22,-0.004
2012065,1,3.27,4,-65.762,124.081,1,10368.22,-0.1036
2012066,1,3.495,4,-65.744,124.018,1,10386.61,0.0245
2012067,1,3.503,4,-65.725,123.956,1,10399.99,0.1162
2012068,1,2.925,4,-65.751,123.947,1,10417.82,0.1657
2012069,1,7.783,4,-65.816,124.014,1,10420.44,0.1938
2012070,1,7.319,4,-65.832,124.17,1,10430.22,0.2866
2012071,1,1.111,4,-65.825,124.153,1,10430.54,0.1593
2012072,1,3.426,4,-65.806,124.095,1,10417.62,0.0721
2012073,1,0.258,4,-65.807,124.09,1,10399.49,-0.0694
2012074,1,5.595,4,-65.779,124.192,1,10402.45,0.0106
2012075,1,1.209,4,-65.785,124.17,1,10375.4,0.0038
2012076,1,2.18,4,-65.796,124.13,1,10338.42,-0.0057
2012077,1,5.139,4,-65.777,124.027,1,10327.52,0
2012078,1,2.032,4,-65.776,124.072,1,10287.26,0
2012079,1,0.241,4,-65.775,124.076,1,10292.75,0
2012080,1,1.468,4,-65.772,124.045,1,10264.95,0
2012081,1,4.266,4,-65.784,123.957,1,10223.61,0
2012082,1,2.897,4,-65.779,124.019,1,10146.67,0
2012083,1,1.206,4,-65.773,124.041,1,10081.94,0
2012084,1,3.886,4,-65.793,123.97,1,10009.26,0
2012085,1,4.699,4,-65.751,123.948,1,9926.43,0
2012086,1,2.933,4,-65.758,124.01,1,9841.08,0
2012087,1,2.899,4,-65.78,123.974,1,9750.26,0
2012088,1,6.363,4,-65.789,124.112,1,9671.65,0
2012089,1,8.388,4,-65.749,123.956,1,9594.53,0
2012090,1,5.704,4,-65.729,124.071,1,9492.09,0
2012091,1,3.275,4,-65.725,124,1,9388.62,0
2012092,1,2.207,4,-65.742,124.023,1,9273.98,0.011
2012093,1,3.109,4,-65.765,123.983,0,9137.03,-0.0055
2012094,1,4.436,4,-65.794,124.05,0,9010.59,-0.0216
2012095,1,2.226,4,-65.792,124.099,0,8870.89,-0.0298
2012096,1,2.497,4,-65.77,124.094,1,8742.6,-0.0369
2012097,1,1.087,4,-65.762,124.081,1,8624.85,-0.0423
2012098,1,2.185,4,-65.778,124.107,1,8503.15,-0.0263
2012099,1,4.044,4,-65.806,124.05,1,8363.24,-0.0059
2012100,1,7.099,4,-65.743,124.018,1,8255.89,0.0189
2012101,1,5.127,4,-65.783,123.961,1,8152.8,0.0137
2012102,1,5.47,4,-65.786,124.081,1,8026.71,0.0356
2012103,1,0.493,4,-65.788,124.072,1,7934.07,-0.0008
2012104,1,3.699,4,-65.755,124.063,1,7795.42,-0.1061
2012105,1,4.748,4,-65.786,123.992,1,7676.8,-0.0406
2012106,1,1.2,4,-65.792,124.015,1,7570.84,0.034
2012107,1,6.231,4,-65.805,123.881,1,7498.55,0.1343
2012108,1,5.357,4,-65.778,123.979,1,7412.96,0.2089
2012109,1,2.631,4,-65.802,123.979,1,7332.5,0.3096
2012110,1,2.896,4,-65.78,124.015,1,7259.75,0.3504
2012111,1,0.495,4,-65.783,124.006,1,7190.58,0.2514
2012112,1,1.321,4,-65.771,124.005,1,7125.25,0.1177
2012113,1,4.263,4,-65.806,123.966,1,7049.14,0.1168
2012114,1,2.675,4,-65.801,124.024,1,6980.46,0.0543
2012115,1,4.756,4,-65.833,123.953,1,6962.71,0.0252
2012116,1,5.792,4,-65.79,124.024,1,6950.02,-0.0326
2012117,1,3.28,4,-65.766,123.979,1,6952.75,0.0545
2012118,1,2.777,4,-65.774,124.037,1,6963.19,0.0602
2012119,1,5.212,4,-65.74,124.116,1,6988.23,0.0012
2012120,1,8.19,4,-65.812,124.072,1,7020.35,-0.0274
2012121,1,3.795,4,-65.822,123.993,1,7071.59,-0.0548
2012122,1,2.67,4,-65.801,124.024,1,7125.32,-0.073
2012123,1,1.635,4,-65.787,124.032,1,7207.7,-0.0821
2012124,1,2.235,4,-65.805,124.01,1,7261.48,-0.0821
2012125,1,3.814,4,-65.771,124.005,1,7371.92,0.0077
2012126,1,3.941,4,-65.735,124.005,1,7476.62,0.0223
2012127,1,4.253,4,-65.737,123.912,1,7579.67,0
2012128,1,8.042,4,-65.807,123.962,1,7684.18,0
2012129,1,3.342,4,-65.815,123.891,1,7797.76,0
2012130,1,4.248,4,-65.776,123.899,1,7909.41,0
2012131,1,12.219,4,-65.676,123.792,1,8017.99,0
2012132,1,13.521,4,-65.758,124.01,1,8111.8,0
2012133,1,3.82,4,-65.758,124.094,1,8210.83,0
2012134,1,1.205,4,-65.753,124.071,1,8313.4,-0.0416
2012135,1,6.076,4,-65.783,123.961,1,8419.81,0.0277
2012136,1,1.471,4,-65.776,123.988,1,8535.51,0.0772
2012137,1,1.945,4,-65.786,123.952,1,8656.1,0.1069
2012138,1,2.896,4,-65.764,123.988,1,8778.53,0.1168
2012139,1,4.618,4,-65.804,124.015,1,8907.31,0.1069
2012140,1,5.126,4,-65.764,124.072,1,8974.99,0.0772
2012141,1,4.083,4,-65.752,123.987,1,9074.76,0.0277
2012142,1,1.125,4,-65.762,123.996,1,9174.59,-0.0416
2012143,1,1.096,4,-65.77,124.01,1,9299.05,0
2012144,1,2.934,4,-65.744,124.018,1,9414.99,0
2012145,1,1.124,4,-65.751,124.036,1,9537.23,0
2012146,1,2.183,4,-65.767,124.063,1,9641.91,0
2012147,1,5.834,4,-65.796,123.957,1,9751.96,0
2012148,1,5.289,4,-65.751,123.992,1,9847.57,0
2012149,1,5.672,4,-65.799,124.033,1,9975.68,0
2012150,1,2.781,4,-65.774,124.036,1,10047.74,0
2012151,1,7.894,4,-65.84,123.971,1,10127.17,0
2012152,1,8.334,4,-65.765,123.983,1,10212.4,0
2012153,1,0.257,4,-65.766,123.979,0,10297.91,0
2012154,1,1.321,4,-65.755,123.979,0,10377.54,0
2012155,1,2.894,4,-65.776,123.943,0,10461.48,0
2012156,1,3.803,4,-65.766,124.023,0,10549.91,0
2012157,1,2.77,4,-65.791,124.019,0,10652.87,0
2012158,1,2.782,4,-65.766,124.023,0,10752.93,0
2012159,1,7.618,4,-65.796,123.872,0,10844.74,0
2012160,1,6.915,4,-65.741,123.943,1,10971.71,0
2012161,1,0,4,-65.741,123.943,1,11091.23,0
2012162,1,4.243,4,-65.739,124.036,1,11210.6,0
2012163,1,8.221,4,-65.752,123.859,1,11319.12,0
2012164,1,5.409,4,-65.769,123.97,1,11365.75,0
2012165,1,2.519,4,-65.746,123.965,1,11505.05,0
2012166,1,3.485,4,-65.716,123.947,1,11547.59,0
2012167,1,3.643,4,-65.747,123.921,1,11592.03,0
2012168,1,2.207,4,-65.764,123.943,1,11614.85,0
2012169,1,1.457,4,-65.777,123.939,1,11625.63,0
2012170,1,4.892,4,-65.756,123.846,1,11634.56,0
2012171,1,2.898,4,-65.75,123.908,1,11629.99,0
2012172,1,3.586,4,-65.719,123.894,1,11616.1,0
2012173,1,5.869,4,-65.768,123.846,1,11605.5,0
2012174,1,3.583,4,-65.759,123.921,1,11579.76,0
2012175,1,1.818,4,-65.743,123.934,1,11549.04,0
2012176,1,2.193,4,-65.76,123.961,1,11508.09,0
2012177,1,0.621,5,-65.757,123.973,1,11406.59,0
2012178,1,0.368,4,-65.755,123.979,1,11361.2,0
2012179,1,0.973,4,-65.759,123.961,1,11240.97,0
2012180,1,0.012,4,-65.76,123.961,1,11108.59,0
2012181,1,5.549,4,-65.805,124.01,1,10967.72,0
2012182,1,4.498,4,-65.768,123.974,1,10833.99,0
2012183,1,2.383,4,-65.756,123.93,1,10754.22,0
2012184,1,3.427,4,-65.776,123.988,1,10669.66,0
2012185,1,1.096,4,-65.768,123.974,1,10487.97,0
2012186,1,2.39,4,-65.779,124.019,1,10345.48,0
2012187,1,4.7,4,-65.755,123.934,1,10189.91,0
2012188,1,5.491,4,-65.797,123.997,0,10033.44,0
2012189,1,3.439,4,-65.777,123.939,0,9922.29,0
2012190,1,2.032,4,-65.777,123.984,0,9749.45,0
2012191,1,2.889,4,-65.799,123.948,0,9627.74,0
2012192,1,4.744,4,-65.784,124.046,0,9496.28,0
2012193,1,2.638,4,-65.775,123.992,0,9361.74,0
2012194,1,5.597,4,-65.746,124.094,0,9230.21,0
2012195,1,3.853,4,-65.746,124.009,0,9087.47,0
2012196,1,4.44,4,-65.775,124.076,0,8949.52,0
2012197,1,1.472,4,-65.772,124.045,0,8808.33,0
2012198,1,1.709,4,-65.763,124.076,0,8651.82,0
2012199,1,3.814,4,-65.79,124.023,0,8494.81,0
2012200,1,1.314,4,-65.794,124.05,0,8336.4,0
2012201,1,1.944,4,-65.804,124.015,0,8183.96,0
2012202,1,5.698,4,-65.784,124.13,0,8086.46,0
2012203,1,9.717,4,-65.784,123.916,0,7929.08,0
2012204,1,7.649,4,-65.813,124.068,0,7842.64,0
2012205,1,3.288,4,-65.809,123.997,0,7765.69,0
2012206,1,5.114,4,-65.802,124.108,0,7696.65,0
2012207,1,4.516,4,-65.816,124.015,0,7621.32,0
2012208,1,2.631,4,-65.792,124.015,0,7492.13,0
2012209,1,5.338,4,-65.833,123.953,0,7370.66,0
2012210,1,7.627,4,-65.78,124.059,0,7307.73,0
2012211,1,1.299,5,-65.778,124.087,0,7202.25,0
2012212,1,1.089,5,-65.776,124.111,0,7098.02,0
2012213,1,0.88,5,-65.775,124.13,0,7013.65,0
2012214,1,0.695,5,-65.774,124.145,0,6925.07,0
2012215,1,0.515,5,-65.773,124.156,0,6851.21,0
2012216,1,0.354,5,-65.773,124.164,0,6795.43,0
2012217,1,0.202,5,-65.773,124.168,0,6744.83,0
2012218,1,0.064,4,-65.773,124.17,0,6701.69,0
2012219,1,8.327,4,-65.797,123.996,0,6663.52,0
2012220,1,0,4,-65.797,123.996,0,6629.24,0
2012221,1,0,4,-65.797,123.996,0,6599.39,0
2012222,1,3.426,4,-65.768,123.974,0,6575.6,0
2012223,1,4.471,4,-65.74,123.903,1,6558.69,0
2012224,1,2.925,4,-65.714,123.912,1,6553.73,0
2012225,1,2.504,4,-65.724,123.961,1,6559.09,0
2012226,1,4.79,4,-65.767,123.979,0,6562.59,0
2012227,1,3.828,4,-65.799,123.948,0,6567.98,0
2012228,1,5.593,4,-65.77,124.05,0,6582.49,0
2012229,1,7.067,4,-65.806,123.921,0,6598.12,0
2012230,1,1.099,4,-65.814,123.935,0,6613.22,0
2012231,1,4.791,4,-65.791,123.846,0,6628.72,0
2012232,1,3.017,5,-65.789,123.912,0,6646.15,0
2012233,1,3.473,4,-65.788,123.988,0,6663.37,0
2012234,1,0.713,4,-65.784,124.001,0,6682.08,0
2012235,1,5.329,4,-65.825,123.939,0,6700.13,0
2012236,1,5.356,4,-65.798,124.037,0,6721.21,0
2012237,1,3.104,4,-65.793,123.97,0,6752.41,0
2012238,1,4.75,4,-65.777,124.068,0,6769,0
2012239,1,5.356,4,-65.804,123.97,0,6801.12,0
2012240,1,5.239,4,-65.77,124.05,0,6826.77,0
2012241,1,1.231,4,-65.777,124.028,0,6843.14,0
2012242,1,2.892,4,-65.771,124.09,0,6856.39,0
2012243,1,1.123,4,-65.778,124.107,0,6871.89,0
2012244,1,2.234,4,-65.78,124.059,0,6890.86,0
2012245,1,2.184,4,-65.791,124.019,0,6918.71,0
2012246,1,0.735,4,-65.787,124.032,0,6948.26,0
2012247,1,4.909,4,-65.83,124.006,0,6974.71,0
2012248,1,7.134,4,-65.774,124.081,0,7007.53,0
2012249,1,1.229,4,-65.78,124.059,1,7033.87,0
2012250,1,0.732,4,-65.776,124.072,1,7062.5,0
2012251,1,3.806,4,-65.786,123.992,1,7089.94,0
2012252,1,5.354,4,-65.759,124.09,1,7128.3,0
2012253,1,1.231,4,-65.766,124.067,1,7151.38,0
2012254,1,2.496,4,-65.755,124.018,1,7176.17,0
2012255,1,1.12,4,-65.748,124.001,1,7216.29,0
2012256,1,2.401,4,-65.76,124.045,1,7246.12,0
2012257,1,1.634,4,-65.746,124.054,1,7288.63,0
2012258,1,0,4,-65.746,124.054,1,7326.6,0
2012259,1,5.56,4,-65.71,123.969,1,7364.25,0
2012260,1,4.402,4,-65.72,124.062,1,7408.47,0
2012261,1,9.12,4,-65.738,123.867,1,7459.67,0
2012262,1,4.884,4,-65.713,123.956,1,7509.12,0
2012263,1,5.285,4,-65.71,123.841,1,7583.63,0
2012264,1,0,4,-65.71,123.841,1,7652.93,0
2012265,1,0,4,-65.71,123.841,1,7725.56,0
2012266,1,0,4,-65.71,123.841,1,7798.15,0
2012267,1,2.255,4,-65.724,123.877,1,7875.41,0
2012268,1,3.415,4,-65.743,123.934,1,7938.1,0
2012269,1,0.971,4,-65.748,123.917,1,7998.76,0
2012270,1,3.113,4,-65.742,123.983,1,8052.31,0
2012271,1,2.025,4,-65.742,123.939,1,8118.85,0
2012272,1,2.207,4,-65.76,123.961,1,8191.66,-0.0058
2012273,1,0.005,4,-65.76,123.961,1,8259.19,0.0027
2012274,1,12.389,4,-65.655,123.867,1,8327.31,0.0115
2012275,1,4.069,4,-65.689,123.832,1,8386.55,0.0169
2012276,1,1.926,5,-65.696,123.87,1,8442.59,0.0191
2012277,1,3.248,5,-65.7,123.941,1,8487.67,0.0179
2012278,1,1.916,4,-65.707,123.978,1,8542.84,0.0136
2012279,1,4.519,4,-65.738,123.912,1,8596.18,0.0059
2012280,1,4.515,4,-65.724,124.005,1,8637.49,-0.005
2012281,1,1.202,4,-65.718,123.983,1,8687.9,-0.0011
2012282,1,2.39,4,-65.739,123.992,1,8725.12,0
2012283,1,4.552,4,-65.73,123.894,1,8770.77,0
2012284,1,7.859,4,-65.779,124.019,1,8809.73,0
2012285,1,5.221,4,-65.745,124.098,1,8840.81,0
2012286,1,4.082,4,-65.733,124.014,1,8871.1,0
2012287,1,5.264,4,-65.729,123.899,1,8896.46,0
2012288,1,2.646,4,-65.738,123.952,1,8901.12,0
2012289,1,3.335,4,-65.731,124.023,1,8901.45,0
2012290,1,3.288,4,-65.754,124.067,1,8887.77,0
2012291,1,2.401,4,-65.742,124.023,1,8874.71,0
2012292,1,3.431,4,-65.762,124.081,1,8859.41,0
2012293,1,3.435,4,-65.742,124.023,1,8862.88,0
2012294,1,3.645,4,-65.711,124.049,1,8857.62,0
2012295,1,2.77,4,-65.704,123.991,1,8850.53,0
