date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2011242,0,0,6,-66.744,81.872,1,6220.73,0
2011243,1,2.204,6,-66.757,81.834,1,6181.79,0
2011250,7,1.162,6,-66.746,81.829,1,6142.85,0
2011251,1,1.909,6,-66.754,81.868,1,6103.91,0
2011252,1,1.562,6,-66.757,81.834,1,6064.96,0
2011253,1,0.659,6,-66.751,81.827,1,6026.02,0
2011254,1,2.678,6,-66.758,81.769,1,5987.08,0
2011255,1,4.168,6,-66.753,81.863,1,5948.14,0
2011256,1,3.215,6,-66.754,81.79,1,5909.2,0
2011257,1,2.935,6,-66.743,81.85,1,5870.26,0
2011258,1,0.918,6,-66.747,81.832,1,5831.32,0
2011259,1,2.563,6,-66.75,81.89,1,5792.38,0
2011260,1,3.929,6,-66.755,81.801,1,5753.44,0
2011261,1,1.339,6,-66.752,81.83,1,5689.94,0
2011262,1,2.314,6,-66.749,81.778,1,5622.84,0
2011263,1,2.133,6,-66.741,81.823,1,5566.81,0
2011264,1,2.954,6,-66.764,81.789,1,5503.89,0
2011265,1,2.737,6,-66.763,81.851,1,5444.5,0
2011266,1,1.568,6,-66.756,81.82,1,5376.82,0
2011267,1,4.165,6,-66.741,81.907,1,5310.21,0
2011268,1,3.84,6,-66.762,81.837,1,5247.43,0
2011269,1,1.932,6,-66.754,81.877,1,5181.56,0
2011270,1,3.05,6,-66.75,81.808,1,5113.26,0
2011271,1,3.466,6,-66.739,81.882,1,5045.41,0.0151
2011272,1,3.466,6,-66.756,81.814,1,4975.99,0.0154
2011273,1,2.562,6,-66.749,81.87,1,4908.7,-0.045
2011274,1,2.862,6,-66.766,81.822,1,4836.61,-0.0861
2011275,1,3.765,6,-66.739,81.874,1,4766.91,-0.1079
2011276,1,1.91,6,-66.732,81.834,1,4697.21,-0.1104
2011277,1,1.977,6,-66.748,81.854,1,4625.75,-0.0936
2011278,1,3.465,6,-66.759,81.78,1,4562.88,-0.0574
2011279,1,3.099,6,-66.758,81.85,1,4497.62,-0.0019
2011280,1,3.216,6,-66.758,81.777,1,4431.62,0.0255
2011281,1,2.855,6,-66.757,81.842,1,4373.13,0
2011282,1,1.557,6,-66.766,81.813,1,4313.23,0
2011283,1,3.466,6,-66.755,81.888,1,4248.99,0
2011284,1,3.332,6,-66.755,81.812,1,4205.07,-0.0097
2011285,1,1.261,6,-66.766,81.822,1,4153.72,0.0065
2011286,1,2.739,6,-66.758,81.763,1,4127.92,0.018
2011287,1,2.432,6,-66.761,81.818,1,4105.81,0.0249
2011288,1,0.248,6,-66.76,81.813,1,4071.78,0.0272
2011289,1,3.198,6,-66.783,81.858,1,4045.63,0.0249
2011290,1,4.663,6,-66.742,81.836,1,4014.71,0.018
2011291,1,1.758,6,-66.726,81.828,1,3977.36,0.0065
2011292,1,2.349,6,-66.745,81.802,1,3960.6,-0.0097
2011293,1,1.977,6,-66.761,81.821,1,3950.28,0
2011294,1,1.129,6,-66.771,81.823,1,3948.13,0
2011295,1,3.591,6,-66.75,81.884,1,3952.14,0
2011296,1,1.104,6,-66.748,81.859,1,3953.07,0
2011297,1,3.864,6,-66.733,81.938,1,3959.79,0.0569
2011298,1,6.185,6,-66.74,81.798,1,3956.48,-0.0379
2011299,1,4.063,6,-66.764,81.868,1,3970.65,-0.0085
2011300,1,4.424,6,-66.753,81.77,1,3985.29,-0.1555
2011301,1,4.334,6,-66.744,81.866,1,4002.8,-0.377
2011302,1,1.117,6,-66.74,81.89,1,4019.53,-0.4988
2011303,1,1.119,6,-66.749,81.881,1,4028.06,-0.5209
2011304,1,2.137,6,-66.742,81.836,1,4042.95,-0.481
2011305,1,0.744,6,-66.746,81.824,1,4070.91,-0.2553
2011306,1,5.52,6,-66.697,81.83,1,4083.49,-0.0878
2011307,1,3.862,6,-66.731,81.826,1,4111.23,0.1843
2011308,1,4.045,6,-66.716,81.91,1,4145.63,0.1844
2011309,1,0.73,6,-66.72,81.897,1,4165,0.1332
2011310,1,0.816,6,-66.726,81.909,1,4189.51,0.1376
2011311,1,1.754,6,-66.742,81.917,1,4202.72,0.1143
2011312,1,0.974,6,-66.743,81.939,1,4242.23,0.0492
2011313,1,1.124,6,-66.733,81.937,1,4278.6,0.0102
2011314,1,1.668,6,-66.726,81.904,1,4312.14,0.1963
2011315,1,1.55,6,-66.715,81.883,1,4363.69,0.2941
2011316,1,1.388,6,-66.704,81.867,1,4422.82,0.3181
2011317,1,1.198,6,-66.695,81.881,1,4473.72,0.3141
2011318,1,0.811,6,-66.7,81.893,1,4514.27,0.2744
2011319,1,1.717,6,-66.715,81.899,1,4546.39,0.19
2011320,1,0.549,6,-66.72,81.897,1,4556.92,0.0396
2011321,1,0.557,6,-66.715,81.896,1,4576.71,-0.1112
2011322,1,1.734,6,-66.704,81.87,1,4592.34,-0.0345
2011323,1,2.636,6,-66.725,81.895,1,4654.63,-0.017
2011324,1,0.66,6,-66.731,81.902,1,4685.39,-0.0009
2011325,1,0.855,6,-66.73,81.883,1,4731.3,0.0138
2011326,1,1.114,6,-66.726,81.906,1,4781.38,-0.0379
2011327,1,0.823,6,-66.72,81.894,1,4837.61,-0.0117
2011328,1,1.691,6,-66.734,81.881,1,4890.61,0.1915
2011329,1,0.562,6,-66.73,81.885,1,4933.4,0.4748
2011330,1,1.102,6,-66.731,81.91,1,4985.91,0.2564
2011331,1,3.352,6,-66.742,81.839,1,5056.49,0.3207
2011332,1,1.195,6,-66.733,81.854,1,5127.5,0.2965
2011333,1,1.654,6,-66.718,81.859,1,5204.99,0.1956
2011334,1,1.105,6,-66.728,81.858,1,5280.84,0.018
2011335,1,1.314,6,-66.739,81.871,1,5341.22,-0.0321
2011336,1,2.064,6,-66.742,81.917,1,5425.28,0.1028
2011337,1,0.737,6,-66.742,81.934,1,5472.92,0.2011
2011338,1,2.337,6,-66.75,81.884,1,5526.59,-0.1147
2011339,1,1.014,6,-66.744,81.866,1,5600.43,-0.0671
2011340,1,0.855,6,-66.745,81.886,1,5652.26,-0.0141
2011341,1,1.121,6,-66.739,81.865,1,5700.02,0.028
2011342,1,2.77,6,-66.763,81.865,1,5750.08,0.0497
2011343,1,1.224,6,-66.762,81.837,1,5791.26,0.0856
2011344,1,2.024,6,-66.769,81.879,1,5837.17,0.106
2011345,1,0.817,6,-66.775,81.891,1,5902.99,0.1111
2011346,1,0.237,6,-66.775,81.897,1,5964.84,0.0521
2011347,1,2.383,6,-66.773,81.951,1,6029.27,-0.0142
2011348,1,1.193,6,-66.782,81.937,1,6057.08,0.0175
2011349,1,1.695,6,-66.797,81.923,1,6106.29,0.0063
2011350,1,0.919,6,-66.793,81.941,1,6138.95,-0.0094
2011351,1,2.188,6,-66.79,81.892,1,6166.47,0
2011352,1,3.3,6,-66.812,81.841,1,6193.19,0
2011353,1,0.607,6,-66.813,81.855,1,6230.36,0
2011354,1,2.642,6,-66.83,81.897,1,6271.38,0
2011356,2,9.83,5,-66.919,81.898,1,6300.05,0
2011357,1,5.918,6,-66.865,81.901,1,6325.84,0
2011358,1,2.377,6,-66.853,81.945,1,6343.91,0
2011359,1,1.931,6,-66.841,81.913,1,6362.01,0
2011360,1,2.045,6,-66.854,81.88,1,6382.65,0
2011361,1,3.517,6,-66.876,81.821,1,6430.45,0
2011362,1,4.305,6,-66.912,81.852,1,6462.16,0
2011363,1,4.93,6,-66.938,81.946,1,6515.38,0
2011364,1,0.562,6,-66.943,81.947,1,6567.21,0
2011365,1,0.97,6,-66.944,81.969,1,6608.32,0
2012002,2,25.575,6,-67.174,81.981,1,6651.9,0
2012003,1,3.414,6,-67.185,81.907,1,6703.29,0
2012004,1,0.747,6,-67.181,81.92,1,6741.02,0
2012005,1,0.555,6,-67.186,81.918,1,6775.57,0
2012006,1,1.156,6,-67.176,81.91,1,6808.44,0
