date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2016031,0,0,6,-66.7,81.917,1,4192.52,0.0602
2016032,1,0,6,-66.7,81.917,1,4161.84,-0.0565
2016033,1,0,6,-66.7,81.917,1,4131.15,-0.0872
2016034,1,0,6,-66.7,81.917,1,4100.46,-0.0592
2016035,1,0,6,-66.7,81.917,1,4069.77,0.0001
2016036,1,0,6,-66.7,81.917,1,4039.08,0.0122
2016037,1,0,6,-66.7,81.917,1,4008.4,0.0445
2016038,1,0,6,-66.7,81.917,1,3977.71,0.1155
2016039,1,0,6,-66.7,81.917,1,3947.02,0.18
2016041,2,0,6,-66.7,81.917,1,3916.33,0.1214
2016042,1,0,6,-66.7,81.917,1,3885.65,0.0708
2016043,1,0,6,-66.7,81.917,1,3854.96,0.055
2016044,1,0,6,-66.7,81.917,1,3824.27,0.0115
2016045,1,0,6,-66.7,81.917,1,3782.1,-0.0464
2016046,1,0,6,-66.7,81.917,1,3737.67,-0.0633
2016048,2,0,6,-66.7,81.917,1,3692.15,-0.0365
2016049,1,0,6,-66.7,81.917,1,3644.32,-0.0086
2016050,1,0,6,-66.7,81.917,1,3592.68,0.022
2016051,1,0,6,-66.7,81.917,1,3545.78,0.0003
2016052,1,0,6,-66.7,81.917,1,3491.55,-0.0027
2016053,1,0,6,-66.7,81.917,1,3435.06,0.0007
2016054,1,0,6,-66.7,81.917,1,3376.63,0
2016056,2,0,6,-66.7,81.917,1,3317.23,0
2016057,1,0,6,-66.7,81.917,1,3257.84,0
2016058,1,0,6,-66.7,81.917,1,3198.39,0
2016059,1,0,6,-66.7,81.917,1,3139.17,0
2016061,2,0,6,-66.7,81.917,1,3083.08,0
2016062,1,0,6,-66.7,81.917,1,3027.73,0
2016063,1,0,6,-66.7,81.917,1,2974.75,0
2016064,1,0,6,-66.7,81.917,1,2922.01,0
2016065,1,0,5,-66.7,81.917,0,2871.02,0
2016066,1,0,5,-66.7,81.917,0,2820.95,0
2016067,1,0,5,-66.7,81.917,0,2774.22,0
2016069,2,0,5,-66.7,81.917,0,2729.21,0
2016070,1,0,5,-66.7,81.917,0,2688.29,0
2016071,1,0,6,-66.7,81.917,0,2649.05,0
2016072,1,0,5,-66.7,81.917,0,2609.65,0
2016073,1,0,5,-66.7,81.917,0,2578.59,0
2016074,1,0,5,-66.7,81.917,0,2552.79,0
2016076,2,0,5,-66.7,81.917,0,2529.67,0
2016077,1,0,5,-66.7,81.917,0,2512.07,0
2016078,1,0,6,-66.7,81.917,0,2496.82,0
2016079,1,0,5,-66.7,81.917,0,2486.77,0
2016080,1,0,5,-66.7,81.917,0,2473.2,0
2016081,1,0,5,-66.7,81.917,0,2466.97,0
2016083,2,0,5,-66.7,81.917,0,2463,0
2016084,1,0,5,-66.7,81.917,0,2460.82,0
2016085,1,0,6,-66.7,81.917,0,2459.45,0
2016086,1,0,5,-66.7,81.917,0,2458.73,0
2016087,1,2.654,5,-66.676,81.919,0,2458.23,0
2016088,1,2.735,5,-66.701,81.915,0,2457.99,0
2016089,1,0,5,-66.701,81.915,0,2457.75,0
2016090,1,0,5,-66.701,81.915,0,2457.55,0
2016091,1,0,5,-66.701,81.915,0,2457.36,0
2016092,1,0.052,6,-66.7,81.916,0,2457.16,0
2016093,1,0.052,5,-66.701,81.915,0,2456.97,0
2016094,1,0,5,-66.701,81.915,0,2456.77,0
2016095,1,0,5,-66.701,81.915,0,2456.58,0
2016097,2,0,5,-66.701,81.915,0,2456.39,0
2016098,1,0,5,-66.701,81.915,0,2456.19,0
2016099,1,0.052,6,-66.7,81.916,0,2456,0
2016100,1,0.052,5,-66.701,81.915,0,2455.8,0
2016101,1,0,5,-66.701,81.915,0,2455.61,0
2016102,1,0,5,-66.701,81.915,0,2455.41,0
2016104,2,0,5,-66.701,81.915,0,2455.22,0
2016105,1,0,5,-66.701,81.915,0,2455.22,0
2016106,1,0.052,6,-66.7,81.916,0,2455.32,0
2016107,1,0.052,5,-66.701,81.915,0,2455.41,0
2016108,1,0,5,-66.701,81.915,0,2455.51,0
2016109,1,0,5,-66.701,81.915,0,2455.61,0
2016110,1,0,5,-66.701,81.915,0,2455.8,0
2016111,1,0,5,-66.701,81.915,0,2456.09,0
2016112,1,0,5,-66.701,81.915,0,2456.38,0
2016113,1,0.052,6,-66.7,81.916,0,2456.67,0
2016114,1,0.052,5,-66.701,81.915,0,2456.96,0
2016115,1,0,5,-66.701,81.915,0,2457.27,0
2016116,1,0,5,-66.701,81.915,0,2457.72,0
2016117,1,0,5,-66.701,81.915,0,2458.33,0
2016118,1,1.591,5,-66.709,81.886,0,2458.97,0
2016119,1,0,5,-66.709,81.886,0,2459.8,0
2016120,1,0.847,6,-66.705,81.902,0,2460.67,0
2016121,1,0.847,5,-66.709,81.886,0,2461.78,0
2016122,1,0,5,-66.709,81.886,0,2462.32,0
2016123,1,0,5,-66.709,81.886,0,2465.25,0
2016124,1,0,5,-66.709,81.886,0,2469.69,0
2016125,1,0,5,-66.709,81.886,0,2474.73,0
2016126,1,0,5,-66.709,81.886,0,2481.84,0
2016127,1,0.847,6,-66.705,81.902,0,2483.1,0
2016128,1,0.847,5,-66.709,81.886,0,2494.25,0
2016129,1,0,5,-66.709,81.886,0,2508.17,0
2016130,1,0,5,-66.709,81.886,0,2524.32,0
2016131,1,0,5,-66.709,81.886,0,2543.21,0
2016132,1,1.113,5,-66.708,81.861,0,2565.07,0
2016133,1,0,5,-66.708,81.861,0,2568.78,0
2016134,1,2.593,3,-66.7,81.917,0,2597.52,0
2016137,3,2.593,5,-66.708,81.861,0,2629.88,0
2016138,1,0,5,-66.708,81.861,0,2664.12,0
2016139,1,1.258,5,-66.697,81.867,0,2702.01,0
2016140,1,0,5,-66.697,81.867,0,2741.97,0
2016141,1,2.209,3,-66.7,81.917,0,2785.59,0
2016142,1,2.209,5,-66.697,81.867,0,2840.94,0
2016143,1,0,5,-66.697,81.867,0,2889.49,0
2016145,2,0,5,-66.697,81.867,0,2939.25,0
2016146,1,0,5,-66.697,81.867,0,2990.36,0
2016147,1,0,5,-66.697,81.867,0,3042.44,0
2016148,1,2.209,3,-66.7,81.917,0,3095.71,0
2016149,1,2.209,5,-66.697,81.867,0,3149.84,0
2016150,1,0,5,-66.697,81.867,0,3219.93,0
2016151,1,0,5,-66.697,81.867,0,3275.72,0
2016152,1,0,5,-66.697,81.867,0,3332.73,0
2016153,1,0,5,-66.697,81.867,0,3388.81,0
2016154,1,0,5,-66.697,81.867,0,3450.6,0
2016155,1,2.209,3,-66.7,81.917,0,3520.87,0
2016156,1,2.209,5,-66.697,81.867,0,3575.75,0
2016157,1,0,5,-66.697,81.867,0,3634.17,0
2016158,1,0,5,-66.697,81.867,0,3685.29,0
2016159,1,0,5,-66.697,81.867,0,3733.58,0
2016160,1,0,5,-66.697,81.867,0,3780.36,0
2016161,1,0,5,-66.697,81.867,0,3845.27,0
2016162,1,2.209,3,-66.7,81.917,0,3883.71,0
2016163,1,2.209,5,-66.697,81.867,0,3919.9,0
2016164,1,0,5,-66.697,81.867,0,3952.58,0
2016165,1,0,5,-66.697,81.867,0,3981.62,0
2016169,4,2.209,3,-66.7,81.917,0,4006.93,0
2016176,7,0,3,-66.7,81.917,1,4028.57,0
2016182,6,2.209,5,-66.697,81.867,1,4035.49,0
2016183,1,2.209,3,-66.7,81.917,0,4049.08,0
2016184,1,2.209,5,-66.697,81.867,0,4058,0
2016186,2,0,5,-66.697,81.867,0,4064.52,0
2016188,2,0,5,-66.697,81.867,0,4065.93,0
2016189,1,0,5,-66.697,81.867,0,4062.14,0
2016190,1,1.105,6,-66.698,81.892,0,4051.6,0
2016191,1,1.105,5,-66.697,81.867,0,4021.53,0
2016192,1,0,5,-66.697,81.867,0,3997.03,0
2016193,1,0,5,-66.697,81.867,0,3965.47,0
2016195,2,1.783,5,-66.681,81.873,0,3928.75,0
2016196,1,1.13,5,-66.681,81.898,0,3880.25,0
2016197,1,2.288,3,-66.7,81.917,0,3824.77,0
2016198,1,0.969,5,-66.691,81.918,0,3771.8,0
2016199,1,0,5,-66.691,81.918,0,3709.21,0
2016200,1,1.523,5,-66.681,81.897,0,3649.2,0
2016201,1,0,5,-66.681,81.897,0,3586.64,0
2016202,1,0,5,-66.681,81.897,0,3522.63,0
2016203,1,0,5,-66.681,81.897,0,3456.44,0
2016204,1,0,5,-66.681,81.897,0,3389.62,0
2016205,1,0,5,-66.681,81.897,0,3321.72,0
2016206,1,0,5,-66.681,81.897,0,3255.43,0
2016207,1,0,5,-66.681,81.897,0,3188.94,0
2016209,2,18.961,5,-66.665,81.467,0,3124.09,0
2016210,1,15.011,5,-66.666,81.809,0,3059.09,0
2016211,1,6.063,3,-66.7,81.917,0,2996.91,0
2016212,1,8.132,5,-66.77,81.969,0,2934.71,0
2016213,1,2.493,5,-66.792,81.957,0,2875.81,0
2016215,2,1.671,5,-66.805,81.979,0,2817.93,0
2016216,1,0,5,-66.805,81.979,0,2764.01,0
2016217,1,0,5,-66.805,81.979,0,2714.04,0
2016218,1,5.973,6,-66.752,81.948,0,2669.72,0
2016219,1,5.973,5,-66.805,81.979,0,2629.55,0
2016220,1,0,5,-66.805,81.979,0,2595.73,0
2016222,2,3.852,5,-66.83,81.918,0,2566.23,0
2016223,1,5.948,5,-66.843,81.786,0,2542.22,0
2016224,1,3.81,5,-66.813,81.748,0,2522.2,0
2016225,1,14.527,3,-66.7,81.917,0,2506.53,0
2016226,1,14.527,5,-66.813,81.748,0,2493.88,0
2016227,1,0,5,-66.813,81.748,0,2484.52,0
2016229,2,1.118,5,-66.814,81.773,0,2477.44,0
2016230,1,0,5,-66.814,81.773,0,2472.92,0
2016232,2,18.108,3,-66.667,81.95,0,2468.41,0
2016233,1,6.239,5,-66.723,81.933,0,2466.07,0
2016234,1,0,5,-66.723,81.933,0,2465.8,0
2016236,2,2.373,5,-66.743,81.951,0,2465.35,0
2016237,1,4.372,5,-66.782,81.937,0,2464.91,0
2016239,2,12.767,3,-66.667,81.95,0,2464.77,0
2016240,1,18.146,5,-66.829,81.896,0,2464.63,0
2016241,1,6.194,5,-66.873,81.982,0,2464.68,0
2016242,1,2.16,5,-66.878,82.03,0,2464.86,0
2016244,2,4.013,5,-66.855,81.959,0,2465.05,0
