date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2016032,0,0,6,-67,81.633,1,0,0
2016033,1,0,6,-67,81.633,1,0,0
2016034,1,0,6,-67,81.633,1,0,0
2016035,1,0,6,-67,81.633,1,0,0
2016036,1,0,6,-67,81.633,1,0,0
2016037,1,0,6,-67,81.633,1,0,0
2016038,1,0,6,-67,81.633,1,0,0
2016039,1,0,6,-67,81.633,1,0,0
2016040,1,0,7,-67,81.633,1,0,0
2016041,1,0,6,-67,81.633,1,0,0
2016042,1,0,6,-67,81.633,1,0,0
2016043,1,0,6,-67,81.633,1,0,0
2016044,1,0,6,-67,81.633,1,0,0
2016045,1,0,6,-67,81.633,1,0,0
2016046,1,0,6,-67,81.633,1,0,0
2016047,1,0,7,-67,81.633,1,0,0
2016048,1,0,6,-67,81.633,1,0,0
2016049,1,0,6,-67,81.633,1,0,0
2016050,1,0,6,-67,81.633,1,986.65,0
2016051,1,0,6,-67,81.633,1,988.48,0
2016052,1,0,6,-67,81.633,1,990.32,0
2016053,1,0,6,-67,81.633,1,992.15,0
2016054,1,0,6,-67,81.633,1,993.98,0
2016055,1,0,6,-67,81.633,1,995.81,0
2016056,1,0,6,-67,81.633,1,997.65,0
2016057,1,0,6,-67,81.633,1,999.48,0
2016058,1,0,6,-67,81.633,1,1001.31,0
2016059,1,0,6,-67,81.633,1,1003.15,0
2016060,1,0,7,-67,81.633,1,1004.98,0
2016061,1,0,6,-67,81.633,1,1006.81,0
2016062,1,0,6,-67,81.633,1,1008.64,0
2016063,1,0,6,-67,81.633,1,1011.77,0
2016064,1,0,6,-67,81.633,1,1014.89,0
2016065,1,0,7,-67,81.633,1,1018.8,0
2016066,1,0,7,-67,81.633,1,1022.71,0
2016067,1,0,7,-67,81.633,1,1027.39,0
2016068,1,0,7,-67,81.633,1,1032.08,0
2016069,1,0,7,-67,81.633,1,1037.55,0
2016070,1,0,7,-67,81.633,1,1043.02,0
2016071,1,0,6,-67,81.633,1,1048.49,0
2016072,1,0,7,-67,81.633,1,1053.96,0
2016073,1,0,7,-67,81.633,1,1059.42,0
2016074,1,0,7,-67,81.633,1,1064.89,0
2016075,1,0,7,-67,81.633,1,1070.36,0
2016076,1,0,7,-67,81.633,1,1075.95,0
2016077,1,0,7,-67,81.633,1,1081.54,0
2016078,1,0,7,-67,81.633,1,1087.13,0
2016079,1,0,7,-67,81.633,1,1092.72,0
2016080,1,0,7,-67,81.633,1,1098.31,0
2016081,1,0,7,-67,81.633,1,1103.78,0
2016082,1,0,7,-67,81.633,1,1108.59,0
2016083,1,0,7,-67,81.633,1,1113.28,0
2016084,1,0,7,-67,81.633,1,1117.18,0
2016085,1,0,6,-67,81.633,1,1121.32,0
2016086,1,0,7,-67,81.633,1,1125.49,0
2016087,1,0,7,-67,81.633,0,1129.88,0
2016088,1,0,7,-67,81.633,0,1134.32,0
2016089,1,0,7,-67,81.633,0,1138.98,0
2016090,1,0,7,-67,81.633,0,1143.67,0
2016091,1,0,7,-67,81.633,0,1148.59,0
2016092,1,0,6,-67,81.633,0,1153.22,0
2016093,1,0,7,-67,81.633,0,1157.74,0
2016094,1,0,7,-67,81.633,0,1161.96,0
2016095,1,0,7,-67,81.633,0,1166.08,0
2016096,1,0,7,-67,81.633,0,1170.68,0
2016097,1,0,7,-67,81.633,0,1175.09,0
2016098,1,0,7,-67,81.633,0,1179.89,0
2016099,1,0,7,-67,81.633,0,1184.69,0
2016100,1,0,7,-67,81.633,0,1189.4,0
2016101,1,0,7,-67,81.633,0,1193.99,0
2016102,1,0,7,-67,81.633,0,1198.49,0
2016103,1,0,7,-67,81.633,0,1202.99,0
2016104,1,0,7,-67,81.633,0,1207.41,0
2016105,1,0,7,-67,81.633,0,1211.82,0
2016106,1,0,6,-67,81.633,0,1216.27,0
2016107,1,0,7,-67,81.633,0,1220.59,0
2016108,1,0,7,-67,81.633,0,1224.95,0
2016109,1,0,7,-67,81.633,0,1229.31,0
2016110,1,0,7,-67,81.633,0,1233.44,0
2016111,1,0,7,-67,81.633,0,1236.75,0
2016112,1,0,7,-67,81.633,0,1239.84,0
2016113,1,0,6,-67,81.633,1,1242.11,0
2016114,1,0,7,-67,81.633,1,1244.15,0
2016115,1,0,7,-67,81.633,1,1245.37,0
2016116,1,0,7,-67,81.633,0,1246.37,0
2016117,1,0,7,-67,81.633,0,1246.88,0
2016118,1,1.448,7,-67.005,81.603,0,1247.5,0
2016119,1,0,7,-67.005,81.603,0,1247.64,0
2016120,1,0,7,-67.005,81.603,0,1247.88,0
2016121,1,0,7,-67.005,81.603,0,0,0
2016122,1,0,7,-67.005,81.603,0,0,0
2016123,1,0.98,7,-67.013,81.593,0,0,0
2016124,1,0.985,7,-67.021,81.584,0,0,0
2016125,1,0.176,7,-67.02,81.586,0,0,0
2016126,1,0.381,7,-67.018,81.592,0,0,0
2016127,1,0.386,7,-67.015,81.598,0,0,0
2016128,1,0.176,7,-67.014,81.6,0,0,0
2016129,1,0,7,-67.014,81.6,0,0,0
2016130,1,0,7,-67.014,81.6,0,0,0
2016131,1,0,7,-67.014,81.6,0,0,0
2016132,1,0,7,-67.014,81.6,0,0,0
2016133,1,0,7,-67.014,81.6,0,0,0
2016134,1,0,7,-67.014,81.6,0,0,0
2016135,1,0,7,-67.014,81.6,0,0,0
2016136,1,0,7,-67.014,81.6,0,0,0
2016137,1,0,7,-67.014,81.6,0,0,0
2016138,1,0,7,-67.014,81.6,0,0,0
2016139,1,0,7,-67.014,81.6,0,0,0
2016140,1,0.158,7,-67.013,81.604,0,0,0
2016141,1,0.291,7,-67.012,81.61,0,0,0
2016142,1,0.158,7,-67.012,81.613,1,0,0
2016143,1,0,7,-67.012,81.613,1,0,0
2016144,1,0,7,-67.012,81.613,1,0,0
2016145,1,0,7,-67.012,81.613,1,0,0
2016146,1,0,7,-67.012,81.613,1,0,0
2016147,1,0,7,-67.012,81.613,1,0,0
2016148,1,0,6,-67.012,81.613,1,0,0
2016149,1,0,7,-67.012,81.613,1,0,0
2016150,1,0.099,7,-67.012,81.615,1,0,0
2016151,1,0.224,7,-67.013,81.619,1,0,0
2016152,1,0.222,7,-67.015,81.623,1,0,0
2016153,1,0.099,7,-67.015,81.625,1,0,0
2016154,1,0,7,-67.015,81.625,1,0,0
2016155,1,0,7,-67.015,81.625,1,0,0
2016156,1,0,7,-67.015,81.625,1,0,0
2016157,1,0,7,-67.015,81.625,1,0,0
2016158,1,0,7,-67.015,81.625,1,0,0
2016159,1,0,7,-67.015,81.625,0,0,0
2016160,1,0,7,-67.015,81.625,0,0,0
2016161,1,0,7,-67.015,81.625,0,0,0
2016162,1,0,7,-67.015,81.625,0,0,0
2016163,1,0,7,-67.015,81.625,1,0,0
2016164,1,0,7,-67.015,81.625,1,0,0
2016165,1,0,7,-67.015,81.625,1,0,0
2016166,1,1.731,3,-67,81.633,1,0,0
2016167,1,0,3,-67,81.633,1,0,0
2016168,1,0,3,-67,81.633,1,0,0
2016169,1,0,3,-67,81.633,1,0,0
2016170,1,0,3,-67,81.633,1,0,0
