date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2011242,0,0,4,-66.599,80.862,1,4582.98,0
2011243,1,3.38,4,-66.629,80.866,1,4592.3,0
2011244,1,0.215,5,-66.627,80.864,1,4601.63,0
2011245,1,0.548,5,-66.623,80.859,1,4610.95,0
2011246,1,0.751,5,-66.616,80.853,1,4620.28,0
2011247,1,0.812,5,-66.609,80.846,1,4629.61,0
2011248,1,0.751,5,-66.603,80.84,1,4638.93,0
2011249,1,0.548,5,-66.599,80.836,1,4648.26,0
2011250,1,0.215,4,-66.597,80.834,1,4657.58,0
2011251,1,1.713,4,-66.599,80.872,1,4666.91,0
2011252,1,4.765,4,-66.602,80.764,1,4676.23,0
2011253,1,4.062,4,-66.627,80.833,1,4685.56,0
2011254,1,3.341,4,-66.597,80.834,1,4694.88,0
2011255,1,5.72,4,-66.615,80.956,1,4703.67,0
2011256,1,9.097,4,-66.611,80.749,1,4710.46,0
2011257,1,3.92,4,-66.617,80.837,1,4718.12,0
2011258,1,4.917,4,-66.591,80.747,1,4725.19,0
2011259,1,4.91,4,-66.578,80.853,1,4731.85,0
2011260,1,3.593,4,-66.583,80.772,1,4736,0
2011261,1,9.836,4,-66.625,80.968,1,4739.67,0
2011262,1,6.844,4,-66.616,80.815,1,4743.84,0
2011263,1,2.523,4,-66.598,80.85,1,4747.21,0
2011264,1,6.387,4,-66.63,80.731,1,4750.57,0
2011265,1,4.106,4,-66.604,80.797,1,4753.74,0
2011266,1,5.61,4,-66.596,80.672,1,4753.17,0
2011267,1,7.415,4,-66.587,80.838,1,4755.83,0
2011268,1,2.47,4,-66.594,80.785,1,4758.17,0
2011269,1,1.121,4,-66.603,80.776,1,4753.74,0
2011270,1,0.011,4,-66.603,80.776,1,4754.86,0
2011271,1,4.995,4,-66.6,80.889,1,4750.43,0
2011272,1,5.583,4,-66.613,80.766,1,4750.82,0
2011273,1,4.401,4,-66.574,80.788,1,4747.46,0
2011274,1,2.936,4,-66.591,80.736,1,4743.47,0
2011275,1,4.637,4,-66.597,80.84,1,4734.68,0
2011276,1,5.582,4,-66.57,80.733,1,4732.65,0
2011277,1,3.369,4,-66.585,80.8,1,4732.94,0
2011278,1,2.635,4,-66.602,80.759,1,4735.19,0
2011279,1,4.633,4,-66.609,80.863,1,4738.72,0
2011280,1,6.44,4,-66.59,80.725,1,4742.11,0
2011281,1,4.161,4,-66.596,80.818,1,4747,0
2011282,1,3.593,4,-66.601,80.737,1,4752.3,0
2011283,1,7.558,4,-66.611,80.907,1,4758.97,0
2011284,1,7.086,4,-66.601,80.748,1,4766.16,0
2011285,1,5.252,4,-66.599,80.867,1,4775.09,0
