date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2014096,0,0,4,-61.532,-51.637,1,9299.68,0
2014097,1,3.196,5,-61.511,-51.596,1,9174.95,0
2014098,1,8.477,5,-61.454,-51.489,1,9050.22,0
2014099,1,12.129,4,-61.37,-51.345,1,8925.49,0
2014100,1,27.486,4,-61.156,-51.083,1,8800.76,0
2014101,1,10.994,5,-61.166,-50.879,1,8676.03,0
2014102,1,9.849,5,-61.187,-50.7,1,8551.3,0
2014103,1,9.314,5,-61.209,-50.532,1,8426.57,0
2014104,1,9.365,4,-61.218,-50.358,1,8301.84,0
2014105,1,19.484,4,-61.067,-50.176,1,8177.11,0
2014106,1,9.42,4,-60.982,-50.189,1,8052.38,0
2014107,1,6.003,5,-60.93,-50.22,1,7927.65,0
2014108,1,5.217,5,-60.89,-50.271,1,7802.92,0
2014109,1,4.267,4,-60.867,-50.333,1,7687.01,0
2014110,1,5.001,4,-60.858,-50.424,1,7562.8,0
2014111,1,11.564,5,-60.903,-50.617,1,7397.51,0
2014112,1,16.912,5,-60.993,-50.87,1,7213.25,0
2014113,1,12.197,4,-61.058,-51.053,2,7027.3,0
2014114,1,4.72,4,-61.079,-51.129,1,6861.25,0
2014115,1,5.463,4,-61.093,-51.031,1,6695.78,0
2014116,1,11.071,5,-61.088,-50.825,1,6531.57,0
2014117,1,15.668,5,-61.073,-50.535,1,6327.54,0
2014118,1,14.155,5,-61.049,-50.276,1,6112.08,0
2014119,1,7.021,4,-61.017,-50.164,1,5926.51,0
2014120,1,11.37,4,-60.921,-50.241,1,5745.46,0
2014121,1,7.5,5,-60.867,-50.158,1,5534.64,0
2014122,1,11.068,5,-60.823,-49.975,1,5323.77,0
2014123,1,10.929,5,-60.79,-49.784,1,5146.71,0
2014124,1,5.982,4,-60.77,-49.682,1,4971.52,0
2014125,1,1.415,4,-60.761,-49.664,1,4800.96,0
2014126,1,3.003,5,-60.738,-49.634,1,4632.88,0
2014127,1,4.341,5,-60.705,-49.591,1,4467.78,0
2014128,1,4.162,5,-60.675,-49.546,1,4307.2,0
2014129,1,2.708,4,-60.662,-49.504,1,4148.09,0
2014130,1,2.87,4,-60.681,-49.468,1,3992.73,0
2014131,1,2.514,5,-60.658,-49.47,1,3841.1,0
2014132,1,4.695,5,-60.616,-49.478,1,3708.13,0
2014133,1,2.617,4,-60.594,-49.492,1,3673.86,0
2014134,1,6.217,5,-60.595,-49.606,1,3564.52,0
2014135,1,10.108,4,-60.597,-49.791,1,3463.37,0
2014136,1,11.143,5,-60.596,-49.996,1,3405.67,0
2014137,1,11.596,5,-60.595,-50.208,1,3364.23,0
2014138,1,5.358,4,-60.593,-50.307,2,3339.88,0
2014139,1,3.389,4,-60.587,-50.245,2,3291.46,0
2014140,1,2.68,4,-60.568,-50.276,1,3286.61,0
2014141,1,9.862,5,-60.482,-50.317,1,3291.3,0
2014142,1,8.146,4,-60.41,-50.342,1,3294.88,0
2014143,1,0,4,-60.41,-50.342,1,3302.97,0
2014144,1,6.618,4,-60.42,-50.223,1,3327.99,0
2014145,1,18.536,5,-60.392,-49.89,1,3360.24,0
2014146,1,25.35,5,-60.338,-49.441,1,3397.06,0
2014147,1,13.058,4,-60.3,-49.217,1,3500.14,0
2014148,1,1.251,4,-60.289,-49.223,1,3587.86,0
2014149,1,10.61,4,-60.283,-49.031,1,3715.51,0
2014150,1,13.476,5,-60.276,-48.786,1,3859.59,0
2014151,1,13.715,5,-60.265,-48.538,1,3914.84,0
2014152,1,6.482,4,-60.25,-48.425,1,4121.99,0
2014153,1,6.149,4,-60.213,-48.508,1,4368.92,0
2014154,1,5.247,4,-60.183,-48.435,1,4633.76,0
2014155,1,7.663,5,-60.133,-48.339,1,4941.76,0
2014156,1,8.475,5,-60.077,-48.236,1,5044.74,0
2014157,1,5.161,4,-60.05,-48.16,1,5220,0
2014158,1,2.187,4,-60.054,-48.121,1,5611.51,0
2014159,1,7.205,4,-60.096,-48.021,1,6057.28,0
2014160,1,6.453,5,-60.07,-47.917,1,6276.16,0
2014161,1,8.13,5,-60.019,-47.811,1,6486.16,0
2014162,1,6.813,4,-59.984,-47.712,1,6660.52,0
2014163,1,5.078,4,-59.973,-47.623,1,7169.24,0
2014164,1,8.483,4,-59.922,-47.51,1,7685.35,0
2014165,1,22.116,5,-59.858,-47.134,1,8195.46,0
2014166,1,31.731,5,-59.794,-46.58,1,8709.03,0
2014167,1,20.292,4,-59.765,-46.222,1,9128.63,0
2014168,1,5.292,4,-59.777,-46.13,1,9660.73,0
2014169,1,39.67,4,-59.893,-45.458,1,10230.19,0
2014170,1,26.188,4,-59.968,-45.011,1,10804.01,0
2014171,1,61.102,5,-59.632,-44.145,1,11386.39,0
2014172,1,50.244,4,-59.296,-43.548,1,12111.86,0
2014173,1,7.586,4,-59.364,-43.57,1,12800.2,0
2014174,1,28.322,4,-59.183,-43.218,1,13327.66,0
2014175,1,34.85,4,-58.895,-42.973,1,13931.59,0
2014176,1,38.595,5,-58.933,-42.303,1,14662.52,0
2014177,1,29.149,4,-58.971,-41.8,1,15230.02,0
2014178,1,4.148,4,-58.934,-41.814,1,15690.17,0
2014179,1,13.513,4,-59.022,-41.65,1,16136.11,0
2014180,1,15.792,4,-59.022,-41.374,1,16586.04,0
2014181,1,18.694,5,-58.901,-41.147,1,17207.21,0
2014182,1,27.641,5,-58.673,-40.952,1,17837.06,0
2014183,1,15.645,4,-58.543,-40.848,1,18220.86,0
2014184,1,1.734,4,-58.535,-40.822,1,18506.87,0
2014185,1,14.674,4,-58.435,-40.657,1,19006.86,0
2014186,1,15.245,5,-58.375,-40.422,1,19562.27,0
2014187,1,17.966,5,-58.321,-40.131,1,20148.77,0
2014188,1,19.882,5,-58.278,-39.8,1,20419.29,0
2014189,1,20.95,5,-58.25,-39.446,1,20657.72,0
2014190,1,21.218,4,-58.239,-39.083,1,20775.32,0
2014191,1,32.366,5,-58.369,-38.587,1,20847.68,0
2014192,1,23.361,4,-58.499,-38.271,1,21133.77,0
2014193,1,5.185,4,-58.478,-38.351,1,21222.14,0
2014194,1,18.394,4,-58.464,-38.035,1,21216.09,0
2014195,1,20.061,4,-58.365,-37.746,1,21118.58,0
2014196,1,17.641,5,-58.24,-37.56,1,20979.48,0
2014197,1,18.285,5,-58.095,-37.412,1,20740.35,0
2014198,1,19.969,5,-57.93,-37.279,1,20383.12,0
2014199,1,22.349,4,-57.743,-37.139,1,20116.03,0
2014200,1,28.369,4,-57.5,-36.989,1,19721.19,0
2014201,1,25.136,4,-57.289,-36.836,1,19250.78,0
2014202,1,21.766,5,-57.263,-36.476,1,18652.12,0
2014203,1,15.651,4,-57.255,-36.216,1,18176.32,0
2014204,1,19.379,4,-57.426,-36.276,1,17582.69,0
2014205,1,25.415,4,-57.647,-36.164,1,16927.1,0
2014206,1,13.401,4,-57.727,-35.994,1,16338.61,0
2014207,1,67.231,4,-57.742,-34.861,1,15641.1,0
2014208,1,3.775,4,-57.714,-34.895,1,14905.9,0
2014209,1,14.031,4,-57.752,-34.67,1,14234.34,0
2014210,1,15.326,4,-57.822,-34.447,1,13547.63,0
2014211,1,11.645,4,-57.825,-34.25,1,12808.45,0
2014212,1,17.153,4,-57.848,-33.963,2,12029.75,0
2014213,1,1.486,4,-57.845,-33.938,2,11250.76,0
2014214,1,5.696,4,-57.856,-33.844,2,10485.17,0
2014215,1,10.841,4,-57.865,-33.661,2,9812.39,0
2014216,1,6.471,4,-57.857,-33.553,2,9154.31,0
2014217,1,29.292,4,-57.635,-33.286,2,8394.76,0
2014218,1,3.582,4,-57.615,-33.239,2,7731.46,0
2014219,1,7.901,4,-57.555,-33.312,2,7119.16,0
2014220,1,9.439,4,-57.486,-33.22,2,6581.87,0
2014221,1,8.47,4,-57.427,-33.13,2,6069.27,0
2014222,1,53.131,4,-57.35,-32.254,1,5476.15,0
2014223,1,7.177,4,-57.293,-32.311,1,5027.45,0
2014224,1,17.951,4,-57.246,-32.025,1,4618.94,0
2014225,1,34.486,4,-57.054,-31.576,1,4229.89,0
2014226,1,7.586,4,-56.997,-31.506,2,3876.12,0
2014227,1,11.669,4,-56.9,-31.432,2,3668.67,0
2014228,1,0.7,4,-56.896,-31.44,2,3414.86,0
2014229,1,10.965,4,-56.832,-31.302,2,3278.68,0
2014230,1,8.63,4,-56.824,-31.161,2,3156.2,0
2014231,1,9.809,4,-56.81,-31.001,1,3004,0
2014232,1,23.703,4,-56.599,-30.945,1,2872.79,0
2014233,1,3.74,4,-56.567,-30.968,1,2820.34,0
2014234,1,9.692,4,-56.514,-31.093,1,2749.54,0
2014235,1,18.661,4,-56.348,-31.134,1,2710.74,0
2014236,1,30.701,4,-56.165,-31.507,1,2679.54,0
2014237,1,50.625,4,-55.781,-31.948,1,2701.25,0
2014238,1,3.319,4,-55.757,-31.916,1,2711.24,0
2014239,1,8.169,4,-55.688,-31.957,1,2731.18,0
2014240,1,6.113,4,-55.644,-32.017,1,2761.67,0
2014241,1,28.412,4,-55.625,-32.469,1,2852.52,0
2014242,1,3.73,4,-55.645,-32.42,1,2939.29,0
2014243,1,18.658,4,-55.626,-32.716,1,3052.51,0
2014244,1,9.776,4,-55.587,-32.855,1,3147.5,0
2014245,1,7.576,4,-55.536,-32.935,1,3266.95,0
2014246,1,63.83,4,-55,-33.3,1,3470.1,0
2014247,1,3.379,4,-55.005,-33.247,1,3696.75,0
2014248,1,23.392,4,-54.802,-33.344,2,3953.37,0
2014249,1,17.923,4,-54.641,-33.325,2,4216.86,0
2014250,1,13.711,4,-54.528,-33.413,2,4549.77,0
2014251,1,41.438,4,-54.155,-33.401,1,4898.05,0
2014252,1,7.864,5,-54.226,-33.401,1,5290.55,0
2014253,1,14.595,5,-54.357,-33.401,1,5683.3,0
2014254,1,7.864,4,-54.428,-33.401,1,6294.86,0
2014255,1,14.708,4,-54.301,-33.336,1,6737.38,0
2014256,1,22.435,4,-54.369,-33.009,2,7322.11,0
2014257,1,13.831,4,-54.492,-32.975,2,7822.06,0
2014258,1,0.373,4,-54.491,-32.98,2,8446.2,0
2014259,1,9.29,4,-54.556,-33.07,2,9115.9,0
2014260,1,8.479,4,-54.612,-33.16,1,9781.22,0
2014261,1,10.287,4,-54.661,-33.296,1,10476.56,0
2014262,1,5.433,5,-54.645,-33.376,1,11168.28,0
2014263,1,6.708,4,-54.61,-33.461,1,11858.37,0
2014264,1,13.351,4,-54.536,-33.624,1,12560.51,0
2014265,1,16.805,5,-54.384,-33.624,2,13266.14,0
2014266,1,20.072,4,-54.204,-33.621,2,13912.56,0
2014267,1,30.512,4,-54.053,-33.229,2,14565.08,0
2014268,1,23.5,4,-54.034,-32.87,2,15197.02,-0.0789
2014269,1,10.778,4,-53.989,-32.724,1,15844.68,-0.0271
2014270,1,14.754,5,-53.935,-32.517,1,16480.05,0.296
2014271,1,18.288,5,-53.878,-32.255,1,17039.35,0.3071
2014272,1,19.496,5,-53.813,-31.979,1,17580.51,0.3421
2014273,1,18.468,5,-53.736,-31.73,1,18130.85,0.0128
2014274,1,15.823,5,-53.642,-31.55,1,18681.2,-0.136
2014275,1,13.69,4,-53.525,-31.48,1,19231.54,-0.2796
2014276,1,25.053,4,-53.308,-31.579,1,19781.88,-0.4181
2014277,1,22.098,5,-53.11,-31.539,2,20332.22,-0.3036
2014278,1,17.047,4,-52.959,-31.497,2,20882.56,0.0252
2014279,1,8.71,4,-52.88,-31.495,2,21432.9,0.052
2014280,1,3.583,5,-52.884,-31.548,1,21983.24,0.1455
2014281,1,7.915,5,-52.895,-31.665,1,22533.58,-0.0279
2014282,1,8.031,4,-52.913,-31.781,1,23083.92,-0.1583
2014283,1,10.344,4,-52.987,-31.874,2,23634.26,-0.1397
2014284,1,30.23,4,-52.973,-31.423,2,24184.6,0.1338
